Mapping parameters for Pentaceropsis recurvirostris (Longsnout boarfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 57 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,38,128,260
Temperature (°C),1,11.24,14.9,18.59,23.8
Salinity (psu),1,34.72,35.22,36.22,38.11
Primary Production (mgC·m-3·day-1) ,1,1.09,2.91,20.05,32.38
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,167.43,220.09,252.73,262.4
Distance to Land (km),0,0,9,156,685
 

Map data (HSPEC) for predicted occurrences (n = 607): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pentaceropsis,recurvirostris,-24.75,113.25,3211:143:3,0.07
Pentaceropsis,recurvirostris,-24.75,113.75,3211:143:4,0.03
Pentaceropsis,recurvirostris,-25.75,112.75,3211:352:4,0.03
Pentaceropsis,recurvirostris,-25.25,113.25,3211:353:1,0.14
Pentaceropsis,recurvirostris,-25.25,113.75,3211:353:2,0.14
Pentaceropsis,recurvirostris,-25.75,113.25,3211:353:3,0.16
Pentaceropsis,recurvirostris,-25.75,114.25,3211:354:3,0.14
Pentaceropsis,recurvirostris,-26.25,112.25,3211:362:1,0.01
Pentaceropsis,recurvirostris,-26.25,112.75,3211:362:2,0.02
Pentaceropsis,recurvirostris,-26.75,112.75,3211:362:4,0.03
Pentaceropsis,recurvirostris,-26.25,113.25,3211:363:1,0.12
Pentaceropsis,recurvirostris,-26.25,113.75,3211:363:2,0.18
Pentaceropsis,recurvirostris,-26.75,113.25,3211:363:3,0.06
Pentaceropsis,recurvirostris,-26.25,114.25,3211:364:1,0.18
Pentaceropsis,recurvirostris,-27.25,112.75,3211:372:2,0.04
Pentaceropsis,recurvirostris,-27.25,113.25,3211:373:1,0.08
Pentaceropsis,recurvirostris,-27.25,113.75,3211:373:2,0.12
Pentaceropsis,recurvirostris,-27.75,113.25,3211:373:3,0.09
Pentaceropsis,recurvirostris,-27.75,113.75,3211:373:4,0.13
Pentaceropsis,recurvirostris,-28.25,113.25,3211:383:1,0.10
Pentaceropsis,recurvirostris,-28.75,113.75,3211:383:4,0.15
Pentaceropsis,recurvirostris,-28.25,114.25,3211:384:1,0.19
Pentaceropsis,recurvirostris,-29.25,113.75,3211:393:2,0.15
Pentaceropsis,recurvirostris,-29.25,114.25,3211:394:1,0.15
Pentaceropsis,recurvirostris,-29.25,114.75,3211:394:2,0.19
Pentaceropsis,recurvirostris,-29.75,114.25,3211:394:3,0.18
Pentaceropsis,recurvirostris,-28.25,153.75,3215:383:2,0.01
Pentaceropsis,recurvirostris,-28.75,153.75,3215:383:4,0.04
Pentaceropsis,recurvirostris,-29.25,153.75,3215:393:2,0.07
Pentaceropsis,recurvirostris,-29.75,153.75,3215:393:4,0.06
Pentaceropsis,recurvirostris,-25.25,159.75,3215:459:2,0.03
Pentaceropsis,recurvirostris,-25.75,159.75,3215:459:4,0.02
Pentaceropsis,recurvirostris,-27.75,155.75,3215:475:4,0.06
Pentaceropsis,recurvirostris,-25.25,161.75,3216:351:2,0.02
Pentaceropsis,recurvirostris,-25.75,161.25,3216:351:3,0.03
Pentaceropsis,recurvirostris,-25.75,161.75,3216:351:4,0.03
Pentaceropsis,recurvirostris,-25.25,162.25,3216:352:1,0.02
Pentaceropsis,recurvirostris,-25.25,162.75,3216:352:2,0.02
Pentaceropsis,recurvirostris,-25.75,162.25,3216:352:3,0.03
Pentaceropsis,recurvirostris,-25.75,162.75,3216:352:4,0.02
Pentaceropsis,recurvirostris,-25.75,163.25,3216:353:3,0.02
Pentaceropsis,recurvirostris,-25.75,163.75,3216:353:4,0.02
Pentaceropsis,recurvirostris,-26.25,161.25,3216:361:1,0.04
Pentaceropsis,recurvirostris,-26.25,161.75,3216:361:2,0.03
Pentaceropsis,recurvirostris,-26.25,162.25,3216:362:1,0.03
Pentaceropsis,recurvirostris,-26.25,167.25,3216:467:1,0.02
Pentaceropsis,recurvirostris,-32.25,114.75,3311:124:2,0.09
Pentaceropsis,recurvirostris,-34.25,136.25,3313:246:1,0.16
Pentaceropsis,recurvirostris,-34.75,136.75,3313:246:4,0.19
Pentaceropsis,recurvirostris,-34.75,137.25,3313:247:3,0.16
Pentaceropsis,recurvirostris,-30.25,153.25,3315:103:1,0.16
Pentaceropsis,recurvirostris,-30.25,153.75,3315:103:2,0.08
Pentaceropsis,recurvirostris,-30.75,153.25,3315:103:3,0.16
Pentaceropsis,recurvirostris,-31.25,153.25,3315:113:1,0.14
Pentaceropsis,recurvirostris,-31.75,153.25,3315:113:3,0.16
Pentaceropsis,recurvirostris,-32.75,156.25,3315:226:3,0.09
Pentaceropsis,recurvirostris,-38.25,150.25,3315:380:1,0.01
Pentaceropsis,recurvirostris,-30.25,167.75,3316:207:2,0.08
Pentaceropsis,recurvirostris,-39.25,171.75,3317:391:2,0.09
Pentaceropsis,recurvirostris,-35.25,175.25,3317:455:1,0.14
Pentaceropsis,recurvirostris,-40.75,144.75,3414:104:4,0.10
Pentaceropsis,recurvirostris,-43.75,168.75,3416:238:4,0.15
Pentaceropsis,recurvirostris,-43.25,169.75,3416:239:2,0.09
Pentaceropsis,recurvirostris,-44.75,167.25,3416:247:3,0.18
Pentaceropsis,recurvirostris,-44.75,167.75,3416:247:4,0.11
Pentaceropsis,recurvirostris,-44.25,168.25,3416:248:1,0.18
Pentaceropsis,recurvirostris,-45.75,166.25,3416:456:3,0.16
Pentaceropsis,recurvirostris,-45.75,166.75,3416:456:4,0.14
Pentaceropsis,recurvirostris,-45.25,167.25,3416:457:1,0.08
Pentaceropsis,recurvirostris,-46.25,165.75,3416:465:2,0.09
Pentaceropsis,recurvirostris,-46.75,165.75,3416:465:4,0.05
Pentaceropsis,recurvirostris,-46.25,166.25,3416:466:1,0.08
Pentaceropsis,recurvirostris,-46.75,166.25,3416:466:3,0.04
Pentaceropsis,recurvirostris,-46.75,166.75,3416:466:4,0.04
Pentaceropsis,recurvirostris,-47.25,166.75,3416:476:2,0.02
Pentaceropsis,recurvirostris,-47.75,166.75,3416:476:4,0.01
Pentaceropsis,recurvirostris,-47.25,167.25,3416:477:1,0.01
Pentaceropsis,recurvirostris,-40.75,173.25,3417:103:3,0.05
Pentaceropsis,recurvirostris,-41.25,171.75,3417:111:2,0.03
Pentaceropsis,recurvirostris,-41.75,174.75,3417:114:4,0.03
Pentaceropsis,recurvirostris,-43.25,174.75,3417:134:2,0.01
Pentaceropsis,recurvirostris,-40.75,177.25,3417:207:3,0.07
Pentaceropsis,recurvirostris,-41.75,175.25,3417:215:3,0.09
Pentaceropsis,recurvirostris,-43.25,175.25,3417:235:1,0.06
Pentaceropsis,recurvirostris,-43.25,175.75,3417:235:2,0.09
Pentaceropsis,recurvirostris,-43.25,176.25,3417:236:1,0.02
Pentaceropsis,recurvirostris,-43.25,176.75,3417:236:2,0.17
Pentaceropsis,recurvirostris,-43.25,177.25,3417:237:1,0.13
Pentaceropsis,recurvirostris,-43.25,177.75,3417:237:2,0.03
Pentaceropsis,recurvirostris,-30.25,-178.75,5317:208:2,0.01
Pentaceropsis,recurvirostris,-30.75,-178.25,5317:208:3,0.08
Pentaceropsis,recurvirostris,-30.75,-178.75,5317:208:4,0.11
Pentaceropsis,recurvirostris,-43.75,-175.25,5417:235:3,0.09
Pentaceropsis,recurvirostris,-43.75,-175.75,5417:235:4,0.08
Pentaceropsis,recurvirostris,-43.75,-176.25,5417:236:3,0.03
Pentaceropsis,recurvirostris,-43.75,-176.75,5417:236:4,0.04
Pentaceropsis,recurvirostris,-43.75,-177.25,5417:237:3,0.06
Pentaceropsis,recurvirostris,-44.25,-175.25,5417:245:1,0.16
Pentaceropsis,recurvirostris,-25.75,113.75,3211:353:4,0.21
Pentaceropsis,recurvirostris,-26.75,113.75,3211:363:4,0.20
Pentaceropsis,recurvirostris,-27.25,114.25,3211:374:1,0.28
Pentaceropsis,recurvirostris,-27.75,114.25,3211:374:3,0.25
Pentaceropsis,recurvirostris,-28.25,113.75,3211:383:2,0.20
Pentaceropsis,recurvirostris,-28.25,114.75,3211:384:2,0.29
Pentaceropsis,recurvirostris,-28.75,114.25,3211:384:3,0.23
Pentaceropsis,recurvirostris,-28.75,114.75,3211:384:4,0.24
Pentaceropsis,recurvirostris,-29.75,114.75,3211:394:4,0.23
Pentaceropsis,recurvirostris,-29.25,153.25,3215:393:1,0.21
Pentaceropsis,recurvirostris,-29.75,153.25,3215:393:3,0.24
Pentaceropsis,recurvirostris,-29.25,159.25,3215:499:1,0.31
Pentaceropsis,recurvirostris,-29.75,159.25,3215:499:3,0.32
Pentaceropsis,recurvirostris,-28.25,167.25,3216:487:1,0.20
Pentaceropsis,recurvirostris,-30.25,114.75,3311:104:2,0.26
Pentaceropsis,recurvirostris,-30.75,114.75,3311:104:4,0.28
Pentaceropsis,recurvirostris,-31.25,114.75,3311:114:2,0.34
Pentaceropsis,recurvirostris,-30.25,115.25,3311:205:1,0.39
Pentaceropsis,recurvirostris,-33.75,122.25,3312:132:3,0.36
Pentaceropsis,recurvirostris,-31.75,132.25,3313:112:3,0.26
Pentaceropsis,recurvirostris,-34.25,137.75,3313:247:2,0.25
Pentaceropsis,recurvirostris,-34.25,138.25,3313:248:1,0.24
Pentaceropsis,recurvirostris,-31.25,152.75,3315:112:2,0.30
Pentaceropsis,recurvirostris,-31.75,152.75,3315:112:4,0.22
Pentaceropsis,recurvirostris,-32.25,152.25,3315:122:1,0.35
Pentaceropsis,recurvirostris,-32.25,152.75,3315:122:2,0.25
Pentaceropsis,recurvirostris,-32.75,152.75,3315:122:4,0.32
Pentaceropsis,recurvirostris,-32.25,153.25,3315:123:1,0.21
Pentaceropsis,recurvirostris,-30.75,156.25,3315:206:3,0.20
Pentaceropsis,recurvirostris,-35.75,174.25,3317:354:3,0.21
Pentaceropsis,recurvirostris,-39.75,171.75,3317:391:4,0.38
Pentaceropsis,recurvirostris,-39.25,177.25,3317:497:1,0.39
Pentaceropsis,recurvirostris,-42.75,147.75,3414:227:4,0.36
Pentaceropsis,recurvirostris,-42.25,148.25,3414:228:1,0.24
Pentaceropsis,recurvirostris,-42.75,169.75,3416:229:4,0.34
Pentaceropsis,recurvirostris,-44.25,167.75,3416:247:2,0.37
Pentaceropsis,recurvirostris,-45.25,166.75,3416:456:2,0.23
Pentaceropsis,recurvirostris,-40.75,173.75,3417:103:4,0.35
Pentaceropsis,recurvirostris,-41.25,170.75,3417:110:2,0.25
Pentaceropsis,recurvirostris,-41.25,174.75,3417:114:2,0.26
Pentaceropsis,recurvirostris,-41.25,175.25,3417:215:1,0.33
Pentaceropsis,recurvirostris,-41.75,175.75,3417:215:4,0.23
Pentaceropsis,recurvirostris,-31.25,-178.75,5317:218:2,0.27
Pentaceropsis,recurvirostris,-43.25,-176.25,5417:236:1,0.29
Pentaceropsis,recurvirostris,-43.25,-176.75,5417:236:2,0.25
Pentaceropsis,recurvirostris,-43.25,-177.25,5417:237:1,0.27
Pentaceropsis,recurvirostris,-28.75,167.75,3216:487:4,0.46
Pentaceropsis,recurvirostris,-28.75,168.25,3216:488:3,0.47
Pentaceropsis,recurvirostris,-29.25,167.75,3216:497:2,0.51
Pentaceropsis,recurvirostris,-29.75,167.75,3216:497:4,0.54
Pentaceropsis,recurvirostris,-29.25,168.25,3216:498:1,0.52
Pentaceropsis,recurvirostris,-29.75,168.25,3216:498:3,0.55
Pentaceropsis,recurvirostris,-32.75,114.75,3311:124:4,0.53
Pentaceropsis,recurvirostris,-30.75,115.25,3311:205:3,0.43
Pentaceropsis,recurvirostris,-31.25,115.25,3311:215:1,0.45
Pentaceropsis,recurvirostris,-31.75,115.25,3311:215:3,0.51
Pentaceropsis,recurvirostris,-31.75,115.75,3311:215:4,0.57
Pentaceropsis,recurvirostris,-32.25,115.25,3311:225:1,0.56
Pentaceropsis,recurvirostris,-32.75,115.75,3311:225:4,0.40
Pentaceropsis,recurvirostris,-33.25,115.75,3311:235:2,0.59
Pentaceropsis,recurvirostris,-35.25,115.25,3311:455:1,0.47
Pentaceropsis,recurvirostris,-31.75,128.25,3312:218:3,0.57
Pentaceropsis,recurvirostris,-31.75,131.25,3313:111:3,0.57
Pentaceropsis,recurvirostris,-31.75,131.75,3313:111:4,0.53
Pentaceropsis,recurvirostris,-32.25,132.25,3313:122:1,0.50
Pentaceropsis,recurvirostris,-32.25,132.75,3313:122:2,0.54
Pentaceropsis,recurvirostris,-34.75,138.75,3313:248:4,0.50
Pentaceropsis,recurvirostris,-37.75,140.75,3314:370:4,0.54
Pentaceropsis,recurvirostris,-32.75,151.75,3315:121:4,0.55
Pentaceropsis,recurvirostris,-32.75,152.25,3315:122:3,0.49
Pentaceropsis,recurvirostris,-33.25,151.75,3315:131:2,0.59
Pentaceropsis,recurvirostris,-33.75,151.75,3315:131:4,0.53
Pentaceropsis,recurvirostris,-33.25,152.25,3315:132:1,0.45
Pentaceropsis,recurvirostris,-34.25,151.75,3315:141:2,0.46
Pentaceropsis,recurvirostris,-31.25,159.25,3315:219:1,0.42
Pentaceropsis,recurvirostris,-31.75,159.25,3315:219:3,0.45
Pentaceropsis,recurvirostris,-33.25,156.25,3315:236:1,0.44
Pentaceropsis,recurvirostris,-35.25,151.25,3315:351:1,0.59
Pentaceropsis,recurvirostris,-31.75,167.75,3316:217:4,0.56
Pentaceropsis,recurvirostris,-39.25,172.25,3317:392:1,0.51
Pentaceropsis,recurvirostris,-39.75,172.25,3317:392:3,0.58
Pentaceropsis,recurvirostris,-39.75,174.25,3317:394:3,0.44
Pentaceropsis,recurvirostris,-35.75,176.25,3317:456:3,0.43
Pentaceropsis,recurvirostris,-37.75,176.75,3317:476:4,0.54
Pentaceropsis,recurvirostris,-37.75,179.25,3317:479:3,0.56
Pentaceropsis,recurvirostris,-39.75,175.25,3317:495:3,0.42
Pentaceropsis,recurvirostris,-40.25,144.25,3414:104:1,0.51
Pentaceropsis,recurvirostris,-42.25,145.75,3414:225:2,0.57
Pentaceropsis,recurvirostris,-43.25,146.25,3414:236:1,0.45
Pentaceropsis,recurvirostris,-44.25,146.75,3414:246:2,0.41
Pentaceropsis,recurvirostris,-43.75,168.25,3416:238:3,0.50
