Mapping parameters for Pentaprion longimanus (Longfin mojarra)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  61 |  71,
Bounding Box (NSWE): ,,-24,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,37,113,220
Temperature (°C),1,18.4,26.07,28.81,33.01
Salinity (psu),1,20.55,32.15,35.08,38.65
Primary Production (mgC·m-3·day-1) ,1,0.87,3.22,16.49,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,35.4,158.78,209.17,249.82
Distance to Land (km),0,2,17,248,410
 

Map data (HSPEC) for predicted occurrences (n = 5256): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pentaprion,longimanus,-21.25,-178.75,5217:218:2,0.03
Pentaprion,longimanus,-20.75,-178.75,5217:208:4,0.05
Pentaprion,longimanus,-19.75,-178.25,5117:498:3,0.08
Pentaprion,longimanus,-19.25,-178.75,5117:498:2,0.15
Pentaprion,longimanus,-19.25,-178.25,5117:498:1,0.10
Pentaprion,longimanus,-18.75,-178.25,5117:488:3,0.13
Pentaprion,longimanus,-18.25,-178.75,5117:488:2,0.19
Pentaprion,longimanus,-18.25,-178.25,5117:488:1,0.13
Pentaprion,longimanus,-17.75,-179.25,5117:479:3,0.19
Pentaprion,longimanus,-17.25,-179.25,5117:479:1,0.16
Pentaprion,longimanus,-17.75,-178.75,5117:478:4,0.14
Pentaprion,longimanus,-17.75,-178.25,5117:478:3,0.04
Pentaprion,longimanus,-17.25,-178.75,5117:478:2,0.13
Pentaprion,longimanus,-16.75,-179.25,5117:469:3,0.05
Pentaprion,longimanus,-16.25,-179.75,5117:469:2,0.07
Pentaprion,longimanus,-10.75,-179.25,5117:209:3,0.05
Pentaprion,longimanus,-22.25,171.25,3217:121:1,0.03
Pentaprion,longimanus,-22.75,169.75,3216:229:4,0.08
Pentaprion,longimanus,-22.75,169.25,3216:229:3,0.03
Pentaprion,longimanus,-22.25,169.25,3216:229:1,0.07
Pentaprion,longimanus,-22.75,168.25,3216:228:3,0.17
Pentaprion,longimanus,-22.25,168.75,3216:228:2,0.10
Pentaprion,longimanus,-22.75,166.75,3216:226:4,0.18
Pentaprion,longimanus,-21.75,168.75,3216:218:4,0.07
Pentaprion,longimanus,-21.75,168.25,3216:218:3,0.14
Pentaprion,longimanus,-21.25,168.25,3216:218:1,0.09
Pentaprion,longimanus,-21.75,167.75,3216:217:4,0.16
Pentaprion,longimanus,-21.25,167.75,3216:217:2,0.10
Pentaprion,longimanus,-21.25,167.25,3216:217:1,0.12
Pentaprion,longimanus,-21.75,166.25,3216:216:3,0.19
Pentaprion,longimanus,-21.25,166.25,3216:216:1,0.13
Pentaprion,longimanus,-21.75,165.25,3216:215:3,0.19
Pentaprion,longimanus,-20.75,167.25,3216:207:3,0.06
Pentaprion,longimanus,-20.75,166.75,3216:206:4,0.08
Pentaprion,longimanus,-20.75,166.25,3216:206:3,0.07
Pentaprion,longimanus,-20.25,166.75,3216:206:2,0.02
Pentaprion,longimanus,-20.25,166.25,3216:206:1,0.02
Pentaprion,longimanus,-20.75,165.75,3216:205:4,0.08
Pentaprion,longimanus,-20.75,165.25,3216:205:3,0.18
Pentaprion,longimanus,-21.25,161.75,3216:111:2,0.12
Pentaprion,longimanus,-20.25,164.75,3216:104:2,0.16
Pentaprion,longimanus,-20.75,161.75,3216:101:4,0.05
Pentaprion,longimanus,-20.75,161.25,3216:101:3,0.10
Pentaprion,longimanus,-20.25,161.25,3216:101:1,0.03
Pentaprion,longimanus,-20.75,160.75,3216:100:4,0.10
Pentaprion,longimanus,-20.25,160.75,3216:100:2,0.02
Pentaprion,longimanus,-21.25,159.75,3215:219:2,0.09
Pentaprion,longimanus,-23.25,152.75,3215:132:2,0.04
Pentaprion,longimanus,-20.25,151.75,3215:101:2,0.12
Pentaprion,longimanus,-20.75,150.75,3215:100:4,0.04
Pentaprion,longimanus,-20.25,57.75,3205:207:2,0.01
Pentaprion,longimanus,-20.25,57.25,3205:207:1,0.03
Pentaprion,longimanus,-21.75,39.75,3203:219:4,0.03
Pentaprion,longimanus,-20.25,34.75,3203:104:2,0.11
Pentaprion,longimanus,-16.25,179.75,3117:469:2,0.15
Pentaprion,longimanus,-10.75,179.75,3117:209:4,0.03
Pentaprion,longimanus,-10.25,179.75,3117:209:2,0.11
Pentaprion,longimanus,-11.75,173.75,3117:113:4,0.05
Pentaprion,longimanus,-19.75,169.75,3116:499:4,0.03
Pentaprion,longimanus,-19.75,169.25,3116:499:3,0.07
Pentaprion,longimanus,-19.25,169.75,3116:499:2,0.02
Pentaprion,longimanus,-19.25,169.25,3116:499:1,0.08
Pentaprion,longimanus,-18.75,169.25,3116:489:3,0.08
Pentaprion,longimanus,-18.25,168.75,3116:488:2,0.01
Pentaprion,longimanus,-17.75,168.75,3116:478:4,0.11
Pentaprion,longimanus,-17.75,168.25,3116:478:3,0.15
Pentaprion,longimanus,-17.25,168.75,3116:478:2,0.07
Pentaprion,longimanus,-17.25,168.25,3116:478:1,0.14
Pentaprion,longimanus,-16.75,168.75,3116:468:4,0.03
Pentaprion,longimanus,-16.75,168.25,3116:468:3,0.17
Pentaprion,longimanus,-16.25,168.25,3116:468:1,0.13
Pentaprion,longimanus,-16.25,167.75,3116:467:2,0.18
Pentaprion,longimanus,-15.75,167.25,3116:457:3,0.19
Pentaprion,longimanus,-15.25,167.75,3116:457:2,0.01
Pentaprion,longimanus,-15.25,167.25,3116:457:1,0.14
Pentaprion,longimanus,-15.75,166.25,3116:456:3,0.16
Pentaprion,longimanus,-15.25,166.75,3116:456:2,0.17
Pentaprion,longimanus,-19.75,164.25,3116:394:3,0.07
Pentaprion,longimanus,-19.75,163.75,3116:393:4,0.19
Pentaprion,longimanus,-19.25,163.75,3116:393:2,0.11
Pentaprion,longimanus,-18.75,163.75,3116:383:4,0.03
Pentaprion,longimanus,-18.75,163.25,3116:383:3,0.15
Pentaprion,longimanus,-18.25,163.25,3116:383:1,0.11
Pentaprion,longimanus,-18.75,162.75,3116:382:4,0.09
Pentaprion,longimanus,-18.25,162.75,3116:382:2,0.14
Pentaprion,longimanus,-14.75,167.25,3116:247:3,0.03
Pentaprion,longimanus,-14.25,167.25,3116:247:1,0.01
Pentaprion,longimanus,-14.75,166.75,3116:246:4,0.11
Pentaprion,longimanus,-13.75,167.25,3116:237:3,0.02
Pentaprion,longimanus,-10.75,161.25,3116:101:3,0.12
Pentaprion,longimanus,-19.75,159.25,3115:499:3,0.03
Pentaprion,longimanus,-19.25,159.25,3115:499:1,0.06
Pentaprion,longimanus,-19.75,158.25,3115:498:3,0.08
Pentaprion,longimanus,-19.25,158.75,3115:498:2,0.10
Pentaprion,longimanus,-19.25,158.25,3115:498:1,0.02
Pentaprion,longimanus,-19.25,152.25,3115:392:1,0.14
Pentaprion,longimanus,-19.75,151.75,3115:391:4,0.15
Pentaprion,longimanus,-19.25,151.25,3115:391:1,0.10
Pentaprion,longimanus,-17.75,150.75,3115:370:4,0.07
Pentaprion,longimanus,-17.75,150.25,3115:370:3,0.06
Pentaprion,longimanus,-17.25,150.75,3115:370:2,0.01
Pentaprion,longimanus,-17.25,150.25,3115:370:1,0.02
Pentaprion,longimanus,-16.25,150.25,3115:360:1,0.01
Pentaprion,longimanus,-18.75,149.25,3114:489:3,0.03
Pentaprion,longimanus,-17.25,149.75,3114:479:2,0.01
Pentaprion,longimanus,-17.75,148.75,3114:478:4,0.13
Pentaprion,longimanus,-17.25,148.75,3114:478:2,0.01
Pentaprion,longimanus,-17.25,148.25,3114:478:1,0.07
Pentaprion,longimanus,-16.25,148.25,3114:468:1,0.06
Pentaprion,longimanus,-16.75,147.75,3114:467:4,0.06
Pentaprion,longimanus,-16.25,147.75,3114:467:2,0.07
Pentaprion,longimanus,-15.75,149.75,3114:459:4,0.09
Pentaprion,longimanus,-15.75,149.25,3114:459:3,0.13
Pentaprion,longimanus,-10.75,143.25,3114:103:3,0.05
Pentaprion,longimanus,-15.25,135.75,3113:455:2,0.09
