Mapping parameters for Peristedion cataphractum (African armoured searobin)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37 |  47,
Bounding Box (NSWE): ,52,-15,-18,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,50,149,150,848
Temperature (°C),1,8.49,18.74,27.74,31.94
Salinity (psu),1,17.55,28.85,38.22,39.21
Primary Production (mgC·m-3·day-1) ,1,-0.42,0.58,44.05,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.45,85.73,241.65,280.12
Distance to Land (km),0,2,13,134,331
 

Map data (HSPEC) for predicted occurrences (n = 1588): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Peristedion,cataphractum,51.75,-12.25,7501:112:3,0.03
Peristedion,cataphractum,50.75,-14.25,7501:104:3,0.09
Peristedion,cataphractum,50.75,-13.75,7501:103:4,0.06
Peristedion,cataphractum,51.75,-9.75,7500:219:4,0.11
Peristedion,cataphractum,51.75,-8.75,7500:218:4,0.14
Peristedion,cataphractum,51.75,-6.75,7500:216:4,0.14
Peristedion,cataphractum,51.75,-5.25,7500:215:3,0.09
Peristedion,cataphractum,51.25,-5.25,7500:215:1,0.16
Peristedion,cataphractum,50.75,-5.25,7500:205:3,0.15
Peristedion,cataphractum,50.25,-5.75,7500:205:2,0.13
Peristedion,cataphractum,50.25,-5.25,7500:205:1,0.06
Peristedion,cataphractum,51.75,-4.75,7500:114:4,0.14
Peristedion,cataphractum,51.25,-4.75,7500:114:2,0.15
Peristedion,cataphractum,51.25,-4.25,7500:114:1,0.09
Peristedion,cataphractum,51.25,-3.75,7500:113:2,0.15
Peristedion,cataphractum,51.25,-3.25,7500:113:1,0.19
Peristedion,cataphractum,51.25,-2.75,7500:112:2,0.13
Peristedion,cataphractum,50.75,-4.75,7500:104:4,0.16
Peristedion,cataphractum,50.25,-4.75,7500:104:2,0.14
Peristedion,cataphractum,50.25,-4.25,7500:104:1,0.14
Peristedion,cataphractum,50.25,-3.25,7500:103:1,0.12
Peristedion,cataphractum,50.25,-2.75,7500:102:2,0.09
Peristedion,cataphractum,50.25,-2.25,7500:102:1,0.07
Peristedion,cataphractum,50.75,-1.75,7500:101:4,0.03
Peristedion,cataphractum,50.75,-1.25,7500:101:3,0.10
Peristedion,cataphractum,50.25,-1.75,7500:101:2,0.13
Peristedion,cataphractum,50.25,-1.25,7500:101:1,0.09
Peristedion,cataphractum,50.75,-0.25,7500:100:3,0.02
Peristedion,cataphractum,50.25,-0.75,7500:100:2,0.06
Peristedion,cataphractum,50.25,-0.25,7500:100:1,0.02
Peristedion,cataphractum,49.75,-11.75,7401:391:4,0.11
Peristedion,cataphractum,49.25,-11.75,7401:391:2,0.19
Peristedion,cataphractum,48.75,-11.25,7401:381:3,0.14
Peristedion,cataphractum,46.75,-5.75,7400:465:4,0.02
Peristedion,cataphractum,49.75,-4.75,7400:394:4,0.19
Peristedion,cataphractum,49.75,-3.75,7400:393:4,0.18
Peristedion,cataphractum,49.25,-3.75,7400:393:2,0.19
Peristedion,cataphractum,49.75,-2.75,7400:392:4,0.10
Peristedion,cataphractum,49.75,-2.25,7400:392:3,0.13
Peristedion,cataphractum,49.25,-2.75,7400:392:2,0.07
Peristedion,cataphractum,49.75,-1.75,7400:391:4,0.10
Peristedion,cataphractum,49.75,-1.25,7400:391:3,0.07
Peristedion,cataphractum,49.25,-1.25,7400:391:1,0.18
Peristedion,cataphractum,49.75,-0.75,7400:390:4,0.03
Peristedion,cataphractum,49.75,-0.25,7400:390:3,0.02
Peristedion,cataphractum,49.25,-0.25,7400:390:1,0.03
Peristedion,cataphractum,46.75,-2.25,7400:362:3,0.14
Peristedion,cataphractum,46.25,-1.75,7400:361:2,0.07
Peristedion,cataphractum,46.25,-1.25,7400:361:1,0.01
