Mapping parameters for Perna perna (South American rock mussel)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 31 |  34 |  37 |  41 |  47 |  51 |  57,
Bounding Box (NSWE): ,37,-35,-64,82

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,9.59,16.85,27.21,31.41
Salinity (psu),1,21.03,32.77,36.5,37.87
Primary Production (mgC·m-3·day-1) ,1,0.3,5.61,75.82,110.84
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,4.27,102.51,231.78,276.25
Distance to Land (km),0,0,4,50,594
 

Map data (HSPEC) for predicted occurrences (n = 2067): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Perna,perna,4.75,4.75,1000:144:4,0.06
Perna,perna,2.25,9.75,1000:229:2,0.14
Perna,perna,2.75,9.75,1000:229:4,0.14
Perna,perna,3.75,7.75,1000:237:4,0.01
Perna,perna,3.25,8.25,1000:238:1,0.01
Perna,perna,3.25,8.75,1000:238:2,0.03
Perna,perna,3.75,8.25,1000:238:3,0.01
Perna,perna,3.25,9.25,1000:239:1,0.16
Perna,perna,3.25,9.75,1000:239:2,0.10
Perna,perna,3.75,9.25,1000:239:3,0.14
Perna,perna,3.75,9.75,1000:239:4,0.14
Perna,perna,4.75,6.75,1000:246:4,0.09
Perna,perna,4.25,7.75,1000:247:2,0.17
Perna,perna,4.75,7.25,1000:247:3,0.08
Perna,perna,4.25,8.25,1000:248:1,0.09
Perna,perna,4.25,8.75,1000:248:2,0.15
Perna,perna,4.25,9.75,1000:249:2,0.07
Perna,perna,6.75,3.75,1000:363:4,0.14
Perna,perna,5.25,5.75,1000:455:2,0.09
Perna,perna,5.75,5.75,1000:455:4,0.09
Perna,perna,3.25,10.25,1001:130:1,0.03
Perna,perna,7.25,72.75,1007:372:2,0.19
Perna,perna,7.25,73.25,1007:373:1,0.19
Perna,perna,8.25,73.25,1007:383:1,0.19
Perna,perna,16.75,39.25,1103:469:3,0.18
Perna,perna,16.75,39.75,1103:469:4,0.19
Perna,perna,17.25,39.25,1103:479:1,0.19
Perna,perna,17.75,39.25,1103:479:3,0.19
Perna,perna,19.75,37.75,1103:497:4,0.15
Perna,perna,19.25,38.25,1103:498:1,0.15
Perna,perna,19.75,39.75,1103:499:4,0.12
Perna,perna,14.75,41.75,1104:141:4,0.12
Perna,perna,13.75,48.75,1104:238:4,0.06
Perna,perna,16.75,40.75,1104:360:4,0.17
Perna,perna,17.75,40.75,1104:370:4,0.11
Perna,perna,18.25,40.75,1104:380:2,0.18
Perna,perna,18.75,40.75,1104:380:4,0.12
Perna,perna,19.25,40.25,1104:390:1,0.14
Perna,perna,19.25,40.75,1104:390:2,0.09
Perna,perna,19.75,40.25,1104:390:3,0.13
Perna,perna,19.75,40.75,1104:390:4,0.09
Perna,perna,19.25,41.25,1104:391:1,0.18
Perna,perna,19.25,69.75,1106:499:2,0.12
Perna,perna,10.25,72.25,1107:102:1,0.18
Perna,perna,10.75,72.25,1107:102:3,0.19
Perna,perna,10.75,72.75,1107:102:4,0.18
Perna,perna,11.75,71.75,1107:111:4,0.19
Perna,perna,11.25,72.25,1107:112:1,0.19
Perna,perna,11.25,72.75,1107:112:2,0.19
Perna,perna,11.75,72.75,1107:112:4,0.19
Perna,perna,12.25,71.75,1107:121:2,0.19
Perna,perna,18.25,71.75,1107:381:2,0.08
Perna,perna,18.75,71.75,1107:381:4,0.17
Perna,perna,18.75,72.25,1107:382:3,0.19
Perna,perna,18.75,73.25,1107:383:3,0.17
Perna,perna,19.25,73.25,1107:393:1,0.18
Perna,perna,12.75,80.75,1108:120:4,0.18
Perna,perna,20.25,37.75,1203:207:2,0.10
Perna,perna,20.75,37.75,1203:207:4,0.03
Perna,perna,20.25,39.25,1203:209:1,0.12
Perna,perna,20.25,39.75,1203:209:2,0.14
Perna,perna,20.75,39.75,1203:209:4,0.18
Perna,perna,21.75,36.75,1203:216:4,0.16
Perna,perna,21.25,37.25,1203:217:1,0.12
Perna,perna,21.25,37.75,1203:217:2,0.04
Perna,perna,21.75,37.25,1203:217:3,0.05
Perna,perna,21.75,39.25,1203:219:3,0.17
Perna,perna,22.75,35.75,1203:225:4,0.09
Perna,perna,22.25,36.25,1203:226:1,0.13
Perna,perna,22.25,36.75,1203:226:2,0.05
Perna,perna,22.75,36.25,1203:226:3,0.09
Perna,perna,22.25,37.25,1203:227:1,0.01
Perna,perna,22.75,38.75,1203:228:4,0.11
Perna,perna,22.25,39.25,1203:229:1,0.15
Perna,perna,22.75,39.25,1203:229:3,0.12
Perna,perna,23.25,38.75,1203:238:2,0.07
Perna,perna,23.75,38.75,1203:238:4,0.08
Perna,perna,24.25,38.25,1203:248:1,0.02
Perna,perna,20.25,40.25,1204:100:1,0.15
Perna,perna,29.25,49.25,1204:499:1,0.16
Perna,perna,23.75,51.75,1205:131:4,0.18
Perna,perna,24.25,51.75,1205:141:2,0.07
Perna,perna,24.75,51.25,1205:141:3,0.15
Perna,perna,25.75,51.25,1205:351:3,0.06
Perna,perna,26.25,50.75,1205:360:2,0.10
Perna,perna,26.75,50.25,1205:360:3,0.03
Perna,perna,26.75,53.75,1205:363:4,0.04
Perna,perna,26.25,54.75,1205:364:2,0.02
Perna,perna,26.75,54.25,1205:364:3,0.15
Perna,perna,25.25,56.25,1205:456:1,0.19
Perna,perna,25.75,56.75,1205:456:4,0.16
Perna,perna,25.75,59.25,1205:459:3,0.13
Perna,perna,26.25,55.25,1205:465:1,0.08
Perna,perna,26.25,55.75,1205:465:2,0.05
Perna,perna,25.75,64.25,1206:354:3,0.15
