Mapping parameters for Phocarctos hookeri (Hooker's sea lion)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  81 ,
Bounding Box (NSWE): ,0,-90,155,-170

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,200,2000
Temperature (°C),1,2.31,7.94,14.89,17.9
Salinity (psu),1,33.66,34.16,35.16,35.66
Primary Production (mgC·m-3·day-1) ,1,2.79,3.79,35.36,57.59
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,160.33,236.11,281.34,307.68
Distance to Land (km),0,2,9,203,361
 

Map data (HSPEC) for predicted occurrences (n = 919): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Phocarctos,hookeri,-36.75,164.75,3316:364:4,0.01
Phocarctos,hookeri,-37.25,163.75,3316:373:2,0.01
Phocarctos,hookeri,-37.75,163.75,3316:373:4,0.02
Phocarctos,hookeri,-37.25,164.25,3316:374:1,0.02
Phocarctos,hookeri,-37.25,164.75,3316:374:2,0.01
Phocarctos,hookeri,-37.75,164.25,3316:374:3,0.02
Phocarctos,hookeri,-37.75,164.75,3316:374:4,0.01
Phocarctos,hookeri,-38.25,164.25,3316:384:1,0.01
Phocarctos,hookeri,-38.25,164.75,3316:384:2,0.01
Phocarctos,hookeri,-38.75,164.75,3316:384:4,0.01
Phocarctos,hookeri,-39.75,164.75,3316:394:4,0.03
Phocarctos,hookeri,-36.75,165.25,3316:465:3,0.01
Phocarctos,hookeri,-36.75,165.75,3316:465:4,0.01
Phocarctos,hookeri,-36.75,166.25,3316:466:3,0.01
Phocarctos,hookeri,-36.75,167.25,3316:467:3,0.01
Phocarctos,hookeri,-37.25,165.25,3316:475:1,0.01
Phocarctos,hookeri,-37.75,165.25,3316:475:3,0.01
Phocarctos,hookeri,-37.25,166.75,3316:476:2,0.01
Phocarctos,hookeri,-37.25,167.25,3316:477:1,0.01
Phocarctos,hookeri,-38.75,165.25,3316:485:3,0.01
Phocarctos,hookeri,-39.25,165.25,3316:495:1,0.02
Phocarctos,hookeri,-39.25,165.75,3316:495:2,0.01
Phocarctos,hookeri,-39.75,166.75,3316:496:4,0.02
Phocarctos,hookeri,-39.75,167.25,3316:497:3,0.02
Phocarctos,hookeri,-39.75,169.75,3316:499:4,0.02
Phocarctos,hookeri,-34.25,171.75,3317:141:2,0.01
Phocarctos,hookeri,-34.25,172.25,3317:142:1,0.05
Phocarctos,hookeri,-34.25,172.75,3317:142:2,0.02
Phocarctos,hookeri,-34.75,172.25,3317:142:3,0.02
Phocarctos,hookeri,-34.75,172.75,3317:142:4,0.06
Phocarctos,hookeri,-34.75,173.25,3317:143:3,0.02
Phocarctos,hookeri,-35.25,172.75,3317:352:2,0.05
Phocarctos,hookeri,-35.75,172.25,3317:352:3,0.01
Phocarctos,hookeri,-35.75,172.75,3317:352:4,0.02
Phocarctos,hookeri,-35.25,173.25,3317:353:1,0.03
Phocarctos,hookeri,-35.75,173.25,3317:353:3,0.07
Phocarctos,hookeri,-35.75,173.75,3317:353:4,0.06
Phocarctos,hookeri,-35.25,174.25,3317:354:1,0.01
Phocarctos,hookeri,-35.75,174.25,3317:354:3,0.05
Phocarctos,hookeri,-35.75,174.75,3317:354:4,0.01
Phocarctos,hookeri,-36.25,172.75,3317:362:2,0.02
Phocarctos,hookeri,-36.75,172.75,3317:362:4,0.01
Phocarctos,hookeri,-36.25,173.25,3317:363:1,0.04
Phocarctos,hookeri,-36.25,173.75,3317:363:2,0.12
Phocarctos,hookeri,-36.75,173.25,3317:363:3,0.02
Phocarctos,hookeri,-36.75,173.75,3317:363:4,0.09
Phocarctos,hookeri,-36.25,174.25,3317:364:1,0.15
Phocarctos,hookeri,-36.25,174.75,3317:364:2,0.05
Phocarctos,hookeri,-36.75,174.25,3317:364:3,0.18
Phocarctos,hookeri,-37.25,172.75,3317:372:2,0.03
Phocarctos,hookeri,-37.75,172.25,3317:372:3,0.06
Phocarctos,hookeri,-37.75,172.75,3317:372:4,0.04
Phocarctos,hookeri,-37.25,173.25,3317:373:1,0.05
Phocarctos,hookeri,-37.25,173.75,3317:373:2,0.09
Phocarctos,hookeri,-37.75,173.25,3317:373:3,0.05
Phocarctos,hookeri,-37.75,173.75,3317:373:4,0.11
Phocarctos,hookeri,-37.25,174.25,3317:374:1,0.18
Phocarctos,hookeri,-38.75,170.75,3317:380:4,0.04
Phocarctos,hookeri,-38.25,171.25,3317:381:1,0.01
Phocarctos,hookeri,-38.25,171.75,3317:381:2,0.05
Phocarctos,hookeri,-38.75,171.25,3317:381:3,0.13
Phocarctos,hookeri,-38.75,171.75,3317:381:4,0.18
Phocarctos,hookeri,-38.25,172.25,3317:382:1,0.10
Phocarctos,hookeri,-38.25,172.75,3317:382:2,0.19
Phocarctos,hookeri,-38.25,173.25,3317:383:1,0.18
Phocarctos,hookeri,-39.25,170.25,3317:390:1,0.01
Phocarctos,hookeri,-39.25,170.75,3317:390:2,0.11
Phocarctos,hookeri,-39.75,170.25,3317:390:3,0.05
Phocarctos,hookeri,-39.75,170.75,3317:390:4,0.18
Phocarctos,hookeri,-36.25,175.25,3317:465:1,0.04
Phocarctos,hookeri,-36.25,175.75,3317:465:2,0.01
Phocarctos,hookeri,-36.75,175.75,3317:465:4,0.05
Phocarctos,hookeri,-37.25,175.25,3317:475:1,0.16
Phocarctos,hookeri,-37.25,175.75,3317:475:2,0.10
Phocarctos,hookeri,-37.75,175.75,3317:475:4,0.02
Phocarctos,hookeri,-37.25,176.25,3317:476:1,0.05
Phocarctos,hookeri,-37.75,176.25,3317:476:3,0.14
Phocarctos,hookeri,-37.75,176.75,3317:476:4,0.09
Phocarctos,hookeri,-37.75,177.25,3317:477:3,0.07
Phocarctos,hookeri,-37.75,177.75,3317:477:4,0.06
Phocarctos,hookeri,-37.25,178.25,3317:478:1,0.01
Phocarctos,hookeri,-37.25,178.75,3317:478:2,0.01
Phocarctos,hookeri,-37.75,178.25,3317:478:3,0.07
Phocarctos,hookeri,-37.75,178.75,3317:478:4,0.09
Phocarctos,hookeri,-37.25,179.25,3317:479:1,0.01
Phocarctos,hookeri,-37.25,179.75,3317:479:2,0.01
Phocarctos,hookeri,-37.75,179.25,3317:479:3,0.05
Phocarctos,hookeri,-37.75,179.75,3317:479:4,0.03
Phocarctos,hookeri,-38.25,178.25,3317:488:1,0.14
Phocarctos,hookeri,-38.25,178.75,3317:488:2,0.09
Phocarctos,hookeri,-38.75,178.25,3317:488:3,0.17
Phocarctos,hookeri,-38.75,178.75,3317:488:4,0.10
Phocarctos,hookeri,-38.25,179.25,3317:489:1,0.06
Phocarctos,hookeri,-39.25,178.25,3317:498:1,0.16
Phocarctos,hookeri,-39.25,178.75,3317:498:2,0.06
Phocarctos,hookeri,-39.75,178.25,3317:498:3,0.15
Phocarctos,hookeri,-39.75,178.75,3317:498:4,0.06
Phocarctos,hookeri,-40.25,166.75,3416:206:2,0.05
Phocarctos,hookeri,-40.75,166.75,3416:206:4,0.11
Phocarctos,hookeri,-40.25,167.25,3416:207:1,0.07
Phocarctos,hookeri,-40.25,167.75,3416:207:2,0.06
Phocarctos,hookeri,-40.75,167.25,3416:207:3,0.14
Phocarctos,hookeri,-40.75,167.75,3416:207:4,0.17
Phocarctos,hookeri,-40.25,168.25,3416:208:1,0.05
Phocarctos,hookeri,-40.25,168.75,3416:208:2,0.04
Phocarctos,hookeri,-40.75,168.25,3416:208:3,0.16
Phocarctos,hookeri,-40.75,168.75,3416:208:4,0.15
Phocarctos,hookeri,-40.25,169.25,3416:209:1,0.06
Phocarctos,hookeri,-40.25,169.75,3416:209:2,0.05
Phocarctos,hookeri,-40.75,169.25,3416:209:3,0.15
Phocarctos,hookeri,-40.75,169.75,3416:209:4,0.17
Phocarctos,hookeri,-41.25,166.75,3416:216:2,0.14
Phocarctos,hookeri,-42.75,167.25,3416:227:3,0.14
Phocarctos,hookeri,-43.25,167.25,3416:237:1,0.18
Phocarctos,hookeri,-48.25,162.25,3416:382:1,0.15
Phocarctos,hookeri,-48.75,164.25,3416:384:3,0.15
Phocarctos,hookeri,-49.75,163.25,3416:393:3,0.06
Phocarctos,hookeri,-45.75,167.25,3416:457:3,0.10
Phocarctos,hookeri,-46.75,168.25,3416:468:3,0.12
Phocarctos,hookeri,-40.25,170.25,3417:100:1,0.13
Phocarctos,hookeri,-43.25,170.75,3417:130:2,0.07
Phocarctos,hookeri,-43.75,171.75,3417:131:4,0.14
Phocarctos,hookeri,-43.75,172.25,3417:132:3,0.11
Phocarctos,hookeri,-40.25,177.75,3417:207:2,0.14
Phocarctos,hookeri,-40.75,177.75,3417:207:4,0.05
Phocarctos,hookeri,-40.25,178.25,3417:208:1,0.15
Phocarctos,hookeri,-41.75,176.75,3417:216:4,0.10
Phocarctos,hookeri,-41.25,177.25,3417:217:1,0.15
Phocarctos,hookeri,-42.25,175.25,3417:225:1,0.07
Phocarctos,hookeri,-42.25,176.75,3417:226:2,0.18
Phocarctos,hookeri,-42.25,177.25,3417:227:1,0.12
Phocarctos,hookeri,-45.75,176.75,3417:456:4,0.14
Phocarctos,hookeri,-45.25,177.25,3417:457:1,0.12
Phocarctos,hookeri,-46.25,175.25,3417:465:1,0.17
Phocarctos,hookeri,-46.25,175.75,3417:465:2,0.12
Phocarctos,hookeri,-46.25,176.25,3417:466:1,0.01
Phocarctos,hookeri,-46.25,176.75,3417:466:2,0.09
Phocarctos,hookeri,-46.75,177.75,3417:467:4,0.09
Phocarctos,hookeri,-46.75,178.75,3417:468:4,0.08
Phocarctos,hookeri,-46.75,179.25,3417:469:3,0.06
Phocarctos,hookeri,-46.75,179.75,3417:469:4,0.01
Phocarctos,hookeri,-49.75,179.75,3417:499:4,0.02
Phocarctos,hookeri,-50.25,159.75,3515:209:2,0.06
Phocarctos,hookeri,-53.75,158.75,3515:238:4,0.14
Phocarctos,hookeri,-53.75,159.25,3515:239:3,0.16
Phocarctos,hookeri,-54.25,158.75,3515:248:2,0.08
Phocarctos,hookeri,-54.75,158.75,3515:248:4,0.04
Phocarctos,hookeri,-54.25,159.25,3515:249:1,0.08
Phocarctos,hookeri,-54.75,159.25,3515:249:3,0.03
Phocarctos,hookeri,-55.25,158.25,3515:458:1,0.01
Phocarctos,hookeri,-55.25,158.75,3515:458:2,0.02
Phocarctos,hookeri,-50.75,161.75,3516:101:4,0.01
Phocarctos,hookeri,-50.25,162.75,3516:102:2,0.07
