Mapping parameters for Pholas dactylus (common piddock)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 27 |  37,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,4,4,5,5
Temperature (°C),1,2.55,11.03,20.41,27.84
Salinity (psu),1,18.2,32.27,38.29,40.53
Primary Production (mgC·m-3·day-1) ,1,0.37,1.37,28.51,81.31
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,182.45,220.25,283.17,332.07
Distance to Land (km),0,0,3,22,204
 

Map data (HSPEC) for predicted occurrences (n = 1151): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pholas,dactylus,38.75,1.75,1300:381:4,0.15
Pholas,dactylus,39.25,2.75,1300:392:2,0.16
Pholas,dactylus,39.25,3.25,1300:393:1,0.14
Pholas,dactylus,39.75,3.25,1300:393:3,0.13
Pholas,dactylus,39.75,3.75,1300:393:4,0.16
Pholas,dactylus,37.75,8.75,1300:478:4,0.11
Pholas,dactylus,38.75,8.25,1300:488:3,0.09
Pholas,dactylus,38.75,8.75,1300:488:4,0.19
Pholas,dactylus,39.25,8.25,1300:498:1,0.18
Pholas,dactylus,30.75,18.75,1301:208:4,0.19
Pholas,dactylus,35.75,12.25,1301:352:3,0.16
Pholas,dactylus,35.75,12.75,1301:352:4,0.16
Pholas,dactylus,36.75,11.25,1301:361:3,0.14
Pholas,dactylus,36.75,11.75,1301:361:4,0.14
Pholas,dactylus,36.75,12.25,1301:362:3,0.17
Pholas,dactylus,37.25,11.25,1301:371:1,0.12
Pholas,dactylus,37.75,12.25,1301:372:3,0.15
Pholas,dactylus,38.25,12.25,1301:382:1,0.17
Pholas,dactylus,38.25,13.25,1301:383:1,0.18
Pholas,dactylus,38.25,13.75,1301:383:2,0.16
Pholas,dactylus,38.25,14.75,1301:384:2,0.19
Pholas,dactylus,38.75,14.25,1301:384:3,0.13
Pholas,dactylus,38.75,14.75,1301:384:4,0.12
Pholas,dactylus,38.75,15.25,1301:485:3,0.13
Pholas,dactylus,39.75,15.75,1301:495:4,0.06
Pholas,dactylus,32.75,20.25,1302:120:3,0.19
Pholas,dactylus,32.75,21.25,1302:121:3,0.18
Pholas,dactylus,32.75,21.75,1302:121:4,0.16
Pholas,dactylus,32.75,22.25,1302:122:3,0.15
Pholas,dactylus,32.75,22.75,1302:122:4,0.13
Pholas,dactylus,32.25,23.25,1302:123:1,0.15
Pholas,dactylus,32.25,23.75,1302:123:2,0.12
Pholas,dactylus,32.75,23.25,1302:123:3,0.12
Pholas,dactylus,32.25,24.25,1302:124:1,0.11
Pholas,dactylus,32.25,24.75,1302:124:2,0.10
Pholas,dactylus,34.75,24.25,1302:144:3,0.09
Pholas,dactylus,34.75,24.75,1302:144:4,0.10
Pholas,dactylus,31.75,25.25,1302:215:3,0.11
Pholas,dactylus,31.75,25.75,1302:215:4,0.11
Pholas,dactylus,31.25,26.75,1302:216:2,0.18
Pholas,dactylus,31.75,26.25,1302:216:3,0.10
Pholas,dactylus,31.75,26.75,1302:216:4,0.10
Pholas,dactylus,31.25,27.25,1302:217:1,0.16
Pholas,dactylus,31.25,27.75,1302:217:2,0.13
Pholas,dactylus,31.25,28.25,1302:218:1,0.14
Pholas,dactylus,31.25,28.75,1302:218:2,0.13
Pholas,dactylus,34.75,25.25,1302:245:3,0.10
Pholas,dactylus,34.75,26.25,1302:246:3,0.11
Pholas,dactylus,35.25,23.75,1302:353:2,0.08
Pholas,dactylus,35.25,24.25,1302:354:1,0.11
Pholas,dactylus,35.25,24.75,1302:354:2,0.13
Pholas,dactylus,38.25,20.25,1302:380:1,0.16
Pholas,dactylus,35.25,25.25,1302:455:1,0.14
Pholas,dactylus,35.25,25.75,1302:455:2,0.15
Pholas,dactylus,35.25,26.25,1302:456:1,0.13
Pholas,dactylus,35.25,26.75,1302:456:2,0.12
Pholas,dactylus,35.75,26.25,1302:456:3,0.14
