Mapping parameters for Phycodurus eques (Leafy seadragon)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57,
Bounding Box (NSWE): ,-32,-39,115,140

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,4,6,18,30
Temperature (°C),1,15,16.85,19.35,20.69
Salinity (psu),1,33.59,35.58,37.65,39.93
Primary Production (mgC·m-3·day-1) ,1,0.58,1.58,9.68,14.51
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,177.02,225.36,244.88,252.94
Distance to Land (km),0,0,4,97,319
 

Map data (HSPEC) for predicted occurrences (n = 155): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Phycodurus,eques,-32.25,115.75,3311:225:2,0.04
Phycodurus,eques,-34.75,123.75,3312:143:4,0.17
Phycodurus,eques,-34.75,133.25,3313:143:3,0.17
Phycodurus,eques,-36.25,139.25,3313:469:1,0.14
Phycodurus,eques,-36.75,139.25,3313:469:3,0.08
Phycodurus,eques,-37.25,138.75,3313:478:2,0.18
Phycodurus,eques,-32.75,115.25,3311:225:3,0.31
Phycodurus,eques,-32.75,115.75,3311:225:4,0.24
Phycodurus,eques,-34.25,121.25,3312:141:1,0.33
Phycodurus,eques,-33.25,137.25,3313:237:1,0.38
Phycodurus,eques,-33.25,138.25,3313:238:1,0.33
Phycodurus,eques,-34.25,136.75,3313:246:2,0.29
Phycodurus,eques,-36.75,139.75,3313:469:4,0.25
Phycodurus,eques,-37.25,137.75,3313:477:2,0.35
Phycodurus,eques,-37.25,138.25,3313:478:1,0.27
Phycodurus,eques,-33.25,115.75,3311:235:2,0.46
Phycodurus,eques,-34.25,115.25,3311:245:1,0.56
Phycodurus,eques,-34.75,115.25,3311:245:3,0.48
Phycodurus,eques,-34.75,116.75,3311:246:4,0.42
Phycodurus,eques,-32.75,128.25,3312:228:3,0.58
Phycodurus,eques,-32.75,128.75,3312:228:4,0.58
Phycodurus,eques,-33.25,129.75,3312:239:2,0.42
Phycodurus,eques,-32.25,130.75,3313:120:2,0.50
Phycodurus,eques,-33.25,131.75,3313:131:2,0.42
Phycodurus,eques,-33.75,133.25,3313:133:3,0.58
Phycodurus,eques,-33.75,136.75,3313:236:4,0.41
Phycodurus,eques,-33.75,137.25,3313:237:3,0.40
Phycodurus,eques,-33.75,137.75,3313:237:4,0.49
Phycodurus,eques,-34.25,137.25,3313:247:1,0.45
Phycodurus,eques,-36.75,137.75,3313:467:4,0.40
Phycodurus,eques,-36.25,139.75,3313:469:2,0.54
Phycodurus,eques,-33.25,115.25,3311:235:1,0.73
Phycodurus,eques,-33.75,115.25,3311:235:3,0.62
Phycodurus,eques,-34.25,115.75,3311:245:2,0.71
Phycodurus,eques,-34.75,115.75,3311:245:4,0.69
Phycodurus,eques,-34.75,116.25,3311:246:3,0.78
Phycodurus,eques,-34.75,118.75,3311:248:4,0.75
Phycodurus,eques,-34.25,119.75,3311:249:2,0.73
Phycodurus,eques,-34.75,119.25,3311:249:3,0.73
Phycodurus,eques,-35.25,118.25,3311:458:1,0.78
Phycodurus,eques,-35.25,118.75,3311:458:2,0.60
Phycodurus,eques,-33.75,124.75,3312:134:4,0.67
Phycodurus,eques,-34.25,123.75,3312:143:2,0.68
Phycodurus,eques,-32.25,129.25,3312:229:1,0.75
Phycodurus,eques,-32.25,129.75,3312:229:2,0.67
Phycodurus,eques,-35.75,139.25,3313:459:3,0.68
Phycodurus,eques,-36.75,137.25,3313:467:3,0.68
Phycodurus,eques,-36.25,138.75,3313:468:2,0.77
Phycodurus,eques,-33.75,119.75,3311:239:4,1.00
Phycodurus,eques,-34.25,118.75,3311:248:2,0.91
Phycodurus,eques,-34.75,118.25,3311:248:3,0.88
Phycodurus,eques,-34.25,119.25,3311:249:1,0.82
Phycodurus,eques,-34.75,119.75,3311:249:4,0.82
Phycodurus,eques,-35.25,115.75,3311:455:2,0.92
Phycodurus,eques,-35.25,116.25,3311:456:1,0.82
Phycodurus,eques,-35.25,116.75,3311:456:2,0.84
Phycodurus,eques,-35.25,117.25,3311:457:1,0.92
Phycodurus,eques,-35.25,117.75,3311:457:2,0.90
Phycodurus,eques,-32.75,124.25,3312:124:3,1.00
Phycodurus,eques,-32.75,124.75,3312:124:4,1.00
Phycodurus,eques,-33.75,120.25,3312:130:3,1.00
