Mapping parameters for Platycephalus bassensis (Southern sand flathead)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  81,
Bounding Box (NSWE): ,-30,-43,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,11,50,100
Temperature (°C),1,11.5,15.09,18.89,22.47
Salinity (psu),1,34.81,35.31,36.31,40.11
Primary Production (mgC·m-3·day-1) ,1,1.09,2.77,20.52,35.42
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,163.96,212.31,251.68,267.34
Distance to Land (km),0,0,7,144,237
 

Map data (HSPEC) for predicted occurrences (n = 455): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Platycephalus,bassensis,-30.25,114.75,3311:104:2,0.16
Platycephalus,bassensis,-30.75,114.75,3311:104:4,0.17
Platycephalus,bassensis,-31.25,115.75,3311:215:2,0.13
Platycephalus,bassensis,-34.75,117.25,3311:247:3,0.17
Platycephalus,bassensis,-34.75,117.75,3311:247:4,0.09
Platycephalus,bassensis,-33.25,123.75,3312:133:2,0.10
Platycephalus,bassensis,-32.75,137.75,3313:227:4,0.05
Platycephalus,bassensis,-33.75,137.25,3313:237:3,0.05
Platycephalus,bassensis,-34.25,135.75,3313:245:2,0.09
Platycephalus,bassensis,-35.75,135.25,3313:455:3,0.06
Platycephalus,bassensis,-35.75,135.75,3313:455:4,0.14
