Mapping parameters for Platycephalus caeruleopunctatus (Blue-spotted flathead)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 71 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,40,46,71,100
Temperature (°C),1,16.39,19.16,23.74,27.01
Salinity (psu),1,34.89,35.39,35.59,36.09
Primary Production (mgC·m-3·day-1) ,1,4.82,10.61,22.54,30.68
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,150.17,184,223.94,244.62
Distance to Land (km),0,0,2,71,215
 

Map data (HSPEC) for predicted occurrences (n = 164): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Platycephalus,caeruleopunctatus,-12.25,143.25,3114:123:1,0.01
Platycephalus,caeruleopunctatus,-13.75,143.75,3114:133:4,0.02
Platycephalus,caeruleopunctatus,-14.25,143.75,3114:143:2,0.02
Platycephalus,caeruleopunctatus,-14.25,144.25,3114:144:1,0.02
Platycephalus,caeruleopunctatus,-14.25,144.75,3114:144:2,0.01
Platycephalus,caeruleopunctatus,-15.25,145.25,3114:455:1,0.02
Platycephalus,caeruleopunctatus,-16.25,145.25,3114:465:1,0.02
Platycephalus,caeruleopunctatus,-16.25,145.75,3114:465:2,0.02
Platycephalus,caeruleopunctatus,-16.75,145.75,3114:465:4,0.11
Platycephalus,caeruleopunctatus,-17.25,145.75,3114:475:2,0.06
Platycephalus,caeruleopunctatus,-17.25,146.25,3114:476:1,0.11
Platycephalus,caeruleopunctatus,-17.75,146.25,3114:476:3,0.17
Platycephalus,caeruleopunctatus,-17.75,146.75,3114:476:4,0.01
Platycephalus,caeruleopunctatus,-18.25,146.75,3114:486:2,0.16
Platycephalus,caeruleopunctatus,-18.75,147.25,3114:487:3,0.06
