Mapping parameters for Platycephalus richardsoni (Tiger flathead)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  81,
Bounding Box (NSWE): ,-30,-44,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,55,200,400
Temperature (°C),1,10.66,14.77,21.03,23.38
Salinity (psu),1,34.84,35.34,36.03,40.11
Primary Production (mgC·m-3·day-1) ,1,3.26,6.14,21.49,32.38
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,120.83,189.77,252.06,323.67
Distance to Land (km),0,1,10,125,299
 

Map data (HSPEC) for predicted occurrences (n = 500): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Platycephalus,richardsoni,-31.75,128.25,3312:218:3,0.02
Platycephalus,richardsoni,-32.25,128.25,3312:228:1,0.15
Platycephalus,richardsoni,-32.25,128.75,3312:228:2,0.13
Platycephalus,richardsoni,-32.25,129.25,3312:229:1,0.04
Platycephalus,richardsoni,-32.75,131.75,3313:121:4,0.09
Platycephalus,richardsoni,-33.25,134.75,3313:134:2,0.18
Platycephalus,richardsoni,-34.25,133.75,3313:143:2,0.05
Platycephalus,richardsoni,-33.75,135.25,3313:235:3,0.17
Platycephalus,richardsoni,-33.25,138.25,3313:238:1,0.08
Platycephalus,richardsoni,-34.75,136.25,3313:246:3,0.03
Platycephalus,richardsoni,-39.75,146.25,3314:496:3,0.07
Platycephalus,richardsoni,-30.75,153.25,3315:103:3,0.18
Platycephalus,richardsoni,-31.25,153.25,3315:113:1,0.19
Platycephalus,richardsoni,-36.75,156.25,3315:466:3,0.14
Platycephalus,richardsoni,-31.75,168.25,3316:218:3,0.05
