Mapping parameters for Platyrhina sinensis (Chinese fanray)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  71 ,
Bounding Box (NSWE): ,26,15,105,121

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,7,31,60
Temperature (°C),1,19.8,22.26,27.04,31.24
Salinity (psu),1,28.14,31.13,33.67,35.83
Primary Production (mgC·m-3·day-1) ,1,4.58,5.58,47.32,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,87.85,94.35,224.55,258.18
Distance to Land (km),0,2,3,97,179
 

Map data (HSPEC) for predicted occurrences (n = 155): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Platyrhina,sinensis,21.75,115.25,1211:215:3,0.03
Platyrhina,sinensis,22.75,114.75,1211:124:4,0.17
Platyrhina,sinensis,22.75,114.25,1211:124:3,0.11
Platyrhina,sinensis,21.25,107.25,1210:217:1,0.17
Platyrhina,sinensis,18.25,105.75,1110:485:2,0.17
Platyrhina,sinensis,17.75,108.25,1110:478:3,0.07
Platyrhina,sinensis,22.25,120.25,1212:120:1,0.24
Platyrhina,sinensis,22.75,113.75,1211:123:4,0.20
Platyrhina,sinensis,21.75,114.75,1211:114:4,0.38
Platyrhina,sinensis,21.75,113.75,1211:113:4,0.31
Platyrhina,sinensis,21.75,113.25,1211:113:3,0.35
Platyrhina,sinensis,16.75,120.25,1112:360:3,0.32
Platyrhina,sinensis,19.75,109.75,1110:499:4,0.33
Platyrhina,sinensis,17.75,109.75,1110:479:4,0.24
Platyrhina,sinensis,25.75,119.75,1211:459:4,0.43
Platyrhina,sinensis,25.75,119.25,1211:459:3,0.49
Platyrhina,sinensis,25.25,119.25,1211:459:1,0.58
Platyrhina,sinensis,20.75,109.75,1210:209:4,0.43
Platyrhina,sinensis,16.25,120.25,1112:360:1,0.58
Platyrhina,sinensis,15.25,120.25,1112:350:1,0.59
Platyrhina,sinensis,16.25,119.75,1111:469:2,0.57
Platyrhina,sinensis,15.25,119.75,1111:459:2,0.55
