Mapping parameters for Plectropomus maculatus (Spotted coralgrouper)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  61 |  71,
Bounding Box (NSWE): ,21,-28,117,159

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,15,52,100
Temperature (°C),1,23.36,25.42,28.66,32.86
Salinity (psu),1,30.94,33.76,35.25,35.92
Primary Production (mgC·m-3·day-1) ,1,0.96,3.17,13.56,54.28
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,83.78,182.66,209.29,214.56
Distance to Land (km),0,3,16,166,280
 

Map data (HSPEC) for predicted occurrences (n = 1860): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Plectropomus,maculatus,2.25,117.75,1011:227:2,0.14
Plectropomus,maculatus,3.75,118.25,1011:238:3,0.09
Plectropomus,maculatus,4.25,118.25,1011:248:1,0.02
Plectropomus,maculatus,6.75,117.25,1011:467:3,0.08
Plectropomus,maculatus,6.75,117.75,1011:467:4,0.10
Plectropomus,maculatus,6.25,124.25,1012:364:1,0.11
Plectropomus,maculatus,6.25,124.75,1012:364:2,0.08
Plectropomus,maculatus,7.75,122.75,1012:372:4,0.15
Plectropomus,maculatus,7.25,123.25,1012:373:1,0.11
Plectropomus,maculatus,8.25,123.75,1012:383:2,0.11
Plectropomus,maculatus,8.25,124.25,1012:384:1,0.10
Plectropomus,maculatus,6.25,125.25,1012:465:1,0.06
Plectropomus,maculatus,6.25,125.75,1012:465:2,0.15
Plectropomus,maculatus,7.25,126.25,1012:476:1,0.15
Plectropomus,maculatus,7.25,126.75,1012:476:2,0.19
Plectropomus,maculatus,8.25,137.25,1013:487:1,0.18
Plectropomus,maculatus,8.25,137.75,1013:487:2,0.14
Plectropomus,maculatus,8.75,137.25,1013:487:3,0.13
Plectropomus,maculatus,8.75,137.75,1013:487:4,0.09
Plectropomus,maculatus,9.25,138.25,1013:498:1,0.01
Plectropomus,maculatus,9.75,139.75,1013:499:4,0.01
Plectropomus,maculatus,6.75,143.25,1014:363:3,0.18
Plectropomus,maculatus,7.25,143.75,1014:373:2,0.12
Plectropomus,maculatus,7.25,144.25,1014:374:1,0.13
Plectropomus,maculatus,7.25,144.75,1014:374:2,0.19
Plectropomus,maculatus,7.75,144.75,1014:374:4,0.16
Plectropomus,maculatus,8.25,140.25,1014:380:1,0.12
Plectropomus,maculatus,8.25,144.75,1014:384:2,0.07
Plectropomus,maculatus,8.75,144.75,1014:384:4,0.01
Plectropomus,maculatus,6.75,149.25,1014:469:3,0.01
Plectropomus,maculatus,7.75,145.75,1014:475:4,0.04
Plectropomus,maculatus,7.25,146.25,1014:476:1,0.08
Plectropomus,maculatus,7.75,146.25,1014:476:3,0.04
Plectropomus,maculatus,7.25,147.25,1014:477:1,0.06
Plectropomus,maculatus,7.75,147.75,1014:477:4,0.07
Plectropomus,maculatus,7.25,149.25,1014:479:1,0.03
Plectropomus,maculatus,7.75,149.25,1014:479:3,0.05
Plectropomus,maculatus,8.25,145.25,1014:485:1,0.04
Plectropomus,maculatus,8.25,145.75,1014:485:2,0.02
Plectropomus,maculatus,8.25,146.75,1014:486:2,0.03
Plectropomus,maculatus,8.25,147.25,1014:487:1,0.06
Plectropomus,maculatus,8.25,147.75,1014:487:2,0.10
Plectropomus,maculatus,8.75,148.75,1014:488:4,0.15
Plectropomus,maculatus,8.25,149.25,1014:489:1,0.06
Plectropomus,maculatus,8.75,149.75,1014:489:4,0.13
Plectropomus,maculatus,9.25,148.25,1014:498:1,0.08
Plectropomus,maculatus,5.75,153.25,1015:353:3,0.06
Plectropomus,maculatus,7.25,151.75,1015:371:2,0.07
Plectropomus,maculatus,7.75,151.75,1015:371:4,0.05
Plectropomus,maculatus,7.25,152.25,1015:372:1,0.01
Plectropomus,maculatus,8.75,150.25,1015:380:3,0.08
Plectropomus,maculatus,9.25,150.25,1015:390:1,0.03
Plectropomus,maculatus,6.75,157.75,1015:467:4,0.10
Plectropomus,maculatus,6.75,158.25,1015:468:3,0.19
Plectropomus,maculatus,7.75,155.25,1015:475:3,0.01
Plectropomus,maculatus,7.25,157.75,1015:477:2,0.08
Plectropomus,maculatus,7.25,158.25,1015:478:1,0.15
Plectropomus,maculatus,12.25,117.25,1111:227:1,0.01
Plectropomus,maculatus,13.75,124.75,1112:134:4,0.14
Plectropomus,maculatus,14.75,120.75,1112:140:4,0.09
Plectropomus,maculatus,10.25,126.25,1112:206:1,0.06
Plectropomus,maculatus,10.75,126.25,1112:206:3,0.02
