Mapping parameters for Plicofollis dussumieri (Blacktip sea catfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 51 |  57,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,23,36,50
Temperature (°C),1,23.41,25.99,28.7,32.9
Salinity (psu),1,17.06,31.17,35.52,38.28
Primary Production (mgC·m-3·day-1) ,1,2.04,4.7,24.82,72.45
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,100.5,211.07,290.81
Distance to Land (km),0,1,8,78,341
 

Map data (HSPEC) for predicted occurrences (n = 1501): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Plicofollis,dussumieri,-31.25,30.25,3303:110:1,0.13
Plicofollis,dussumieri,-30.75,30.75,3303:100:4,0.18
Plicofollis,dussumieri,-30.25,30.75,3303:100:2,0.02
Plicofollis,dussumieri,-25.75,112.75,3211:352:4,0.01
Plicofollis,dussumieri,-25.25,112.75,3211:352:2,0.03
Plicofollis,dussumieri,-24.25,113.25,3211:143:1,0.08
Plicofollis,dussumieri,-24.75,112.75,3211:142:4,0.06
Plicofollis,dussumieri,-24.25,112.75,3211:142:2,0.03
Plicofollis,dussumieri,-23.75,113.25,3211:133:3,0.18
Plicofollis,dussumieri,-29.25,31.25,3203:391:1,0.04
Plicofollis,dussumieri,-28.75,31.75,3203:381:4,0.12
Plicofollis,dussumieri,-18.75,120.25,3112:380:3,0.13
Plicofollis,dussumieri,-12.75,127.25,3112:227:3,0.03
Plicofollis,dussumieri,-11.75,127.25,3112:217:3,0.08
Plicofollis,dussumieri,-11.25,127.75,3112:217:2,0.01
Plicofollis,dussumieri,-11.25,127.25,3112:217:1,0.04
Plicofollis,dussumieri,-11.75,126.75,3112:216:4,0.08
Plicofollis,dussumieri,-11.75,126.25,3112:216:3,0.08
Plicofollis,dussumieri,-11.25,126.75,3112:216:2,0.10
Plicofollis,dussumieri,-11.25,126.25,3112:216:1,0.13
Plicofollis,dussumieri,-11.75,125.75,3112:215:4,0.04
Plicofollis,dussumieri,-10.75,128.25,3112:208:3,0.07
Plicofollis,dussumieri,-10.75,127.75,3112:207:4,0.16
Plicofollis,dussumieri,-10.75,127.25,3112:207:3,0.18
Plicofollis,dussumieri,-14.75,122.25,3112:142:3,0.16
Plicofollis,dussumieri,-14.25,121.75,3112:141:2,0.11
Plicofollis,dussumieri,-13.75,122.25,3112:132:3,0.10
Plicofollis,dussumieri,-13.75,121.75,3112:131:4,0.08
Plicofollis,dussumieri,-12.75,124.75,3112:124:4,0.05
Plicofollis,dussumieri,-17.25,119.75,3111:479:2,0.09
Plicofollis,dussumieri,-16.75,119.75,3111:469:4,0.02
Plicofollis,dussumieri,-14.25,60.75,3106:140:2,0.01
Plicofollis,dussumieri,-11.75,62.25,3106:112:3,0.02
Plicofollis,dussumieri,-11.25,62.25,3106:112:1,0.19
Plicofollis,dussumieri,-17.25,59.25,3105:479:1,0.05
Plicofollis,dussumieri,-15.75,59.75,3105:459:4,0.16
Plicofollis,dussumieri,-16.75,50.25,3105:360:3,0.18
Plicofollis,dussumieri,-15.25,50.75,3105:350:2,0.05
Plicofollis,dussumieri,-17.25,42.75,3104:372:2,0.10
Plicofollis,dussumieri,-9.75,128.75,3012:498:4,0.19
Plicofollis,dussumieri,-6.25,104.75,3010:364:2,0.14
Plicofollis,dussumieri,-0.25,97.75,3009:207:2,0.13
Plicofollis,dussumieri,-0.25,73.25,3007:103:1,0.10
Plicofollis,dussumieri,20.75,92.75,1209:102:4,0.01
Plicofollis,dussumieri,20.25,91.25,1209:101:1,0.12
Plicofollis,dussumieri,21.75,89.75,1208:219:4,0.12
Plicofollis,dussumieri,21.25,89.75,1208:219:2,0.09
Plicofollis,dussumieri,21.75,87.25,1208:217:3,0.19
