Mapping parameters for Polymixia lowei (Beardfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  41,
Bounding Box (NSWE): ,41,4,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,50,150,600,600
Temperature (°C),1,12.06,18.07,28.18,32.38
Salinity (psu),1,22.8,33.17,36.2,38.31
Primary Production (mgC·m-3·day-1) ,1,-0.52,0.48,17.35,80.27
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,86.27,154.54,254.85,294.25
Distance to Land (km),0,1,20,244,585
 

Map data (HSPEC) for predicted occurrences (n = 1113): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Polymixia,lowei,4.25,-50.75,7005:140:2,0.10
Polymixia,lowei,4.75,-51.25,7005:141:3,0.03
Polymixia,lowei,4.75,-51.75,7005:141:4,0.06
Polymixia,lowei,4.75,-52.25,7005:142:3,0.12
Polymixia,lowei,5.25,-52.75,7005:352:2,0.15
Polymixia,lowei,6.25,-57.25,7005:467:1,0.09
Polymixia,lowei,9.75,-61.25,7006:391:3,0.19
Polymixia,lowei,10.75,-74.25,7107:104:3,0.11
Polymixia,lowei,12.25,-83.75,7108:123:2,0.17
Polymixia,lowei,13.25,-82.75,7108:132:2,0.02
Polymixia,lowei,13.25,-83.75,7108:133:2,0.17
Polymixia,lowei,14.75,-82.25,7108:142:3,0.18
Polymixia,lowei,15.75,-82.25,7108:352:3,0.12
Polymixia,lowei,15.75,-82.75,7108:352:4,0.06
Polymixia,lowei,15.75,-83.25,7108:353:3,0.13
Polymixia,lowei,15.75,-84.75,7108:354:4,0.15
Polymixia,lowei,18.75,-91.25,7109:381:3,0.12
Polymixia,lowei,18.25,-93.75,7109:383:2,0.04
Polymixia,lowei,20.75,-77.25,7207:207:3,0.12
Polymixia,lowei,21.75,-89.75,7208:219:4,0.08
Polymixia,lowei,22.25,-87.75,7208:227:2,0.11
Polymixia,lowei,22.25,-88.25,7208:228:1,0.02
Polymixia,lowei,22.25,-89.25,7208:229:1,0.09
Polymixia,lowei,22.25,-89.75,7208:229:2,0.17
Polymixia,lowei,25.75,-81.75,7208:351:4,0.10
Polymixia,lowei,25.25,-82.25,7208:352:1,0.10
Polymixia,lowei,25.25,-82.75,7208:352:2,0.12
Polymixia,lowei,26.75,-82.25,7208:362:3,0.06
Polymixia,lowei,26.25,-83.25,7208:363:1,0.19
Polymixia,lowei,27.75,-80.25,7208:370:3,0.10
Polymixia,lowei,27.25,-83.25,7208:373:1,0.17
Polymixia,lowei,28.75,-82.75,7208:382:4,0.01
Polymixia,lowei,28.75,-84.25,7208:384:3,0.01
Polymixia,lowei,29.75,-85.75,7208:495:4,0.15
Polymixia,lowei,29.75,-88.25,7208:498:3,0.01
Polymixia,lowei,29.75,-88.75,7208:498:4,0.07
Polymixia,lowei,29.25,-89.25,7208:499:1,0.17
Polymixia,lowei,29.25,-89.75,7208:499:2,0.02
Polymixia,lowei,20.25,-90.25,7209:100:1,0.15
Polymixia,lowei,21.25,-90.75,7209:110:2,0.16
Polymixia,lowei,21.75,-90.25,7209:110:3,0.18
Polymixia,lowei,20.75,-97.25,7209:207:3,0.08
Polymixia,lowei,23.25,-97.75,7209:237:2,0.08
Polymixia,lowei,23.75,-97.75,7209:237:4,0.04
Polymixia,lowei,28.75,-92.25,7209:382:3,0.05
Polymixia,lowei,28.75,-93.25,7209:383:3,0.17
Polymixia,lowei,28.75,-93.75,7209:383:4,0.03
Polymixia,lowei,29.25,-91.75,7209:391:2,0.08
Polymixia,lowei,29.75,-91.75,7209:391:4,0.16
Polymixia,lowei,29.75,-92.75,7209:392:4,0.01
Polymixia,lowei,26.75,-97.25,7209:467:3,0.13
Polymixia,lowei,27.75,-96.75,7209:476:4,0.09
Polymixia,lowei,27.75,-97.25,7209:477:3,0.04
Polymixia,lowei,28.25,-95.75,7209:485:2,0.06
Polymixia,lowei,34.75,-76.25,7307:246:3,0.07
Polymixia,lowei,37.75,-74.75,7307:374:4,0.16
Polymixia,lowei,38.75,-74.25,7307:384:3,0.08
Polymixia,lowei,39.25,-73.25,7307:393:1,0.17
Polymixia,lowei,39.25,-73.75,7307:393:2,0.02
Polymixia,lowei,39.75,-73.25,7307:393:3,0.11
Polymixia,lowei,36.75,-75.75,7307:465:4,0.03
Polymixia,lowei,36.75,-76.25,7307:466:3,0.05
Polymixia,lowei,37.75,-75.75,7307:475:4,0.12
Polymixia,lowei,37.25,-76.75,7307:476:2,0.04
Polymixia,lowei,39.25,-75.25,7307:495:1,0.05
Polymixia,lowei,30.25,-84.25,7308:104:1,0.18
Polymixia,lowei,30.25,-86.25,7308:206:1,0.09
Polymixia,lowei,30.25,-87.75,7308:207:2,0.05
Polymixia,lowei,30.25,-88.25,7308:208:1,0.15
Polymixia,lowei,30.75,-88.25,7308:208:3,0.03
Polymixia,lowei,40.75,-67.75,7406:207:4,0.12
Polymixia,lowei,40.75,-68.25,7406:208:3,0.07
Polymixia,lowei,40.75,-68.75,7406:208:4,0.02
Polymixia,lowei,40.75,-70.25,7407:100:3,0.02
Polymixia,lowei,40.75,-70.75,7407:100:4,0.07
Polymixia,lowei,40.75,-71.25,7407:101:3,0.09
Polymixia,lowei,40.75,-71.75,7407:101:4,0.06
Polymixia,lowei,40.25,-72.25,7407:102:1,0.12
Polymixia,lowei,40.25,-72.75,7407:102:2,0.05
Polymixia,lowei,40.75,-72.25,7407:102:3,0.02
Polymixia,lowei,40.25,-73.25,7407:103:1,0.09
Polymixia,lowei,40.25,-73.75,7407:103:2,0.01
Polymixia,lowei,40.75,-73.25,7407:103:3,0.10
Polymixia,lowei,5.25,-51.75,7005:351:2,0.29
Polymixia,lowei,5.25,-52.25,7005:352:1,0.24
Polymixia,lowei,5.75,-52.25,7005:352:3,0.31
Polymixia,lowei,5.75,-52.75,7005:352:4,0.37
Polymixia,lowei,6.25,-54.25,7005:364:1,0.25
Polymixia,lowei,6.25,-55.25,7005:465:1,0.22
Polymixia,lowei,6.25,-55.75,7005:465:2,0.27
Polymixia,lowei,7.75,-58.75,7005:478:4,0.21
Polymixia,lowei,8.25,-59.25,7005:489:1,0.30
Polymixia,lowei,8.75,-59.75,7005:489:4,0.25
Polymixia,lowei,8.75,-60.75,7006:380:4,0.33
Polymixia,lowei,9.25,-60.25,7006:390:1,0.20
Polymixia,lowei,9.75,-71.25,7007:391:3,0.39
Polymixia,lowei,10.25,-60.75,7106:100:2,0.33
Polymixia,lowei,10.75,-63.25,7106:103:3,0.28
Polymixia,lowei,10.75,-71.75,7107:101:4,0.38
Polymixia,lowei,11.25,-70.25,7107:110:1,0.35
Polymixia,lowei,11.25,-71.25,7107:111:1,0.32
Polymixia,lowei,12.25,-70.75,7107:120:2,0.33
Polymixia,lowei,13.75,-82.75,7108:132:4,0.27
Polymixia,lowei,15.25,-82.25,7108:352:1,0.38
Polymixia,lowei,18.75,-92.25,7109:382:3,0.29
Polymixia,lowei,18.25,-94.25,7109:384:1,0.33
Polymixia,lowei,19.75,-90.25,7109:390:3,0.36
Polymixia,lowei,19.75,-91.25,7109:391:3,0.29
Polymixia,lowei,20.25,-77.25,7207:207:1,0.39
Polymixia,lowei,22.25,-78.25,7207:228:1,0.21
Polymixia,lowei,21.75,-86.75,7208:216:4,0.35
Polymixia,lowei,22.25,-87.25,7208:227:1,0.28
Polymixia,lowei,22.75,-87.75,7208:227:4,0.37
Polymixia,lowei,22.25,-88.75,7208:228:2,0.24
Polymixia,lowei,25.75,-82.75,7208:352:4,0.26
Polymixia,lowei,25.25,-83.25,7208:353:1,0.33
Polymixia,lowei,25.75,-83.25,7208:353:3,0.23
Polymixia,lowei,26.75,-83.25,7208:363:3,0.32
Polymixia,lowei,27.75,-83.75,7208:373:4,0.34
Polymixia,lowei,28.25,-80.25,7208:380:1,0.35
Polymixia,lowei,28.75,-80.75,7208:380:4,0.37
Polymixia,lowei,29.75,-84.25,7208:394:3,0.39
Polymixia,lowei,20.25,-91.25,7209:101:1,0.29
Polymixia,lowei,21.25,-91.25,7209:111:1,0.25
Polymixia,lowei,21.25,-91.75,7209:111:2,0.24
Polymixia,lowei,28.25,-94.25,7209:384:1,0.36
Polymixia,lowei,28.25,-94.75,7209:384:2,0.39
Polymixia,lowei,29.25,-90.75,7209:390:2,0.24
Polymixia,lowei,26.25,-96.75,7209:466:2,0.29
Polymixia,lowei,28.25,-95.25,7209:485:1,0.33
Polymixia,lowei,32.75,-79.75,7307:229:4,0.28
Polymixia,lowei,33.75,-78.75,7307:238:4,0.25
Polymixia,lowei,39.75,-72.75,7307:392:4,0.26
Polymixia,lowei,35.75,-75.25,7307:455:3,0.31
Polymixia,lowei,35.75,-75.75,7307:455:4,0.32
Polymixia,lowei,35.75,-76.25,7307:456:3,0.38
Polymixia,lowei,35.75,-76.75,7307:456:4,0.33
Polymixia,lowei,36.25,-75.25,7307:465:1,0.22
Polymixia,lowei,36.25,-76.25,7307:466:1,0.36
Polymixia,lowei,30.75,-81.25,7308:101:3,0.38
Polymixia,lowei,30.25,-87.25,7308:207:1,0.27
Polymixia,lowei,40.75,-66.75,7406:206:4,0.38
Polymixia,lowei,40.75,-67.25,7406:207:3,0.22
Polymixia,lowei,40.25,-69.25,7406:209:1,0.36
Polymixia,lowei,40.25,-69.75,7406:209:2,0.35
Polymixia,lowei,4.75,-50.75,7005:140:4,0.51
Polymixia,lowei,5.25,-51.25,7005:351:1,0.48
Polymixia,lowei,5.75,-53.25,7005:353:3,0.54
Polymixia,lowei,6.25,-52.75,7005:362:2,0.56
Polymixia,lowei,6.25,-53.25,7005:363:1,0.57
Polymixia,lowei,6.25,-53.75,7005:363:2,0.44
Polymixia,lowei,6.75,-53.75,7005:363:4,0.49
Polymixia,lowei,6.25,-56.25,7005:466:1,0.53
Polymixia,lowei,6.25,-56.75,7005:466:2,0.57
Polymixia,lowei,9.25,-71.25,7007:391:1,0.40
Polymixia,lowei,9.25,-71.75,7007:391:2,0.41
Polymixia,lowei,9.75,-71.75,7007:391:4,0.40
Polymixia,lowei,9.75,-72.25,7007:392:3,0.49
Polymixia,lowei,9.75,-75.75,7007:495:4,0.55
Polymixia,lowei,9.25,-79.75,7007:499:2,0.41
Polymixia,lowei,10.75,-62.25,7106:102:3,0.41
Polymixia,lowei,10.75,-62.75,7106:102:4,0.44
Polymixia,lowei,10.75,-63.75,7106:103:4,0.45
