Mapping parameters for Pomacentrus coelestis (Neon damselfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,36,-32,79,-133

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,11,20
Temperature (°C),1,18.63,23.09,29.16,33.36
Salinity (psu),1,26,32.64,35.39,36.84
Primary Production (mgC·m-3·day-1) ,1,0.21,1.21,16.36,62.42
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,24.18,108.09,210.95,287.37
Distance to Land (km),0,0,16,205,568
 

Map data (HSPEC) for predicted occurrences (n = 3457): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Pomacentrus,coelestis,6.25,79.75,1007:469:2,0.19,0.22222222222222,1,1,0.87579242877995,1,1,1
Pomacentrus,coelestis,1.75,101.25,1010:111:3,0.08,0.5,0.9318359375,0.18762651696262,0.92578880093536,1,1,1
Pomacentrus,coelestis,1.25,102.25,1010:112:1,0.19,1,0.9574943179176,0.21166456751077,0.91953733353785,1,1,1
Pomacentrus,coelestis,2.25,101.75,1010:121:2,0.04,1,0.93163521176293,0.04056850111628,1,1,1,1
Pomacentrus,coelestis,8.25,103.75,1010:383:2,0.10,0.11111111111111,1,0.90477667659163,1,1,1,1
Pomacentrus,coelestis,7.75,108.25,1010:478:3,0.11,0.11111111111111,1,0.98599583269602,1,1,1,1
Pomacentrus,coelestis,8.25,107.25,1010:487:1,0.11,0.11111111111111,1,0.99525336759636,1,1,1,1
Pomacentrus,coelestis,8.75,107.25,1010:487:3,0.11,0.11111111111111,1,0.97434894148125,1,1,1,1
Pomacentrus,coelestis,9.25,106.25,1010:496:1,0.07,1,1,0.50223649266255,0.14018674728615,1,1,1
Pomacentrus,coelestis,9.25,106.75,1010:496:2,0.19,1,1,0.60843013855348,0.30898825624328,1,1,1
Pomacentrus,coelestis,9.75,106.25,1010:496:3,0.02,1,1,0.44002877660545,0.055640612666211,1,1,1
Pomacentrus,coelestis,9.75,107.25,1010:497:3,0.14,0.66666666666667,1,0.59239634548325,0.35931396800127,1,1,1
Pomacentrus,coelestis,9.75,107.75,1010:497:4,0.19,0.22222222222222,1,0.84197664835367,1,1,1,1
Pomacentrus,coelestis,1.75,110.75,1011:110:4,0.15,1,0.98070720490955,0.22869110107422,0.6561224690169,1,1,1
Pomacentrus,coelestis,4.75,112.25,1011:142:3,0.11,0.11111111111111,1,0.95870925719479,1,1,1,1
Pomacentrus,coelestis,12.75,99.75,1109:229:4,0.08,1,1,0.07668058556247,1,1,1,1
Pomacentrus,coelestis,15.25,94.75,1109:354:2,0.12,0.33333333333333,1,0.41230758988714,0.85859749651556,1,1,1
Pomacentrus,coelestis,15.75,94.75,1109:354:4,0.05,1,1,0.10938816759959,0.44567955834318,1,1,1
Pomacentrus,coelestis,16.25,94.75,1109:364:2,0.12,0.5,1,0.30482878167946,0.81800497511238,1,1,1
Pomacentrus,coelestis,15.25,95.75,1109:455:2,0.10,0.22222222222222,1,0.43042969990926,1,1,1,1
Pomacentrus,coelestis,15.75,95.25,1109:455:3,0.06,1,1,0.11553706893001,0.51621800293573,1,1,1
Pomacentrus,coelestis,15.25,97.25,1109:457:1,0.18,0.55555555555556,1,0.31696945787913,1,1,1,1
Pomacentrus,coelestis,15.25,97.75,1109:457:2,0.11,1,1,0.10761582707785,1,1,1,1
Pomacentrus,coelestis,15.75,97.25,1109:457:3,0.11,1,1,0.10599601699645,1,1,1,1
Pomacentrus,coelestis,16.25,95.25,1109:465:1,0.03,0.5,1,0.081437467092485,0.68503212902891,1,1,1
Pomacentrus,coelestis,12.75,101.25,1110:121:3,0.19,1,0.98758682977586,0.19010607018529,1,1,1,1
Pomacentrus,coelestis,21.25,87.25,1208:217:1,0.07,1,1,0.084392995719443,0.79798089272553,1,1,1
Pomacentrus,coelestis,21.25,87.75,1208:217:2,0.04,1,1,0.054099760859849,0.66660876489959,1,1,1
Pomacentrus,coelestis,20.25,93.25,1209:103:1,0.08,1,1,0.18563213118587,0.40784715677001,1,1,1
Pomacentrus,coelestis,20.75,108.25,1210:208:3,0.11,0.11111111111111,1,1,1,1,1,1
Pomacentrus,coelestis,23.75,117.25,1211:237:3,0.14,1,1,0.92112472258419,0.15178027773649,1,1,1
Pomacentrus,coelestis,26.75,119.75,1211:469:4,0.19,1,0.49530574986753,0.54810736552779,0.68573597919874,1,1,1
Pomacentrus,coelestis,24.75,123.25,1212:143:3,0.11,0.11111111111111,1,1,1,1,1,1
Pomacentrus,coelestis,27.75,120.75,1212:370:4,0.12,1,0.4928420199407,0.29101343040006,0.84808944416108,1,1,1
Pomacentrus,coelestis,28.25,121.25,1212:381:1,0.10,1,0.40080603355785,0.26305238884616,0.93910117353556,1,1,1
Pomacentrus,coelestis,28.25,121.75,1212:381:2,0.15,1,0.41931415780242,0.36985127322645,0.93640903256998,1,1,1
Pomacentrus,coelestis,28.75,121.75,1212:381:4,0.04,1,0.24012046437628,0.15930784754006,0.93536690565953,1,1,1
Pomacentrus,coelestis,29.25,122.25,1212:392:1,0.03,1,0.16558931975087,0.21296007087432,0.9107251536753,1,1,1
Pomacentrus,coelestis,29.25,122.75,1212:392:2,0.10,0.33333333333333,0.4482682232365,0.91774032776614,0.75412506231317,1,1,1
Pomacentrus,coelestis,29.75,122.75,1212:392:4,0.17,1,0.26339268363646,0.73421317410756,0.86541467261894,1,1,1
Pomacentrus,coelestis,30.25,122.75,1312:102:2,0.04,1,0.07859112863583,0.61636344496026,0.90564481531647,1,1,1
Pomacentrus,coelestis,33.75,126.75,1312:236:4,0.09,1,0.08705958550287,0.99902612617217,1,1,1,1
Pomacentrus,coelestis,33.75,127.75,1312:237:4,0.04,0.11111111111111,0.36431537508431,1,1,1,1,1
Pomacentrus,coelestis,34.25,128.25,1312:248:1,0.11,1,0.12488453270608,0.90048399316259,1,1,1,1
Pomacentrus,coelestis,34.75,129.25,1312:249:3,0.19,1,0.18908007155619,1,1,1,1,1
Pomacentrus,coelestis,35.25,129.25,1312:459:1,0.03,1,0.047559079567938,0.92664167105434,0.64491966538879,1,1,1
Pomacentrus,coelestis,33.75,131.25,1313:131:3,0.15,1,0.18215887642762,1,0.81767260254439,1,1,1
Pomacentrus,coelestis,33.75,131.75,1313:131:4,0.10,1,0.10526022462031,1,0.93430306271683,1,1,1
Pomacentrus,coelestis,33.75,132.25,1313:132:3,0.09,1,0.093383344299597,1,0.93536690565953,1,1,1
Pomacentrus,coelestis,34.25,131.75,1313:141:2,0.14,1,0.14657613300957,1,0.9540190766984,1,1,1
Pomacentrus,coelestis,34.75,131.75,1313:141:4,0.19,1,0.18727364989139,1,1,1,1,1
Pomacentrus,coelestis,34.25,132.25,1313:142:1,0.07,1,0.090958531127377,1,0.74029526581621,1,1,1
Pomacentrus,coelestis,34.25,132.75,1313:142:2,0.06,1,0.10598937919857,1,0.5324359563864,1,1,1
Pomacentrus,coelestis,34.75,132.25,1313:142:3,0.13,1,0.13912934786536,1,0.91367190197608,1,1,1
Pomacentrus,coelestis,34.25,133.25,1313:143:1,0.15,1,0.23650548276345,1,0.62924449142559,1,1,1
Pomacentrus,coelestis,34.75,133.75,1313:143:4,0.13,1,0.18786852028339,1,0.69213278629808,1,1,1
Pomacentrus,coelestis,34.75,134.25,1313:144:3,0.13,1,0.20171604242025,1,0.62583584271459,1,1,1
Pomacentrus,coelestis,34.25,135.25,1313:245:1,0.18,1,0.46195537413182,1,0.38961216001163,1,1,1
Pomacentrus,coelestis,34.75,137.75,1313:247:4,0.17,1,0.36169939939218,1,0.46923591311062,1,1,1
Pomacentrus,coelestis,35.25,132.25,1313:352:1,0.16,1,0.1619195980876,1,1,1,1,1
Pomacentrus,coelestis,35.25,132.75,1313:352:2,0.12,1,0.13179503641857,1,0.93182322932905,1,1,1
