Mapping parameters for Poroderma africanum (Striped catshark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 47,
Bounding Box (NSWE): ,-28,-36,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,50,100
Temperature (°C),1,14.32,15.73,21.35,22.38
Salinity (psu),1,34.02,34.61,35.51,36.01
Primary Production (mgC·m-3·day-1) ,1,2.66,15.4,58.74,80.16
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,52.83,160.31,209.51,236.49
Distance to Land (km),0,0,5,130,216
 

Map data (HSPEC) for predicted occurrences (n = 80): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Poroderma,africanum,-29.25,14.75,3201:394:2,0.15
Poroderma,africanum,-28.75,16.75,3201:486:4,0.01
Poroderma,africanum,-29.25,16.75,3201:496:2,0.06
Poroderma,africanum,-29.75,16.75,3201:496:4,0.09
Poroderma,africanum,-29.25,17.25,3201:497:1,0.12
Poroderma,africanum,-29.75,17.25,3201:497:3,0.18
Poroderma,africanum,-31.75,8.25,3300:218:3,0.03
Poroderma,africanum,-30.75,15.75,3301:205:4,0.09
Poroderma,africanum,-32.25,18.25,3301:228:1,0.07
Poroderma,africanum,-33.75,23.25,3302:133:3,0.10
Poroderma,africanum,-34.75,22.75,3302:142:4,0.18
Poroderma,africanum,-33.75,27.25,3302:237:3,0.11
Poroderma,africanum,-35.75,20.25,3302:350:3,0.10
Poroderma,africanum,-34.25,-4.75,5300:144:2,0.10
Poroderma,africanum,-29.25,15.75,3201:495:2,0.34
Poroderma,africanum,-30.75,16.25,3301:206:3,0.38
Poroderma,africanum,-30.25,17.25,3301:207:1,0.21
Poroderma,africanum,-30.75,17.75,3301:207:4,0.31
