Mapping parameters for Poromitra crassiceps (Crested bigscale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 34 |  41 |  47 |  67 |  88,
Bounding Box (NSWE): ,,,,

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,164,750,2730,2730
Temperature (°C),1,0.6,5.62,27.23,31.43
Salinity (psu),1,27.05,31.43,36.66,37.41
Primary Production (mgC·m-3·day-1) ,1,-0.31,0.69,17.97,44
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.03
Dissolved Bottom Oxygen (mmol·m-3),0,10.06,31.45,249.75,309.39
Distance to Land (km),0,15,73,978,1760.5
 

Map data (HSPEC) for predicted occurrences (n = 30640): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Poromitra,crassiceps,70.75,-15.25,7701:205:3,0.01
Poromitra,crassiceps,70.25,-15.75,7701:205:2,0.05
Poromitra,crassiceps,70.25,-15.25,7701:205:1,0.10
Poromitra,crassiceps,72.25,-11.25,7701:121:1,0.01
Poromitra,crassiceps,72.25,-10.75,7701:120:2,0.03
Poromitra,crassiceps,72.25,-10.25,7701:120:1,0.05
Poromitra,crassiceps,71.25,-13.75,7701:113:2,0.02
Poromitra,crassiceps,71.25,-13.25,7701:113:1,0.05
Poromitra,crassiceps,71.75,-12.25,7701:112:3,0.01
Poromitra,crassiceps,71.25,-12.75,7701:112:2,0.07
Poromitra,crassiceps,71.25,-12.25,7701:112:1,0.11
Poromitra,crassiceps,71.75,-11.75,7701:111:4,0.04
Poromitra,crassiceps,71.75,-11.25,7701:111:3,0.07
Poromitra,crassiceps,71.25,-11.75,7701:111:2,0.15
Poromitra,crassiceps,71.25,-11.25,7701:111:1,0.18
Poromitra,crassiceps,71.75,-10.75,7701:110:4,0.10
Poromitra,crassiceps,71.75,-10.25,7701:110:3,0.13
Poromitra,crassiceps,70.75,-14.75,7701:104:4,0.06
Poromitra,crassiceps,70.75,-14.25,7701:104:3,0.10
Poromitra,crassiceps,70.25,-14.75,7701:104:2,0.14
Poromitra,crassiceps,70.25,-14.25,7701:104:1,0.17
Poromitra,crassiceps,70.75,-13.75,7701:103:4,0.13
Poromitra,crassiceps,70.75,-13.25,7701:103:3,0.15
Poromitra,crassiceps,75.25,-6.25,7700:456:1,0.02
Poromitra,crassiceps,75.75,-5.25,7700:455:3,0.01
Poromitra,crassiceps,75.25,-5.75,7700:455:2,0.05
Poromitra,crassiceps,75.25,-5.25,7700:455:1,0.08
Poromitra,crassiceps,78.25,-0.25,7700:380:1,0.02
Poromitra,crassiceps,77.75,-1.25,7700:371:3,0.02
Poromitra,crassiceps,77.25,-1.25,7700:371:1,0.08
Poromitra,crassiceps,77.75,-0.75,7700:370:4,0.11
Poromitra,crassiceps,77.75,-0.25,7700:370:3,0.19
Poromitra,crassiceps,77.25,-0.75,7700:370:2,0.16
Poromitra,crassiceps,76.25,-3.75,7700:363:2,0.01
Poromitra,crassiceps,76.25,-3.25,7700:363:1,0.08
Poromitra,crassiceps,76.75,-2.25,7700:362:3,0.03
Poromitra,crassiceps,76.25,-2.75,7700:362:2,0.13
Poromitra,crassiceps,76.25,-2.25,7700:362:1,0.16
Poromitra,crassiceps,76.75,-1.75,7700:361:4,0.11
Poromitra,crassiceps,76.75,-1.25,7700:361:3,0.17
Poromitra,crassiceps,76.25,-1.75,7700:361:2,0.19
Poromitra,crassiceps,75.75,-4.75,7700:354:4,0.05
Poromitra,crassiceps,75.75,-4.25,7700:354:3,0.09
Poromitra,crassiceps,75.25,-4.75,7700:354:2,0.11
Poromitra,crassiceps,75.25,-4.25,7700:354:1,0.13
Poromitra,crassiceps,75.75,-3.75,7700:353:4,0.12
Poromitra,crassiceps,75.75,-3.25,7700:353:3,0.14
Poromitra,crassiceps,75.25,-3.75,7700:353:2,0.14
Poromitra,crassiceps,75.25,-3.25,7700:353:1,0.16
Poromitra,crassiceps,75.75,-2.75,7700:352:4,0.16
Poromitra,crassiceps,75.75,-2.25,7700:352:3,0.17
Poromitra,crassiceps,75.25,-2.75,7700:352:2,0.17
Poromitra,crassiceps,75.25,-2.25,7700:352:1,0.18
Poromitra,crassiceps,75.75,-1.75,7700:351:4,0.19
Poromitra,crassiceps,75.25,-1.75,7700:351:2,0.18
Poromitra,crassiceps,75.25,-1.25,7700:351:1,0.19
Poromitra,crassiceps,75.25,-0.75,7700:350:2,0.19
