Mapping parameters for Portunus trituberculatus (Gazami crab)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 57 |  61 |  71 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,6.83,13.71,29.02,33.22
Salinity (psu),1,13.17,25.41,33.63,38.54
Primary Production (mgC·m-3·day-1) ,1,1.85,3.77,33.59,134.07
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.01
Dissolved Bottom Oxygen (mmol·m-3),0,45.26,199.25,289.89,370.53
Distance to Land (km),0,1,10,170,261
 

Map data (HSPEC) for predicted occurrences (n = 4505): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Portunus,trituberculatus,0.25,97.75,1009:207:2,0.18
Portunus,trituberculatus,0.75,97.25,1009:207:3,0.13
Portunus,trituberculatus,1.25,97.25,1009:217:1,0.14
Portunus,trituberculatus,1.25,97.75,1009:217:2,0.19
Portunus,trituberculatus,2.75,95.75,1009:225:4,0.05
Portunus,trituberculatus,2.25,96.25,1009:226:1,0.08
Portunus,trituberculatus,2.25,96.75,1009:226:2,0.14
Portunus,trituberculatus,2.75,96.25,1009:226:3,0.08
Portunus,trituberculatus,2.75,96.75,1009:226:4,0.09
Portunus,trituberculatus,3.25,95.75,1009:235:2,0.04
Portunus,trituberculatus,4.75,95.25,1009:245:3,0.14
Portunus,trituberculatus,4.75,99.25,1009:249:3,0.04
Portunus,trituberculatus,5.75,94.75,1009:354:4,0.02
Portunus,trituberculatus,7.25,93.75,1009:373:2,0.18
Portunus,trituberculatus,7.75,93.75,1009:373:4,0.18
Portunus,trituberculatus,8.25,93.75,1009:383:2,0.11
Portunus,trituberculatus,8.75,93.25,1009:383:3,0.15
Portunus,trituberculatus,8.75,93.75,1009:383:4,0.11
Portunus,trituberculatus,5.25,95.25,1009:455:1,0.14
Portunus,trituberculatus,5.25,98.25,1009:458:1,0.03
Portunus,trituberculatus,5.75,98.75,1009:458:4,0.01
Portunus,trituberculatus,5.25,99.25,1009:459:1,0.04
Portunus,trituberculatus,6.75,98.75,1009:468:4,0.17
Portunus,trituberculatus,7.25,98.25,1009:478:1,0.19
Portunus,trituberculatus,8.25,99.25,1009:489:1,0.18
Portunus,trituberculatus,9.25,97.25,1009:497:1,0.05
Portunus,trituberculatus,0.25,102.75,1010:102:2,0.19
Portunus,trituberculatus,0.75,102.25,1010:102:3,0.19
Portunus,trituberculatus,0.75,102.75,1010:102:4,0.19
Portunus,trituberculatus,1.75,100.75,1010:110:4,0.18
Portunus,trituberculatus,3.75,104.75,1010:134:4,0.09
Portunus,trituberculatus,4.25,104.25,1010:144:1,0.08
Portunus,trituberculatus,4.75,104.75,1010:144:4,0.04
Portunus,trituberculatus,1.75,105.75,1010:215:4,0.13
Portunus,trituberculatus,2.25,107.25,1010:227:1,0.02
Portunus,trituberculatus,2.75,108.25,1010:228:3,0.05
Portunus,trituberculatus,3.25,105.25,1010:235:1,0.04
Portunus,trituberculatus,3.75,107.25,1010:237:3,0.15
Portunus,trituberculatus,3.25,109.75,1010:239:2,0.02
Portunus,trituberculatus,6.25,104.25,1010:364:1,0.03
Portunus,trituberculatus,7.25,103.25,1010:373:1,0.12
Portunus,trituberculatus,8.75,101.75,1010:381:4,0.13
Portunus,trituberculatus,9.75,100.75,1010:390:4,0.16
Portunus,trituberculatus,9.25,101.25,1010:391:1,0.17
Portunus,trituberculatus,9.75,101.25,1010:391:3,0.05
Portunus,trituberculatus,5.75,105.25,1010:455:3,0.10
Portunus,trituberculatus,5.25,106.75,1010:456:2,0.07
Portunus,trituberculatus,5.75,106.25,1010:456:3,0.07
Portunus,trituberculatus,5.75,106.75,1010:456:4,0.04
Portunus,trituberculatus,5.75,109.75,1010:459:4,0.04
Portunus,trituberculatus,6.25,106.75,1010:466:2,0.19
Portunus,trituberculatus,6.25,107.25,1010:467:1,0.02
Portunus,trituberculatus,6.75,107.75,1010:467:4,0.12
Portunus,trituberculatus,7.75,108.75,1010:478:4,0.12
Portunus,trituberculatus,9.75,105.75,1010:495:4,0.18
Portunus,trituberculatus,1.25,111.25,1011:111:1,0.19
Portunus,trituberculatus,2.25,111.75,1011:121:2,0.19
Portunus,trituberculatus,3.25,110.25,1011:130:1,0.10
Portunus,trituberculatus,3.75,110.75,1011:130:4,0.07
Portunus,trituberculatus,3.75,111.25,1011:131:3,0.17
Portunus,trituberculatus,4.75,110.25,1011:140:3,0.03
Portunus,trituberculatus,4.25,112.75,1011:142:2,0.03
Portunus,trituberculatus,4.75,112.25,1011:142:3,0.18
Portunus,trituberculatus,3.75,117.25,1011:237:3,0.19
Portunus,trituberculatus,4.25,117.25,1011:247:1,0.18
Portunus,trituberculatus,5.25,110.75,1011:350:2,0.05
Portunus,trituberculatus,5.25,111.75,1011:351:2,0.09
Portunus,trituberculatus,5.25,112.25,1011:352:1,0.06
