Mapping parameters for Prionurus maculatus (Yellowspotted sawtail)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 71 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,11,20
Temperature (°C),1,14.56,17.83,24.16,28.56
Salinity (psu),1,34.85,35.35,35.65,36.15
Primary Production (mgC·m-3·day-1) ,1,0.97,3.98,22.89,40.93
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,153.1,179.74,226.91,255.77
Distance to Land (km),0,0,1,104,327
 

Map data (HSPEC) for predicted occurrences (n = 313): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Prionurus,maculatus,-11.25,142.75,3114:112:2,0.01
Prionurus,maculatus,-11.75,143.25,3114:113:3,0.05
Prionurus,maculatus,-12.25,143.25,3114:123:1,0.10
Prionurus,maculatus,-12.25,143.75,3114:123:2,0.03
Prionurus,maculatus,-12.75,143.75,3114:123:4,0.06
Prionurus,maculatus,-13.25,143.75,3114:133:2,0.08
Prionurus,maculatus,-13.75,143.75,3114:133:4,0.12
Prionurus,maculatus,-13.75,144.25,3114:134:3,0.03
Prionurus,maculatus,-14.25,143.75,3114:143:2,0.18
Prionurus,maculatus,-14.25,144.25,3114:144:1,0.14
Prionurus,maculatus,-14.25,144.75,3114:144:2,0.09
Prionurus,maculatus,-14.75,144.75,3114:144:4,0.14
Prionurus,maculatus,-14.25,145.25,3114:245:1,0.02
Prionurus,maculatus,-14.75,145.25,3114:245:3,0.11
Prionurus,maculatus,-14.75,145.75,3114:245:4,0.01
Prionurus,maculatus,-15.25,145.25,3114:455:1,0.13
Prionurus,maculatus,-15.25,145.75,3114:455:2,0.03
Prionurus,maculatus,-15.75,145.25,3114:455:3,0.13
Prionurus,maculatus,-15.75,145.75,3114:455:4,0.06
Prionurus,maculatus,-16.25,145.25,3114:465:1,0.10
Prionurus,maculatus,-16.25,145.75,3114:465:2,0.16
Prionurus,maculatus,-16.25,146.25,3114:466:1,0.01
Prionurus,maculatus,-16.75,146.25,3114:466:3,0.12
Prionurus,maculatus,-16.75,146.75,3114:466:4,0.01
Prionurus,maculatus,-17.25,145.75,3114:475:2,0.16
Prionurus,maculatus,-17.25,146.75,3114:476:2,0.05
Prionurus,maculatus,-17.75,146.75,3114:476:4,0.18
Prionurus,maculatus,-17.75,148.25,3114:478:3,0.02
Prionurus,maculatus,-17.75,148.75,3114:478:4,0.01
Prionurus,maculatus,-18.25,147.25,3114:487:1,0.16
Prionurus,maculatus,-18.25,147.75,3114:487:2,0.09
Prionurus,maculatus,-18.75,148.25,3114:488:3,0.15
Prionurus,maculatus,-18.75,148.75,3114:488:4,0.08
Prionurus,maculatus,-19.25,146.25,3114:496:1,0.09
Prionurus,maculatus,-19.25,149.75,3114:499:2,0.14
Prionurus,maculatus,-17.75,150.75,3115:370:4,0.01
Prionurus,maculatus,-19.75,150.25,3115:390:3,0.19
Prionurus,maculatus,-19.75,150.75,3115:390:4,0.12
Prionurus,maculatus,-19.25,152.25,3115:392:1,0.02
Prionurus,maculatus,-19.25,158.75,3115:498:2,0.01
Prionurus,maculatus,-19.75,158.25,3115:498:3,0.01
Prionurus,maculatus,-19.75,158.75,3115:498:4,0.06
Prionurus,maculatus,-18.25,162.75,3116:382:2,0.01
Prionurus,maculatus,-18.75,163.25,3116:383:3,0.01
Prionurus,maculatus,-19.25,163.25,3116:393:1,0.03
Prionurus,maculatus,-19.25,163.75,3116:393:2,0.01
Prionurus,maculatus,-19.75,163.25,3116:393:3,0.03
Prionurus,maculatus,-19.75,163.75,3116:393:4,0.02
Prionurus,maculatus,-20.25,151.25,3215:101:1,0.16
Prionurus,maculatus,-20.75,152.75,3215:102:4,0.13
Prionurus,maculatus,-20.75,154.25,3215:104:3,0.13
Prionurus,maculatus,-21.25,153.25,3215:113:1,0.08
Prionurus,maculatus,-20.25,158.75,3215:208:2,0.12
Prionurus,maculatus,-20.75,161.75,3216:101:4,0.01
Prionurus,maculatus,-20.25,163.75,3216:103:2,0.05
Prionurus,maculatus,-20.25,164.25,3216:104:1,0.08
Prionurus,maculatus,-20.25,164.75,3216:104:2,0.01
Prionurus,maculatus,-20.75,164.25,3216:104:3,0.07
Prionurus,maculatus,-20.75,164.75,3216:104:4,0.04
Prionurus,maculatus,-21.25,161.75,3216:111:2,0.06
Prionurus,maculatus,-21.25,164.75,3216:114:2,0.08
Prionurus,maculatus,-20.75,165.25,3216:205:3,0.02
Prionurus,maculatus,-20.75,165.75,3216:205:4,0.01
Prionurus,maculatus,-20.75,166.25,3216:206:3,0.01
Prionurus,maculatus,-20.75,166.75,3216:206:4,0.01
Prionurus,maculatus,-21.25,165.25,3216:215:1,0.05
Prionurus,maculatus,-21.25,165.75,3216:215:2,0.04
Prionurus,maculatus,-21.75,165.25,3216:215:3,0.08
Prionurus,maculatus,-21.75,165.75,3216:215:4,0.07
Prionurus,maculatus,-21.25,166.25,3216:216:1,0.02
Prionurus,maculatus,-21.75,166.25,3216:216:3,0.06
Prionurus,maculatus,-21.75,166.75,3216:216:4,0.05
Prionurus,maculatus,-21.25,167.25,3216:217:1,0.02
Prionurus,maculatus,-21.25,167.75,3216:217:2,0.02
Prionurus,maculatus,-21.75,167.75,3216:217:4,0.03
Prionurus,maculatus,-21.25,168.25,3216:218:1,0.01
Prionurus,maculatus,-21.75,168.25,3216:218:3,0.03
Prionurus,maculatus,-22.25,166.25,3216:226:1,0.14
Prionurus,maculatus,-22.25,166.75,3216:226:2,0.10
Prionurus,maculatus,-22.75,166.75,3216:226:4,0.13
Prionurus,maculatus,-22.25,167.25,3216:227:1,0.11
Prionurus,maculatus,-22.25,167.75,3216:227:2,0.07
Prionurus,maculatus,-22.75,167.25,3216:227:3,0.15
Prionurus,maculatus,-22.75,167.75,3216:227:4,0.11
Prionurus,maculatus,-22.25,168.75,3216:228:2,0.03
Prionurus,maculatus,-25.25,161.75,3216:351:2,0.18
Prionurus,maculatus,-25.75,161.75,3216:351:4,0.17
Prionurus,maculatus,-25.25,162.25,3216:352:1,0.18
Prionurus,maculatus,-25.25,162.75,3216:352:2,0.17
Prionurus,maculatus,-25.75,162.25,3216:352:3,0.17
Prionurus,maculatus,-25.75,162.75,3216:352:4,0.16
Prionurus,maculatus,-25.75,163.25,3216:353:3,0.16
Prionurus,maculatus,-26.25,161.75,3216:361:2,0.16
Prionurus,maculatus,-26.25,162.25,3216:362:1,0.16
Prionurus,maculatus,-39.75,173.75,3317:393:4,0.08
Prionurus,maculatus,-39.75,174.25,3317:394:3,0.14
Prionurus,maculatus,-39.75,174.75,3317:394:4,0.19
Prionurus,maculatus,-43.25,169.75,3416:239:2,0.01
Prionurus,maculatus,-40.25,172.75,3417:102:2,0.13
Prionurus,maculatus,-40.75,172.25,3417:102:3,0.01
Prionurus,maculatus,-40.75,172.75,3417:102:4,0.02
Prionurus,maculatus,-40.25,173.25,3417:103:1,0.07
Prionurus,maculatus,-40.75,173.25,3417:103:3,0.03
Prionurus,maculatus,-40.75,173.75,3417:103:4,0.03
Prionurus,maculatus,-40.75,174.25,3417:104:3,0.02
Prionurus,maculatus,-40.75,174.75,3417:104:4,0.07
Prionurus,maculatus,-41.75,171.25,3417:111:3,0.01
Prionurus,maculatus,-41.25,173.25,3417:113:1,0.01
Prionurus,maculatus,-40.25,175.25,3417:205:1,0.13
Prionurus,maculatus,-40.75,175.25,3417:205:3,0.04
Prionurus,maculatus,-40.75,176.25,3417:206:3,0.03
Prionurus,maculatus,-40.75,176.75,3417:206:4,0.18
Prionurus,maculatus,-41.25,176.25,3417:216:1,0.03
Prionurus,maculatus,-30.25,-178.25,5317:208:1,0.03
Prionurus,maculatus,-30.75,-178.75,5317:208:4,0.13
Prionurus,maculatus,0.25,-176.25,7017:206:1,0.10
Prionurus,maculatus,0.75,-176.75,7017:206:4,0.08
Prionurus,maculatus,-16.75,145.75,3114:465:4,0.27
Prionurus,maculatus,-17.25,146.25,3114:476:1,0.28
Prionurus,maculatus,-17.75,146.25,3114:476:3,0.36
Prionurus,maculatus,-18.25,146.75,3114:486:2,0.37
Prionurus,maculatus,-18.75,147.75,3114:487:4,0.32
Prionurus,maculatus,-19.25,148.75,3114:498:2,0.36
Prionurus,maculatus,-19.25,149.25,3114:499:1,0.22
Prionurus,maculatus,-19.75,149.75,3114:499:4,0.35
Prionurus,maculatus,-20.25,150.75,3215:100:2,0.25
Prionurus,maculatus,-20.75,151.75,3215:101:4,0.26
Prionurus,maculatus,-20.75,152.25,3215:102:3,0.20
Prionurus,maculatus,-21.25,152.75,3215:112:2,0.30
Prionurus,maculatus,-21.75,153.25,3215:113:3,0.29
Prionurus,maculatus,-21.75,153.75,3215:113:4,0.27
Prionurus,maculatus,-20.75,158.75,3215:208:4,0.23
Prionurus,maculatus,-20.75,159.25,3215:209:3,0.21
Prionurus,maculatus,-21.25,155.75,3215:215:2,0.28
Prionurus,maculatus,-21.25,158.75,3215:218:2,0.35
Prionurus,maculatus,-21.25,159.25,3215:219:1,0.38
Prionurus,maculatus,-21.75,159.75,3215:219:4,0.32
Prionurus,maculatus,-23.75,159.75,3215:239:4,0.39
Prionurus,maculatus,-24.25,159.75,3215:249:2,0.36
Prionurus,maculatus,-24.75,159.75,3215:249:4,0.30
Prionurus,maculatus,-25.75,161.25,3216:351:3,0.20
Prionurus,maculatus,-37.25,174.75,3317:374:2,0.20
Prionurus,maculatus,-38.75,174.25,3317:384:3,0.38
Prionurus,maculatus,-38.75,174.75,3317:384:4,0.38
Prionurus,maculatus,-39.25,174.25,3317:394:1,0.28
Prionurus,maculatus,-37.25,175.25,3317:475:1,0.30
Prionurus,maculatus,-37.75,175.75,3317:475:4,0.36
Prionurus,maculatus,-39.75,175.25,3317:495:3,0.21
Prionurus,maculatus,-39.25,176.75,3317:496:2,0.35
Prionurus,maculatus,-39.75,176.75,3317:496:4,0.30
Prionurus,maculatus,-39.25,177.25,3317:497:1,0.25
Prionurus,maculatus,-40.25,176.75,3417:206:2,0.23
Prionurus,maculatus,-31.25,-178.75,5317:218:2,0.26
Prionurus,maculatus,-18.25,146.25,3114:486:1,0.44
Prionurus,maculatus,-18.75,146.25,3114:486:3,0.51
Prionurus,maculatus,-18.75,146.75,3114:486:4,0.51
Prionurus,maculatus,-18.75,147.25,3114:487:3,0.40
Prionurus,maculatus,-19.25,147.25,3114:497:1,0.51
Prionurus,maculatus,-19.25,147.75,3114:497:2,0.54
Prionurus,maculatus,-19.25,148.25,3114:498:1,0.45
Prionurus,maculatus,-19.75,149.25,3114:499:3,0.52
Prionurus,maculatus,-20.25,150.25,3215:100:1,0.40
Prionurus,maculatus,-20.75,150.25,3215:100:3,0.59
Prionurus,maculatus,-20.75,150.75,3215:100:4,0.52
Prionurus,maculatus,-20.75,151.25,3215:101:3,0.40
Prionurus,maculatus,-21.25,151.75,3215:111:2,0.55
Prionurus,maculatus,-21.25,152.25,3215:112:1,0.49
Prionurus,maculatus,-21.75,152.75,3215:112:4,0.45
Prionurus,maculatus,-22.75,150.25,3215:120:3,0.50
Prionurus,maculatus,-24.75,153.75,3215:143:4,0.43
Prionurus,maculatus,-21.75,159.25,3215:219:3,0.41
Prionurus,maculatus,-22.25,155.25,3215:225:1,0.47
Prionurus,maculatus,-23.75,159.25,3215:239:3,0.41
Prionurus,maculatus,-24.25,159.25,3215:249:1,0.41
Prionurus,maculatus,-37.75,174.75,3317:374:4,0.42
Prionurus,maculatus,-38.25,174.75,3317:384:2,0.46
Prionurus,maculatus,-39.25,173.75,3317:393:2,0.41
Prionurus,maculatus,-38.75,177.75,3317:487:4,0.55
Prionurus,maculatus,-38.75,178.25,3317:488:3,0.58
Prionurus,maculatus,-39.25,177.75,3317:497:2,0.44
Prionurus,maculatus,-39.75,177.25,3317:497:3,0.40
Prionurus,maculatus,-19.25,146.75,3114:496:2,0.60
Prionurus,maculatus,-19.75,147.75,3114:497:4,0.75
Prionurus,maculatus,-19.75,148.25,3114:498:3,0.73
Prionurus,maculatus,-19.75,148.75,3114:498:4,0.68
Prionurus,maculatus,-20.25,149.25,3214:209:1,0.75
Prionurus,maculatus,-20.25,149.75,3214:209:2,0.60
Prionurus,maculatus,-20.75,149.75,3214:209:4,0.73
Prionurus,maculatus,-21.25,150.75,3215:110:2,0.66
Prionurus,maculatus,-21.25,151.25,3215:111:1,0.60
Prionurus,maculatus,-21.75,151.25,3215:111:3,0.77
Prionurus,maculatus,-21.75,151.75,3215:111:4,0.71
Prionurus,maculatus,-21.75,152.25,3215:112:3,0.65
Prionurus,maculatus,-22.25,152.25,3215:122:1,0.79
Prionurus,maculatus,-22.25,152.75,3215:122:2,0.64
Prionurus,maculatus,-22.75,152.75,3215:122:4,0.66
Prionurus,maculatus,-24.25,153.25,3215:143:1,0.78
Prionurus,maculatus,-23.25,155.75,3215:235:2,0.76
Prionurus,maculatus,-26.75,153.75,3215:363:4,0.77
Prionurus,maculatus,-36.25,174.25,3317:364:1,0.79
Prionurus,maculatus,-36.75,174.25,3317:364:3,0.73
Prionurus,maculatus,-37.75,176.25,3317:476:3,0.79
Prionurus,maculatus,-37.75,176.75,3317:476:4,0.69
Prionurus,maculatus,-37.75,178.75,3317:478:4,0.76
Prionurus,maculatus,-38.25,178.25,3317:488:1,0.62
Prionurus,maculatus,-39.25,178.25,3317:498:1,0.61
Prionurus,maculatus,-20.25,148.25,3214:208:1,0.82
Prionurus,maculatus,-20.25,148.75,3214:208:2,0.82
Prionurus,maculatus,-20.75,148.75,3214:208:4,0.89
Prionurus,maculatus,-20.75,149.25,3214:209:3,0.86
Prionurus,maculatus,-21.25,149.25,3214:219:1,0.94
Prionurus,maculatus,-21.25,149.75,3214:219:2,0.88
Prionurus,maculatus,-21.75,149.25,3214:219:3,0.99
Prionurus,maculatus,-21.75,149.75,3214:219:4,0.98
Prionurus,maculatus,-22.25,149.75,3214:229:2,1.00
Prionurus,maculatus,-22.75,149.75,3214:229:4,1.00
Prionurus,maculatus,-21.25,150.25,3215:110:1,0.80
Prionurus,maculatus,-21.75,150.25,3215:110:3,0.91
Prionurus,maculatus,-21.75,150.75,3215:110:4,0.84
Prionurus,maculatus,-22.25,150.25,3215:120:1,0.99
Prionurus,maculatus,-22.25,150.75,3215:120:2,0.96
Prionurus,maculatus,-22.75,150.75,3215:120:4,1.00
Prionurus,maculatus,-22.75,151.25,3215:121:3,0.98
Prionurus,maculatus,-22.75,151.75,3215:121:4,0.92
Prionurus,maculatus,-23.25,150.75,3215:130:2,1.00
Prionurus,maculatus,-23.75,150.75,3215:130:4,1.00
Prionurus,maculatus,-23.25,151.25,3215:131:1,1.00
Prionurus,maculatus,-23.25,151.75,3215:131:2,1.00
Prionurus,maculatus,-23.75,151.25,3215:131:3,1.00
Prionurus,maculatus,-23.75,151.75,3215:131:4,1.00
Prionurus,maculatus,-23.25,152.25,3215:132:1,0.90
Prionurus,maculatus,-23.75,152.25,3215:132:3,0.97
Prionurus,maculatus,-24.25,151.75,3215:141:2,1.00
Prionurus,maculatus,-24.25,152.25,3215:142:1,1.00
Prionurus,maculatus,-24.25,152.75,3215:142:2,1.00
Prionurus,maculatus,-24.75,152.25,3215:142:3,1.00
Prionurus,maculatus,-24.75,152.75,3215:142:4,1.00
Prionurus,maculatus,-24.75,153.25,3215:143:3,1.00
Prionurus,maculatus,-25.25,152.75,3215:352:2,1.00
Prionurus,maculatus,-25.75,152.75,3215:352:4,1.00
Prionurus,maculatus,-25.25,153.25,3215:353:1,1.00
Prionurus,maculatus,-25.25,153.75,3215:353:2,0.84
Prionurus,maculatus,-25.75,153.25,3215:353:3,1.00
Prionurus,maculatus,-26.25,153.25,3215:363:1,1.00
Prionurus,maculatus,-26.75,153.25,3215:363:3,1.00
Prionurus,maculatus,-27.25,153.25,3215:373:1,1.00
Prionurus,maculatus,-27.25,153.75,3215:373:2,1.00
Prionurus,maculatus,-27.75,153.25,3215:373:3,1.00
Prionurus,maculatus,-27.75,153.75,3215:373:4,1.00
Prionurus,maculatus,-28.25,153.25,3215:383:1,1.00
Prionurus,maculatus,-28.25,153.75,3215:383:2,1.00
Prionurus,maculatus,-28.75,153.75,3215:383:4,1.00
Prionurus,maculatus,-29.25,153.25,3215:393:1,1.00
Prionurus,maculatus,-29.25,153.75,3215:393:2,1.00
Prionurus,maculatus,-29.75,153.25,3215:393:3,1.00
Prionurus,maculatus,-29.25,159.25,3215:499:1,1.00
Prionurus,maculatus,-29.75,159.25,3215:499:3,1.00
