Mapping parameters for Pristipomoides typus (Sharptooth jobfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  61 |  71 |  81,
Bounding Box (NSWE): ,32,-12,93,157

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,40,48,80,120
Temperature (°C),1,22.16,27.75,29.12,33.32
Salinity (psu),1,28.14,31.13,34.49,35.31
Primary Production (mgC·m-3·day-1) ,1,0.56,2.59,21.56,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,78.72,113.11,204.24,258.83
Distance to Land (km),0,2,20,254,512
 

Map data (HSPEC) for predicted occurrences (n = 2684): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pristipomoides,typus,8.25,98.75,1009:488:2,0.12
Pristipomoides,typus,1.75,102.75,1010:112:4,0.12
Pristipomoides,typus,1.75,103.25,1010:113:3,0.18
Pristipomoides,typus,1.75,108.75,1010:218:4,0.12
Pristipomoides,typus,3.25,106.25,1010:236:1,0.12
Pristipomoides,typus,6.25,100.25,1010:360:1,0.11
Pristipomoides,typus,6.75,109.25,1010:469:3,0.11
Pristipomoides,typus,7.25,109.25,1010:479:1,0.11
Pristipomoides,typus,9.25,105.75,1010:495:2,0.09
Pristipomoides,typus,3.25,118.25,1011:238:1,0.05
Pristipomoides,typus,5.75,118.25,1011:458:3,0.16
Pristipomoides,typus,8.25,118.25,1011:488:1,0.06
Pristipomoides,typus,6.75,123.75,1012:363:4,0.05
Pristipomoides,typus,9.75,140.75,1014:390:4,0.15
Pristipomoides,typus,6.75,152.75,1015:362:4,0.14
Pristipomoides,typus,7.25,151.25,1015:371:1,0.07
Pristipomoides,typus,7.25,152.75,1015:372:2,0.06
Pristipomoides,typus,7.75,152.25,1015:372:3,0.16
Pristipomoides,typus,8.25,151.75,1015:381:2,0.15
Pristipomoides,typus,8.75,151.25,1015:381:3,0.16
Pristipomoides,typus,8.75,151.75,1015:381:4,0.15
Pristipomoides,typus,8.75,152.25,1015:382:3,0.14
Pristipomoides,typus,8.25,154.25,1015:384:1,0.11
Pristipomoides,typus,11.75,96.75,1109:216:4,0.06
Pristipomoides,typus,12.75,96.75,1109:226:4,0.01
Pristipomoides,typus,12.75,97.25,1109:227:3,0.08
Pristipomoides,typus,12.25,99.75,1109:229:2,0.04
Pristipomoides,typus,13.75,96.25,1109:236:3,0.07
Pristipomoides,typus,13.25,97.75,1109:237:2,0.12
Pristipomoides,typus,13.75,97.25,1109:237:3,0.02
Pristipomoides,typus,13.25,98.75,1109:238:2,0.11
Pristipomoides,typus,12.75,98.75,1109:228:4,0.06
Pristipomoides,typus,14.25,96.25,1109:246:1,0.13
Pristipomoides,typus,14.25,96.75,1109:246:2,0.05
Pristipomoides,typus,14.75,96.75,1109:246:4,0.14
Pristipomoides,typus,14.25,97.25,1109:247:1,0.02
Pristipomoides,typus,14.75,97.25,1109:247:3,0.01
Pristipomoides,typus,15.75,94.25,1109:354:3,0.05
Pristipomoides,typus,15.25,95.25,1109:455:1,0.04
Pristipomoides,typus,15.25,96.75,1109:456:2,0.14
Pristipomoides,typus,10.25,102.75,1110:102:2,0.11
Pristipomoides,typus,10.25,107.25,1110:207:1,0.07
Pristipomoides,typus,15.75,109.75,1110:459:4,0.11
Pristipomoides,typus,18.25,107.25,1110:487:1,0.04
Pristipomoides,typus,11.25,118.75,1111:218:2,0.14
Pristipomoides,typus,11.25,124.75,1112:114:2,0.12
Pristipomoides,typus,15.75,124.25,1112:354:3,0.01
Pristipomoides,typus,13.25,144.75,1114:134:2,0.14
Pristipomoides,typus,13.75,144.75,1114:134:4,0.18
Pristipomoides,typus,14.25,145.25,1114:245:1,0.09
Pristipomoides,typus,14.75,145.75,1114:245:4,0.12
Pristipomoides,typus,16.25,145.75,1114:465:2,0.18
Pristipomoides,typus,16.75,145.75,1114:465:4,0.18
Pristipomoides,typus,16.25,146.25,1114:466:1,0.15
Pristipomoides,typus,17.75,145.75,1114:475:4,0.19
Pristipomoides,typus,17.25,152.75,1115:372:2,0.09
Pristipomoides,typus,20.75,107.25,1210:207:3,0.14
Pristipomoides,typus,21.25,109.75,1210:219:2,0.14
Pristipomoides,typus,20.75,110.25,1211:100:3,0.14
Pristipomoides,typus,21.25,111.75,1211:111:2,0.13
Pristipomoides,typus,21.75,113.25,1211:113:3,0.12
Pristipomoides,typus,21.75,113.75,1211:113:4,0.11
Pristipomoides,typus,22.75,113.75,1211:123:4,0.05
Pristipomoides,typus,22.75,114.25,1211:124:3,0.03
Pristipomoides,typus,22.75,114.75,1211:124:4,0.04
Pristipomoides,typus,23.25,116.75,1211:236:2,0.17
