Mapping parameters for Pristis clavata (Dwarf sawfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71,
Bounding Box (NSWE): ,20,-25,46,155

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,11,20
Temperature (°C),1,24.41,25.45,28.51,32.71
Salinity (psu),1,32.52,33.49,35.27,35.93
Primary Production (mgC·m-3·day-1) ,1,1.75,8.64,15.92,23.49
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,200.33,200.83,209.02,209.97
Distance to Land (km),0,2,8,27,93
 

Map data (HSPEC) for predicted occurrences (n = 1401): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pristis,clavata,6.25,79.75,1007:469:2,0.04
Pristis,clavata,9.25,78.25,1007:498:1,0.19
Pristis,clavata,0.75,97.25,1009:207:3,0.03
Pristis,clavata,0.75,97.75,1009:207:4,0.05
Pristis,clavata,0.25,98.25,1009:208:1,0.07
Pristis,clavata,0.75,98.25,1009:208:3,0.08
Pristis,clavata,1.25,97.25,1009:217:1,0.03
Pristis,clavata,1.25,97.75,1009:217:2,0.03
Pristis,clavata,1.75,97.25,1009:217:3,0.04
Pristis,clavata,1.75,97.75,1009:217:4,0.05
Pristis,clavata,1.25,98.25,1009:218:1,0.05
Pristis,clavata,1.25,98.75,1009:218:2,0.13
Pristis,clavata,1.75,98.25,1009:218:3,0.08
Pristis,clavata,1.75,98.75,1009:218:4,0.09
Pristis,clavata,2.75,95.25,1009:225:3,0.01
Pristis,clavata,2.75,95.75,1009:225:4,0.02
Pristis,clavata,2.25,96.25,1009:226:1,0.02
Pristis,clavata,2.25,96.75,1009:226:2,0.03
Pristis,clavata,2.75,96.25,1009:226:3,0.02
Pristis,clavata,2.25,97.25,1009:227:1,0.09
Pristis,clavata,2.75,97.25,1009:227:3,0.16
Pristis,clavata,2.75,97.75,1009:227:4,0.09
Pristis,clavata,2.25,98.25,1009:228:1,0.13
Pristis,clavata,3.25,95.25,1009:235:1,0.01
Pristis,clavata,3.75,96.25,1009:236:3,0.09
Pristis,clavata,3.75,96.75,1009:236:4,0.11
Pristis,clavata,3.25,97.25,1009:237:1,0.10
Pristis,clavata,4.25,95.75,1009:245:2,0.05
Pristis,clavata,4.75,95.25,1009:245:3,0.03
Pristis,clavata,4.75,95.75,1009:245:4,0.09
Pristis,clavata,4.25,96.25,1009:246:1,0.11
Pristis,clavata,6.75,93.75,1009:363:4,0.04
Pristis,clavata,7.25,93.75,1009:373:2,0.02
Pristis,clavata,7.75,93.25,1009:373:3,0.02
Pristis,clavata,7.75,93.75,1009:373:4,0.01
Pristis,clavata,8.75,92.75,1009:382:4,0.02
Pristis,clavata,8.25,93.25,1009:383:1,0.02
Pristis,clavata,8.25,93.75,1009:383:2,0.01
Pristis,clavata,8.75,93.25,1009:383:3,0.01
Pristis,clavata,9.25,92.75,1009:392:2,0.01
Pristis,clavata,5.25,95.25,1009:455:1,0.03
Pristis,clavata,5.25,95.75,1009:455:2,0.08
Pristis,clavata,5.75,95.25,1009:455:3,0.03
Pristis,clavata,5.75,95.75,1009:455:4,0.02
Pristis,clavata,5.25,96.25,1009:456:1,0.07
Pristis,clavata,5.25,96.75,1009:456:2,0.01
Pristis,clavata,3.25,105.75,1010:235:2,0.01
Pristis,clavata,3.25,106.25,1010:236:1,0.01
Pristis,clavata,3.25,106.75,1010:236:2,0.01
Pristis,clavata,3.75,106.25,1010:236:3,0.01
Pristis,clavata,3.75,107.75,1010:237:4,0.01
Pristis,clavata,4.25,107.25,1010:247:1,0.01
Pristis,clavata,4.25,107.75,1010:247:2,0.01
Pristis,clavata,4.75,107.75,1010:247:4,0.01
Pristis,clavata,4.25,108.25,1010:248:1,0.01
Pristis,clavata,4.25,108.75,1010:248:2,0.01
Pristis,clavata,4.75,108.25,1010:248:3,0.01
Pristis,clavata,8.25,106.75,1010:486:2,0.03
Pristis,clavata,8.25,107.75,1010:487:2,0.01
Pristis,clavata,9.25,108.75,1010:498:2,0.01
Pristis,clavata,0.25,117.75,1011:207:2,0.04
Pristis,clavata,0.25,119.75,1011:209:2,0.03
Pristis,clavata,0.75,119.75,1011:209:4,0.03
Pristis,clavata,1.25,119.25,1011:219:1,0.02
Pristis,clavata,1.75,119.25,1011:219:3,0.04
Pristis,clavata,2.25,118.75,1011:228:2,0.04
Pristis,clavata,4.25,119.25,1011:249:1,0.02
Pristis,clavata,4.75,119.75,1011:249:4,0.01
Pristis,clavata,9.25,117.75,1011:497:2,0.04
