Mapping parameters for Pseudobatos horkelii (Brazilian guitarfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 41,
Bounding Box (NSWE): ,-24,-41,-63,-55

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,17,73,150
Temperature (°C),1,12,14.64,17.1,20.12
Salinity (psu),1,7.06,22.06,33.1,34.1
Primary Production (mgC·m-3·day-1) ,1,6.62,11.39,33.13,52.77
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,252.08,263.13,274.77,284.73
Distance to Land (km),0,14,19,144,184.5
 

Map data (HSPEC) for predicted occurrences (n = 54): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pseudobatos,horkelii,-35.25,-56.75,5305:456:2,0.19
Pseudobatos,horkelii,-35.25,-57.25,5305:457:1,0.01
Pseudobatos,horkelii,-37.75,-55.25,5305:475:3,0.19
Pseudobatos,horkelii,-38.25,-55.25,5305:485:1,0.05
Pseudobatos,horkelii,-38.25,-55.75,5305:485:2,0.07
Pseudobatos,horkelii,-38.75,-55.75,5305:485:4,0.01
Pseudobatos,horkelii,-38.75,-56.25,5305:486:3,0.04
Pseudobatos,horkelii,-38.75,-56.75,5305:486:4,0.11
Pseudobatos,horkelii,-39.25,-57.25,5305:497:1,0.01
Pseudobatos,horkelii,-39.25,-57.75,5305:497:2,0.02
Pseudobatos,horkelii,-34.75,-56.25,5305:246:3,0.39
Pseudobatos,horkelii,-36.75,-55.25,5305:465:3,0.38
Pseudobatos,horkelii,-38.25,-56.25,5305:486:1,0.31
Pseudobatos,horkelii,-38.75,-57.25,5305:487:3,0.30
Pseudobatos,horkelii,-38.75,-58.25,5305:488:3,0.22
Pseudobatos,horkelii,-35.75,-56.75,5305:456:4,0.53
Pseudobatos,horkelii,-35.75,-57.25,5305:457:3,0.40
Pseudobatos,horkelii,-37.25,-55.25,5305:475:1,0.40
Pseudobatos,horkelii,-37.25,-55.75,5305:475:2,0.53
Pseudobatos,horkelii,-38.75,-57.75,5305:487:4,0.42
Pseudobatos,horkelii,-35.25,-56.25,5305:456:1,0.65
Pseudobatos,horkelii,-36.25,-55.25,5305:465:1,0.62
Pseudobatos,horkelii,-36.25,-56.75,5305:466:2,0.61
Pseudobatos,horkelii,-36.25,-57.25,5305:467:1,0.68
Pseudobatos,horkelii,-37.75,-55.75,5305:475:4,0.65
Pseudobatos,horkelii,-38.75,-61.75,5306:381:4,0.72
Pseudobatos,horkelii,-38.75,-62.25,5306:382:3,0.69
Pseudobatos,horkelii,-34.75,-55.25,5305:245:3,0.99
Pseudobatos,horkelii,-34.75,-55.75,5305:245:4,0.87
Pseudobatos,horkelii,-35.25,-55.25,5305:455:1,1.00
Pseudobatos,horkelii,-35.25,-55.75,5305:455:2,1.00
Pseudobatos,horkelii,-35.75,-55.25,5305:455:3,0.91
Pseudobatos,horkelii,-35.75,-55.75,5305:455:4,1.00
Pseudobatos,horkelii,-35.75,-56.25,5305:456:3,1.00
Pseudobatos,horkelii,-36.25,-55.75,5305:465:2,1.00
Pseudobatos,horkelii,-36.75,-55.75,5305:465:4,0.89
Pseudobatos,horkelii,-36.25,-56.25,5305:466:1,0.96
Pseudobatos,horkelii,-36.75,-56.25,5305:466:3,1.00
Pseudobatos,horkelii,-36.75,-56.75,5305:466:4,1.00
Pseudobatos,horkelii,-37.25,-56.25,5305:476:1,1.00
Pseudobatos,horkelii,-37.25,-56.75,5305:476:2,1.00
Pseudobatos,horkelii,-37.75,-56.25,5305:476:3,0.94
Pseudobatos,horkelii,-37.75,-56.75,5305:476:4,1.00
Pseudobatos,horkelii,-37.25,-57.25,5305:477:1,1.00
