Mapping parameters for Pseudochromis flavivertex (Sunrise dottyback)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 51,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,2,30,30
Temperature (°C),1,22.11,25.05,29.99,34.19
Salinity (psu),1,33.62,36.48,38.86,39.36
Primary Production (mgC·m-3·day-1) ,1,1.58,2.58,17.49,20.87
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,48.12,209.03,209.53
Distance to Land (km),0,4,6,77,88
 

Map data (HSPEC) for predicted occurrences (n = 771): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pseudochromis,flavivertex,5.75,48.75,1004:458:4,0.08
Pseudochromis,flavivertex,8.25,49.75,1004:489:2,0.04
Pseudochromis,flavivertex,7.25,72.75,1007:372:2,0.17
Pseudochromis,flavivertex,7.25,73.25,1007:373:1,0.15
Pseudochromis,flavivertex,8.25,73.25,1007:383:1,0.12
Pseudochromis,flavivertex,9.75,75.75,1007:495:4,0.08
Pseudochromis,flavivertex,12.25,52.75,1105:122:2,0.10
Pseudochromis,flavivertex,12.25,53.25,1105:123:1,0.01
Pseudochromis,flavivertex,12.75,53.25,1105:123:3,0.02
Pseudochromis,flavivertex,10.25,72.25,1107:102:1,0.16
Pseudochromis,flavivertex,10.75,72.25,1107:102:3,0.17
Pseudochromis,flavivertex,10.75,72.75,1107:102:4,0.17
Pseudochromis,flavivertex,11.25,72.25,1107:112:1,0.19
Pseudochromis,flavivertex,11.25,72.75,1107:112:2,0.19
Pseudochromis,flavivertex,13.75,74.75,1107:134:4,0.18
Pseudochromis,flavivertex,11.75,75.25,1107:215:3,0.18
Pseudochromis,flavivertex,11.75,75.75,1107:215:4,0.19
Pseudochromis,flavivertex,15.75,73.75,1107:353:4,0.19
Pseudochromis,flavivertex,29.75,49.25,1204:499:3,0.01
Pseudochromis,flavivertex,23.25,68.25,1206:238:1,0.15
Pseudochromis,flavivertex,23.25,68.75,1206:238:2,0.05
Pseudochromis,flavivertex,-3.75,39.75,3003:239:4,0.01
Pseudochromis,flavivertex,-4.25,39.25,3003:249:1,0.15
Pseudochromis,flavivertex,-6.75,39.25,3003:469:3,0.11
Pseudochromis,flavivertex,-7.75,39.75,3003:479:4,0.13
Pseudochromis,flavivertex,-8.25,39.25,3003:489:1,0.09
Pseudochromis,flavivertex,-8.75,39.25,3003:489:3,0.05
Pseudochromis,flavivertex,-9.25,39.75,3003:499:2,0.19
Pseudochromis,flavivertex,-2.25,40.75,3004:120:2,0.15
Pseudochromis,flavivertex,-0.75,73.25,3007:103:3,0.19
Pseudochromis,flavivertex,-10.25,39.75,3103:209:2,0.01
Pseudochromis,flavivertex,-17.25,38.25,3103:478:1,0.10
Pseudochromis,flavivertex,-19.25,36.75,3103:496:2,0.03
Pseudochromis,flavivertex,-13.25,48.75,3104:238:2,0.19
Pseudochromis,flavivertex,-17.25,44.25,3104:374:1,0.11
Pseudochromis,flavivertex,-17.75,44.25,3104:374:3,0.14
Pseudochromis,flavivertex,-18.25,44.25,3104:384:1,0.06
Pseudochromis,flavivertex,-19.25,48.75,3104:498:2,0.15
Pseudochromis,flavivertex,-15.75,50.75,3105:350:4,0.11
Pseudochromis,flavivertex,-16.25,59.75,3105:469:2,0.18
Pseudochromis,flavivertex,-16.75,59.75,3105:469:4,0.11
Pseudochromis,flavivertex,-14.25,60.75,3106:140:2,0.19
Pseudochromis,flavivertex,-14.75,60.75,3106:140:4,0.16
Pseudochromis,flavivertex,-15.25,60.75,3106:350:2,0.11
Pseudochromis,flavivertex,-15.75,60.25,3106:350:3,0.14
Pseudochromis,flavivertex,-21.25,35.75,3203:215:2,0.07
Pseudochromis,flavivertex,-21.75,35.75,3203:215:4,0.16
Pseudochromis,flavivertex,-25.75,32.75,3203:352:4,0.09
Pseudochromis,flavivertex,-20.75,43.75,3204:103:4,0.19
