Mapping parameters for Pseudorhombus arsius (Largetooth flounder)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 47 |  51 |  57 |  61 |  71,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,15.11,23.36,28.98,33.18
Salinity (psu),1,17.92,30.78,35.57,40.11
Primary Production (mgC·m-3·day-1) ,1,0.87,2.81,26.15,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,15.35,136.34,214.12,269.39
Distance to Land (km),0,0,9,165,496
 

Map data (HSPEC) for predicted occurrences (n = 6484): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pseudorhombus,arsius,-30.75,-178.75,5317:208:4,0.16
Pseudorhombus,arsius,-30.75,-178.25,5317:208:3,0.12
Pseudorhombus,arsius,-30.25,-178.25,5317:208:1,0.07
Pseudorhombus,arsius,-36.25,-125.25,5312:465:1,0.13
Pseudorhombus,arsius,-37.25,-12.75,5301:372:2,0.08
Pseudorhombus,arsius,-37.25,-12.25,5301:372:1,0.07
Pseudorhombus,arsius,-29.75,-178.25,5217:498:3,0.03
Pseudorhombus,arsius,-29.25,-177.75,5217:497:2,0.04
Pseudorhombus,arsius,-21.25,-178.75,5217:218:2,0.04
Pseudorhombus,arsius,-20.75,-178.75,5217:208:4,0.06
Pseudorhombus,arsius,-19.75,-178.25,5117:498:3,0.09
Pseudorhombus,arsius,-19.25,-178.75,5117:498:2,0.19
Pseudorhombus,arsius,-19.25,-178.25,5117:498:1,0.12
