Mapping parameters for Pterois miles (Devil firefish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 ,
Bounding Box (NSWE): ,30,-36,19,112

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,8,43,85
Temperature (°C),1,17.92,23.45,28.97,33.17
Salinity (psu),1,25.97,33.23,38.53,39.93
Primary Production (mgC·m-3·day-1) ,1,0.43,2.43,28.27,59.94
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,4.81,53.06,209.16,301.2
Distance to Land (km),0,0,9,86,1046
 

Map data (HSPEC) for predicted occurrences (n = 1579): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pterois,miles,-35.75,53.25,3305:353:3,0.01
Pterois,miles,-35.25,22.75,3302:352:2,0.13
Pterois,miles,-35.75,21.75,3302:351:4,0.01
Pterois,miles,-35.75,21.25,3302:351:3,0.17
Pterois,miles,-35.25,21.75,3302:351:2,0.17
Pterois,miles,-35.25,21.25,3302:351:1,0.08
Pterois,miles,-35.75,20.75,3302:350:4,0.02
Pterois,miles,-35.25,20.75,3302:350:2,0.06
Pterois,miles,-35.25,20.25,3302:350:1,0.06
Pterois,miles,-33.75,26.25,3302:236:3,0.19
Pterois,miles,-33.75,25.75,3302:235:4,0.07
Pterois,miles,-33.75,25.25,3302:235:3,0.09
Pterois,miles,-34.25,24.75,3302:144:2,0.15
Pterois,miles,-34.25,24.25,3302:144:1,0.11
Pterois,miles,-34.75,23.75,3302:143:4,0.14
Pterois,miles,-34.75,23.25,3302:143:3,0.15
Pterois,miles,-34.25,23.75,3302:143:2,0.10
Pterois,miles,-34.25,23.25,3302:143:1,0.08
Pterois,miles,-34.75,22.25,3302:142:3,0.13
Pterois,miles,-34.25,22.75,3302:142:2,0.06
Pterois,miles,-34.25,22.25,3302:142:1,0.05
Pterois,miles,-34.75,21.75,3302:141:4,0.05
Pterois,miles,-34.75,21.25,3302:141:3,0.03
Pterois,miles,-34.25,21.75,3302:141:2,0.01
Pterois,miles,-34.75,20.75,3302:140:4,0.02
Pterois,miles,-33.75,24.75,3302:134:4,0.08
Pterois,miles,-33.75,23.75,3302:133:4,0.06
Pterois,miles,-33.75,23.25,3302:133:3,0.01
Pterois,miles,-35.25,19.75,3301:459:2,0.08
Pterois,miles,-21.25,55.75,3205:215:2,0.19
Pterois,miles,-20.75,55.75,3205:205:4,0.18
Pterois,miles,-20.75,55.25,3205:205:3,0.18
Pterois,miles,-20.25,35.25,3203:205:1,0.10
Pterois,miles,-15.75,61.25,3106:351:3,0.17
Pterois,miles,-12.25,61.25,3106:121:1,0.08
Pterois,miles,-19.75,57.75,3105:497:4,0.16
Pterois,miles,-18.75,58.75,3105:488:4,0.15
Pterois,miles,-18.25,58.75,3105:488:2,0.18
Pterois,miles,-16.25,45.75,3104:465:2,0.10
Pterois,miles,-15.75,47.25,3104:457:3,0.11
Pterois,miles,-15.75,46.75,3104:456:4,0.09
Pterois,miles,-19.75,44.75,3104:394:4,0.12
Pterois,miles,-19.25,44.75,3104:394:2,0.12
Pterois,miles,-18.75,35.75,3103:485:4,0.13
Pterois,miles,-17.75,36.75,3103:476:4,0.09
Pterois,miles,-7.25,105.25,3010:475:1,0.19
Pterois,miles,-5.75,102.75,3010:352:4,0.10
Pterois,miles,-4.25,103.25,3010:143:1,0.12
Pterois,miles,-3.25,102.25,3010:132:1,0.12
Pterois,miles,-1.75,100.25,3010:110:3,0.04
Pterois,miles,-9.75,40.25,3004:390:3,0.10
Pterois,miles,-6.75,40.25,3004:360:3,0.19
Pterois,miles,-3.75,40.25,3004:130:3,0.14
Pterois,miles,20.25,93.25,1209:103:1,0.09
Pterois,miles,20.75,91.25,1209:101:3,0.04
Pterois,miles,20.75,90.75,1209:100:4,0.17
Pterois,miles,21.25,87.75,1208:217:2,0.05
Pterois,miles,21.25,87.25,1208:217:1,0.08
Pterois,miles,20.75,89.25,1208:209:3,0.08
Pterois,miles,20.25,87.75,1208:207:2,0.15
Pterois,miles,23.25,70.25,1207:130:1,0.12
Pterois,miles,25.75,66.75,1206:456:4,0.12
Pterois,miles,25.75,64.25,1206:354:3,0.12
Pterois,miles,24.25,67.75,1206:247:2,0.12
Pterois,miles,23.75,68.75,1206:238:4,0.12
Pterois,miles,23.25,66.75,1206:236:2,0.05
Pterois,miles,24.75,64.75,1206:144:4,0.02
Pterois,miles,25.75,59.25,1205:459:3,0.12
Pterois,miles,20.75,58.75,1205:208:4,0.10
Pterois,miles,20.25,57.75,1205:207:2,0.19
Pterois,miles,24.25,54.75,1205:144:2,0.12
Pterois,miles,23.75,52.25,1205:132:3,0.12
Pterois,miles,29.25,35.25,1203:495:1,0.11
Pterois,miles,25.75,37.25,1203:457:3,0.12
Pterois,miles,29.75,32.25,1203:392:3,0.03
Pterois,miles,28.25,33.25,1203:383:1,0.10
Pterois,miles,16.25,95.25,1109:465:1,0.02
Pterois,miles,15.75,97.25,1109:457:3,0.10
Pterois,miles,15.25,97.75,1109:457:2,0.10
Pterois,miles,15.25,97.25,1109:457:1,0.12
Pterois,miles,15.25,96.75,1109:456:2,0.17
Pterois,miles,15.75,95.25,1109:455:3,0.07
Pterois,miles,16.75,94.75,1109:364:4,0.05
Pterois,miles,16.25,94.75,1109:364:2,0.07
Pterois,miles,15.75,94.75,1109:354:4,0.06
Pterois,miles,14.75,97.25,1109:247:3,0.04
Pterois,miles,14.25,97.25,1109:247:1,0.05
Pterois,miles,14.75,96.75,1109:246:4,0.07
Pterois,miles,14.25,96.75,1109:246:2,0.06
Pterois,miles,14.25,96.25,1109:246:1,0.14
Pterois,miles,14.25,95.75,1109:245:2,0.12
Pterois,miles,14.25,95.25,1109:245:1,0.19
Pterois,miles,13.75,97.25,1109:237:3,0.05
Pterois,miles,13.25,97.75,1109:237:2,0.14
Pterois,miles,13.25,97.25,1109:237:1,0.04
Pterois,miles,13.75,96.75,1109:236:4,0.03
Pterois,miles,13.75,96.25,1109:236:3,0.10
Pterois,miles,13.25,96.75,1109:236:2,0.03
Pterois,miles,12.75,97.25,1109:227:3,0.11
Pterois,miles,12.25,97.25,1109:227:1,0.19
Pterois,miles,12.75,96.75,1109:226:4,0.05
Pterois,miles,19.25,73.25,1107:393:1,0.12
Pterois,miles,18.75,73.25,1107:383:3,0.12
Pterois,miles,19.75,57.75,1105:497:4,0.12
Pterois,miles,18.75,57.25,1105:487:3,0.02
Pterois,miles,8.25,99.25,1009:489:1,0.08
Pterois,miles,7.75,97.75,1009:477:4,0.13
Pterois,miles,5.75,97.75,1009:457:4,0.19
Pterois,miles,2.75,99.75,1009:229:4,0.15
Pterois,miles,6.75,49.75,1004:469:4,0.10
Pterois,miles,-30.25,31.25,3303:101:1,0.31
Pterois,miles,-35.75,22.25,3302:352:3,0.32
Pterois,miles,-35.25,22.25,3302:352:1,0.30
Pterois,miles,-34.25,25.75,3302:245:2,0.36
Pterois,miles,-34.25,25.25,3302:245:1,0.23
Pterois,miles,-33.75,27.75,3302:237:4,0.28
Pterois,miles,-32.75,27.75,3302:227:4,0.32
Pterois,miles,-34.75,24.75,3302:144:4,0.24
Pterois,miles,-21.25,55.25,3205:215:1,0.22
Pterois,miles,-20.25,57.75,3205:207:2,0.23
Pterois,miles,-20.25,57.25,3205:207:1,0.26
Pterois,miles,-22.75,43.75,3204:123:4,0.25
Pterois,miles,-21.75,43.75,3204:113:4,0.25
Pterois,miles,-29.75,31.75,3203:391:4,0.36
