Mapping parameters for Pusa hispida (ringed seal)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  21 |  27 |  34 |  41 |  61 |  67,
Bounding Box (NSWE): ,90,0,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,200,6000
Temperature (°C),1,-1.76,-0.99,7.99,27.21
Salinity (psu),1,3.58,20.48,33.1,35.89
Primary Production (mgC·m-3·day-1) ,1,0.09,1.09,11.88,46.49
Sea Ice Concentration (0-1 fraction),1,-0.57,0,0.7,0.97
Dissolved Bottom Oxygen (mmol·m-3),0,39.92,271.14,369.99,413.49
Distance to Land (km),0,0,2,203,1015
 

Map data (HSPEC) for predicted occurrences (n = 35783): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pusa,hispida,15.25,108.75,1110:458:2,0.01
Pusa,hispida,15.75,108.25,1110:458:3,0.02
Pusa,hispida,15.75,108.75,1110:458:4,0.01
Pusa,hispida,16.25,107.75,1110:467:2,0.02
Pusa,hispida,16.75,107.25,1110:467:3,0.03
Pusa,hispida,16.75,107.75,1110:467:4,0.03
Pusa,hispida,16.25,108.25,1110:468:1,0.02
Pusa,hispida,16.75,108.25,1110:468:3,0.01
Pusa,hispida,17.25,106.75,1110:476:2,0.03
Pusa,hispida,17.75,106.25,1110:476:3,0.04
Pusa,hispida,17.75,106.75,1110:476:4,0.04
Pusa,hispida,17.25,107.25,1110:477:1,0.04
Pusa,hispida,17.25,107.75,1110:477:2,0.02
Pusa,hispida,17.75,107.25,1110:477:3,0.02
Pusa,hispida,17.75,107.75,1110:477:4,0.01
