Mapping parameters for Pycnogonum litorale (anemone sea spider)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  21 |  27 |  37 ,
Bounding Box (NSWE): ,78,30,-72,37

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,163,540,1262
Temperature (°C),1,1.39,8.54,13.18,19.94
Salinity (psu),1,9.93,31.21,35.33,37.83
Primary Production (mgC·m-3·day-1) ,1,0.69,3.84,19.12,41.7
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,148.87,214.42,295.65,344.3
Distance to Land (km),0,0,5,225,360
 

Map data (HSPEC) for predicted occurrences (n = 3818): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Pycnogonum,litorale,36.25,0.25,1300:360:1,0.04,1,0.06574165750537,0.59714434814452,0.95714286958414,1,1,1
Pycnogonum,litorale,36.25,0.75,1300:360:2,0.02,1,0.05614650884324,0.58309100341796,0.53150583515091,1,1,1
Pycnogonum,litorale,36.75,0.75,1300:360:4,0.01,1,0.047716084316642,0.5696007080078,0.25079364354412,1,1,1
Pycnogonum,litorale,36.75,1.25,1300:361:3,0.01,1,0.046783571412574,0.5633766479492,0.19746031063417,1,1,1
Pycnogonum,litorale,36.75,2.75,1300:362:4,0.01,1,0.047531838953136,0.53127673339844,0.34158728349777,1,1,1
Pycnogonum,litorale,36.75,3.25,1300:363:3,0.01,1,0.03423767541287,0.50923083496092,0.38447073363359,1,1,1
Pycnogonum,litorale,39.75,0.25,1300:390:3,0.01,1,0.068725980950533,0.24008868408204,0.35714284662926,1,1,1
Pycnogonum,litorale,38.25,22.25,1302:382:1,0.01,1,0.048923131276864,0.13615802001952,1,1,1,1
Pycnogonum,litorale,38.25,22.75,1302:382:2,0.01,1,0.010911309507471,0.86382678222656,1,1,1,1
Pycnogonum,litorale,38.75,22.75,1302:382:4,0.03,1,0.032737754505769,1,1,1,1,1
Pycnogonum,litorale,38.75,23.25,1302:383:3,0.02,0.87116564417178,0.032065385897485,1,0.6263492130571,1,1,1
Pycnogonum,litorale,38.75,23.75,1302:383:4,0.01,1,0.040130423370903,1,0.22285714462872,1,1,1
Pycnogonum,litorale,39.25,22.75,1302:392:2,0.01,0.41104294478528,0.039615777822648,1,0.57523808233322,1,1,1
Pycnogonum,litorale,39.75,22.75,1302:392:4,0.04,0.77914110429448,0.057476574147249,1,1,1,1,1
Pycnogonum,litorale,39.25,23.25,1302:393:1,0.01,1,0.038212070803669,1,0.21206348556138,1,1,1
Pycnogonum,litorale,39.75,23.25,1302:393:3,0.01,1,0.050443931444157,1,0.26380954175478,1,1,1
Pycnogonum,litorale,38.75,27.25,1302:487:3,0.02,0.2638036809816,0.084224599352959,0.74705126953124,1,1,1,1
Pycnogonum,litorale,39.25,25.25,1302:495:1,0.02,1,0.12178300259382,1,0.12539682420237,1,1,1
Pycnogonum,litorale,39.25,25.75,1302:495:2,0.04,1,0.1171404708772,1,0.36476191530625,1,1,1
Pycnogonum,litorale,39.75,25.25,1302:495:3,0.02,1,0.16157040793515,1,0.1434920522547,1,1,1
Pycnogonum,litorale,39.75,25.75,1302:495:4,0.13,1,0.18439369653104,1,0.72952378879464,1,1,1
Pycnogonum,litorale,39.25,26.25,1302:496:1,0.12,1,0.12225814683902,1,1,1,1,1
Pycnogonum,litorale,39.25,26.75,1302:496:2,0.14,1,0.14062004540799,1,1,1,1,1
Pycnogonum,litorale,39.75,26.25,1302:496:3,0.19,1,0.18754561836198,1,1,1,1,1
Pycnogonum,litorale,40.25,0.25,1400:100:1,0.01,0.83435582822086,0.082879579984231,0.36389697265624,0.58476189046152,1,1,1
Pycnogonum,litorale,40.25,0.75,1400:100:2,0.01,0.57668711656442,0.096341059758107,0.299626953125,0.62793652673089,1,1,1
Pycnogonum,litorale,40.75,0.75,1400:100:4,0.03,0.75460122699387,0.1303753824629,0.30341418457032,1,1,1,1
Pycnogonum,litorale,40.25,1.25,1400:101:1,0.01,1,0.10319002140203,0.1777229614258,0.27396823839536,1,1,1
Pycnogonum,litorale,40.75,1.25,1400:101:3,0.02,1,0.13399624119144,0.16651995849608,1,1,1,1
Pycnogonum,litorale,40.75,1.75,1400:101:4,0.01,1,0.1215335800803,0.12088244628908,0.52412695160934,1,1,1
Pycnogonum,litorale,41.25,0.75,1400:110:2,0.01,0.11656441717791,0.1837983554637,0.37090838623048,1,1,1,1
Pycnogonum,litorale,41.25,1.25,1400:111:1,0.04,1,0.17711304207525,0.23061907958984,1,1,1,1
Pycnogonum,litorale,41.25,1.75,1400:111:2,0.01,1,0.16597057094235,0.061595947265639,1,1,1,1
Pycnogonum,litorale,41.25,2.25,1400:112:1,0.01,1,0.18219883484249,0.040818054199198,0.89746031893624,1,1,1
Pycnogonum,litorale,42.25,3.25,1400:123:1,0.01,1,0.41116446997287,0.035849792480479,0.57841270968082,1,1,1
Pycnogonum,litorale,42.75,3.25,1400:123:3,0.05,1,0.46366480539537,0.1109260864258,0.97873018771883,1,1,1
Pycnogonum,litorale,42.75,3.75,1400:123:4,0.03,1,0.42655925637871,0.0927452392578,0.85968254915779,1,1,1
Pycnogonum,litorale,42.75,4.25,1400:124:3,0.05,1,0.40070001049155,0.11684649658204,1,1,1,1
Pycnogonum,litorale,42.75,4.75,1400:124:4,0.01,1,0.38495196957561,0.031574279785158,1,1,1,1
Pycnogonum,litorale,43.25,3.25,1400:133:1,0.04,0.48466257668712,0.48815645974064,0.1668831176758,1,1,1,1
Pycnogonum,litorale,43.25,3.75,1400:133:2,0.07,0.60736196319018,0.45977900578426,0.24685748291016,1,1,1,1
Pycnogonum,litorale,43.75,3.75,1400:133:4,0.09,0.42331288343558,0.49043512062209,0.42729571533204,1,1,1,1
Pycnogonum,litorale,43.25,4.25,1400:134:1,0.19,1,0.43674466736923,0.54494097900392,0.80168288719137,1,1,1
Pycnogonum,litorale,43.75,4.25,1400:134:3,0.09,0.44171779141104,0.46082099372818,0.43300402832032,1,1,1,1
Pycnogonum,litorale,43.25,5.25,1400:235:1,0.02,1,0.3571560312305,0.062889892578119,1,1,1,1
Pycnogonum,litorale,44.25,9.75,1400:249:2,0.04,1,0.1852799364801,0.21197589111328,1,1,1,1
Pycnogonum,litorale,42.25,11.75,1401:121:2,0.01,1,0.11618905377811,0.15504229736328,0.44509447444053,1,1,1
Pycnogonum,litorale,42.75,11.25,1401:121:3,0.02,0.60122699386503,0.14133812266694,0.22251361083984,1,1,1,1
Pycnogonum,litorale,42.75,13.75,1401:123:4,0.01,0.11656441717791,0.16567064319136,0.47576068115236,0.73952715413438,1,1,1
Pycnogonum,litorale,42.25,14.25,1401:124:1,0.01,0.30061349693252,0.13584490217401,0.21557543945312,0.70596820170444,1,1,1
Pycnogonum,litorale,42.25,14.75,1401:124:2,0.01,0.68711656441718,0.16669203402728,0.15557788085936,0.60380950671813,1,1,1
Pycnogonum,litorale,42.75,14.25,1401:124:3,0.03,0.63803680981595,0.16962190210466,0.36600268554688,0.82603172101672,1,1,1
Pycnogonum,litorale,43.25,10.75,1401:130:2,0.03,1,0.15355192556889,0.20771563720704,1,1,1,1
Pycnogonum,litorale,43.75,12.75,1401:132:4,0.01,0.049079754601227,0.25096072812052,1,1,1,1,1
Pycnogonum,litorale,43.25,13.75,1401:133:2,0.03,0.28220858895706,0.20772373041457,0.70975115966796,0.76761902130785,1,1,1
Pycnogonum,litorale,43.75,13.25,1401:133:3,0.08,0.31288343558282,0.25850039826342,1,1,1,1,1
Pycnogonum,litorale,43.75,13.75,1401:133:4,0.03,0.41104294478528,0.22056362896981,0.84352191162108,0.4304761840001,1,1,1
Pycnogonum,litorale,43.25,14.25,1401:134:1,0.01,0.56441717791411,0.17203119943833,0.3673973388672,0.17079366265781,1,1,1
Pycnogonum,litorale,44.25,10.25,1401:140:1,0.11,1,0.2024246306109,0.54196246337892,1,1,1,1
Pycnogonum,litorale,44.25,12.75,1401:142:2,0.08,0.28834355828221,0.29277850043845,1,1,1,1,1
Pycnogonum,litorale,44.25,13.25,1401:143:1,0.10,0.41104294478528,0.24757800581892,1,1,1,1,1
Pycnogonum,litorale,44.25,13.75,1401:143:2,0.02,0.40490797546012,0.22051622740615,0.60757525634764,0.3349206399823,1,1,1
Pycnogonum,litorale,44.75,13.25,1401:143:3,0.19,0.66871165644172,0.2767497181187,1,1,1,1,1
Pycnogonum,litorale,44.75,13.75,1401:143:4,0.14,0.59509202453988,0.29814926689194,0.79791949462892,1,1,1,1
Pycnogonum,litorale,44.25,14.25,1401:144:1,0.01,0.37423312883436,0.21405042840179,0.4065864868164,0.32952381044863,1,1,1
Pycnogonum,litorale,44.25,14.75,1401:144:2,0.04,0.56441717791411,0.24711273689947,0.30969927978516,1,1,1,1
Pycnogonum,litorale,44.75,14.25,1401:144:3,0.08,0.49079754601227,0.3391572624974,0.5070228881836,1,1,1,1
Pycnogonum,litorale,44.75,14.75,1401:144:4,0.15,1,0.36899033947104,0.40302355957032,1,1,1,1
Pycnogonum,litorale,42.75,18.25,1401:228:3,0.01,1,0.11937878399911,0.07629626464844,1,1,1,1
Pycnogonum,litorale,42.25,19.25,1401:229:1,0.02,0.48466257668712,0.10822502677963,0.28694689941408,1,1,1,1
Pycnogonum,litorale,43.25,17.25,1401:237:1,0.01,1,0.17278934230466,0.051683837890639,1,1,1,1
Pycnogonum,litorale,43.25,17.75,1401:237:2,0.01,0.25153374233129,0.17645929550984,0.32580798339844,1,1,1,1
Pycnogonum,litorale,44.25,15.25,1401:245:1,0.05,1,0.2886808045517,0.16626818847656,1,1,1,1
Pycnogonum,litorale,45.75,13.25,1401:353:3,0.16,0.48466257668712,0.36299122014695,1,0.90527012733045,1,1,1
