Mapping parameters for Pyrosoma atlanticum ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 21 |  27 |  37 |  51 |  57 |  61 |  67 |  71 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,28,118,250
Temperature (°C),1,2.37,8.41,24.02,29.8
Salinity (psu),1,25.44,32.84,36.9,39.21
Primary Production (mgC·m-3·day-1) ,1,0.32,1.32,22.55,79.8
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,10.06,148.12,266.07,348.28
Distance to Land (km),0,1,19,340,862
 

Map data (HSPEC) for predicted occurrences (n = 9457): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pyrosoma,atlanticum,1.25,43.75,1004:113:2,0.03
Pyrosoma,atlanticum,8.25,49.75,1004:489:2,0.08
Pyrosoma,atlanticum,9.25,51.25,1005:391:1,0.13
Pyrosoma,atlanticum,0.25,73.25,1007:103:1,0.09
Pyrosoma,atlanticum,0.25,73.75,1007:103:2,0.09
Pyrosoma,atlanticum,0.75,73.25,1007:103:3,0.10
Pyrosoma,atlanticum,0.75,73.75,1007:103:4,0.10
Pyrosoma,atlanticum,1.75,73.25,1007:113:3,0.10
Pyrosoma,atlanticum,1.75,73.75,1007:113:4,0.10
Pyrosoma,atlanticum,2.25,72.75,1007:122:2,0.11
Pyrosoma,atlanticum,2.75,72.75,1007:122:4,0.12
Pyrosoma,atlanticum,2.25,73.25,1007:123:1,0.11
Pyrosoma,atlanticum,2.25,73.75,1007:123:2,0.11
Pyrosoma,atlanticum,2.75,73.25,1007:123:3,0.12
Pyrosoma,atlanticum,2.75,73.75,1007:123:4,0.12
Pyrosoma,atlanticum,3.25,72.75,1007:132:2,0.13
Pyrosoma,atlanticum,3.75,72.75,1007:132:4,0.14
Pyrosoma,atlanticum,3.25,73.25,1007:133:1,0.13
Pyrosoma,atlanticum,3.25,73.75,1007:133:2,0.13
Pyrosoma,atlanticum,3.75,73.25,1007:133:3,0.14
Pyrosoma,atlanticum,3.75,73.75,1007:133:4,0.13
Pyrosoma,atlanticum,4.25,72.75,1007:142:2,0.14
Pyrosoma,atlanticum,4.75,72.75,1007:142:4,0.14
