Mapping parameters for Raja polystigma (Speckled ray)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  37 ,
Bounding Box (NSWE): ,46,29,-6,27

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,134,240,635
Temperature (°C),1,16.99,18.14,20.31,22.2
Salinity (psu),1,32,36.23,38.37,39.33
Primary Production (mgC·m-3·day-1) ,1,-0.49,0.51,4.11,23.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,125.64,188.1,248.66,307.72
Distance to Land (km),0,1,8,114,202
 

Map data (HSPEC) for predicted occurrences (n = 626): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Raja,polystigma,38.75,2.25,1300:382:3,0.11,0.11139240506329,1,1,1,1,1,1
Raja,polystigma,39.75,8.75,1300:498:4,0.05,0.048387096774194,1,1,1,1,1,1
Raja,polystigma,32.75,12.25,1301:122:3,0.02,0.12903225806452,0.13220004934481,1,1,1,1,1
Raja,polystigma,32.75,12.75,1301:122:4,0.04,0.25,0.15891806789175,1,1,1,1,1
Raja,polystigma,32.75,13.25,1301:123:3,0.04,0.21774193548387,0.18973133551381,1,1,1,1,1
Raja,polystigma,32.25,14.75,1301:124:2,0.01,0.056451612903226,0.15083656109201,1,1,1,1,1
Raja,polystigma,32.75,14.75,1301:124:4,0.15,1,0.14598644599714,1,1,1,1,1
Raja,polystigma,33.75,10.25,1301:130:3,0.13,0.53225806451613,0.24429866245815,1,1,1,1,1
Raja,polystigma,33.75,10.75,1301:130:4,0.08,0.41935483870968,0.18890784531042,1,1,1,1,1
Raja,polystigma,33.25,11.25,1301:131:1,0.03,0.18548387096774,0.1365960338128,1,1,1,1,1
Raja,polystigma,33.25,11.75,1301:131:2,0.07,0.25,0.26441261251137,1,1,1,1,1
Raja,polystigma,33.75,11.25,1301:131:3,0.05,0.23387096774194,0.21552393676111,1,1,1,1,1
Raja,polystigma,33.75,11.75,1301:131:4,0.10,0.32258064516129,0.31222247572804,1,1,1,1,1
Raja,polystigma,33.25,12.25,1301:132:1,0.09,0.30645161290323,0.30147471755899,1,1,1,1,1
Raja,polystigma,33.75,13.75,1301:133:4,0.17,0.85569620253165,0.19909651821884,1,1,1,1,1
