Mapping parameters for Raja radula (Rough ray)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  34 |  37 ,
Bounding Box (NSWE): ,46,30,-8,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,36,141,350
Temperature (°C),1,16.44,18.48,22.59,24.45
Salinity (psu),1,35,36.24,39.14,40.31
Primary Production (mgC·m-3·day-1) ,1,-0.46,0.54,4.65,23.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,119.24,182.45,245.4,306.45
Distance to Land (km),0,3,8,137,202.5
 

Map data (HSPEC) for predicted occurrences (n = 670): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Raja,radula,36.75,0.75,1300:360:4,0.14,0.13875598086124,1,1,1,1,1,1
Raja,radula,38.25,0.75,1300:380:2,0.14,0.14354066985646,1,1,1,1,1,1
Raja,radula,38.25,1.25,1300:381:1,0.14,0.13875598086124,1,1,1,1,1,1
Raja,radula,38.75,9.75,1300:489:4,0.15,0.16267942583732,1,1,0.89600000208244,1,1,1
Raja,radula,33.75,14.25,1301:134:3,0.13,0.12918660287081,1,1,1,1,1,1
Raja,radula,34.75,14.25,1301:144:3,0.07,0.066985645933014,1,1,1,1,1,1
Raja,radula,34.75,16.25,1301:246:3,0.11,0.11004784688995,1,1,1,1,1,1
Raja,radula,38.25,10.25,1301:380:1,0.06,0.07177033492823,1,1,0.88100000428036,1,1,1
Raja,radula,38.25,10.75,1301:380:2,0.09,0.095693779904306,1,1,0.89700000969693,1,1,1
Raja,radula,38.75,22.75,1302:382:4,0.19,1,1,0.19100866010113,1,1,1,1
Raja,radula,38.25,23.75,1302:383:2,0.16,1,1,0.15794077227194,1,1,1,1
Raja,radula,38.25,24.25,1302:384:1,0.02,1,1,0.024367916968549,1,1,1,1
