Mapping parameters for Pseudobatos productus (Shovelnose guitarfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77,
Bounding Box (NSWE): ,38,18,-123,-106

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,1,13,91
Temperature (°C),1,9.16,16.03,25.25,29.45
Salinity (psu),1,31.52,33.09,35.35,36.71
Primary Production (mgC·m-3·day-1) ,1,0.5,1.56,48.81,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.1,10,226.65,264.18
Distance to Land (km),0,0,6,86,275
 

Map data (HSPEC) for predicted occurrences (n = 175): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pseudobatos,productus,37.75,-122.75,7312:372:4,0.01
Pseudobatos,productus,37.25,-122.75,7312:372:2,0.04
Pseudobatos,productus,37.25,-122.25,7312:372:1,0.07
Pseudobatos,productus,36.75,-121.75,7312:361:4,0.14
Pseudobatos,productus,32.25,-119.25,7311:229:1,0.19
Pseudobatos,productus,28.75,-115.25,7211:485:3,0.06
Pseudobatos,productus,26.25,-110.75,7211:360:2,0.02
Pseudobatos,productus,25.75,-113.25,7211:353:3,0.15
Pseudobatos,productus,23.75,-107.75,7210:237:4,0.13
Pseudobatos,productus,18.25,-114.75,7111:384:2,0.17
Pseudobatos,productus,36.75,-122.25,7312:362:3,0.24
Pseudobatos,productus,36.25,-121.75,7312:361:2,0.35
Pseudobatos,productus,36.25,-121.25,7312:361:1,0.24
Pseudobatos,productus,30.75,-113.75,7311:103:4,0.39
Pseudobatos,productus,29.25,-112.75,7211:392:2,0.23
Pseudobatos,productus,18.75,-111.25,7111:381:3,0.21
Pseudobatos,productus,35.75,-121.25,7312:351:3,0.48
Pseudobatos,productus,32.75,-119.25,7311:229:3,0.53
Pseudobatos,productus,23.75,-111.75,7211:131:4,0.47
Pseudobatos,productus,25.75,-109.75,7210:459:4,0.45
Pseudobatos,productus,24.25,-108.25,7210:248:1,0.56
Pseudobatos,productus,23.25,-106.25,7210:236:1,0.46
Pseudobatos,productus,22.75,-106.25,7210:226:3,0.52
Pseudobatos,productus,22.25,-106.25,7210:226:1,0.52
Pseudobatos,productus,21.75,-106.75,7210:216:4,0.56
Pseudobatos,productus,21.75,-106.25,7210:216:3,0.45
Pseudobatos,productus,21.25,-106.25,7210:216:1,0.48
Pseudobatos,productus,19.25,-110.75,7111:390:2,0.59
Pseudobatos,productus,18.75,-110.75,7111:380:4,0.56
Pseudobatos,productus,35.25,-120.75,7312:350:2,0.63
Pseudobatos,productus,34.75,-120.75,7312:140:4,0.60
Pseudobatos,productus,34.75,-120.25,7312:140:3,0.77
Pseudobatos,productus,34.25,-120.25,7312:140:1,0.79
Pseudobatos,productus,33.75,-119.25,7311:239:3,0.72
Pseudobatos,productus,30.25,-113.25,7311:103:1,0.71
Pseudobatos,productus,27.25,-111.75,7211:371:2,0.79
Pseudobatos,productus,26.75,-114.25,7211:364:3,0.77
