Mapping parameters for Rhinogobiops nicholsii (Blackeye goby)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 67 |  77,
Bounding Box (NSWE): ,55,27,-136,-114

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,11,52,106
Temperature (°C),1,4.91,10.45,17.53,22.9
Salinity (psu),1,24.18,25.75,33.46,35.09
Primary Production (mgC·m-3·day-1) ,1,3.04,5.78,61.61,98.11
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,17.24,289.49,377.06
Distance to Land (km),0,0,6,193,462
 

Map data (HSPEC) for predicted occurrences (n = 233): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Rhinogobiops,nicholsii,34.25,-120.75,7312:140:2,0.19
Rhinogobiops,nicholsii,35.25,-121.25,7312:351:1,0.13
Rhinogobiops,nicholsii,37.75,-122.25,7312:372:3,0.12
Rhinogobiops,nicholsii,46.25,-123.25,7412:363:1,0.08
Rhinogobiops,nicholsii,47.25,-122.75,7412:372:2,0.05
Rhinogobiops,nicholsii,47.25,-123.25,7412:373:1,0.05
Rhinogobiops,nicholsii,47.75,-123.25,7412:373:3,0.07
Rhinogobiops,nicholsii,49.75,-123.25,7412:393:3,0.09
Rhinogobiops,nicholsii,48.25,-125.25,7412:485:1,0.11
Rhinogobiops,nicholsii,49.25,-125.25,7412:495:1,0.18
Rhinogobiops,nicholsii,49.75,-126.25,7412:496:3,0.09
Rhinogobiops,nicholsii,50.25,-123.75,7512:103:2,0.09
Rhinogobiops,nicholsii,50.25,-124.25,7512:104:1,0.09
Rhinogobiops,nicholsii,50.75,-124.75,7512:104:4,0.09
Rhinogobiops,nicholsii,50.75,-125.25,7512:205:3,0.09
Rhinogobiops,nicholsii,50.75,-125.75,7512:205:4,0.08
Rhinogobiops,nicholsii,51.25,-125.75,7512:215:2,0.09
Rhinogobiops,nicholsii,51.25,-126.75,7512:216:2,0.07
Rhinogobiops,nicholsii,51.75,-127.25,7512:217:3,0.15
Rhinogobiops,nicholsii,51.75,-129.75,7512:219:4,0.11
Rhinogobiops,nicholsii,52.25,-127.25,7512:227:1,0.08
Rhinogobiops,nicholsii,52.75,-127.25,7512:227:3,0.08
Rhinogobiops,nicholsii,52.75,-127.75,7512:227:4,0.08
Rhinogobiops,nicholsii,53.25,-128.25,7512:238:1,0.07
Rhinogobiops,nicholsii,53.25,-128.75,7512:238:2,0.15
Rhinogobiops,nicholsii,53.75,-128.25,7512:238:3,0.07
Rhinogobiops,nicholsii,54.25,-128.75,7512:248:2,0.07
Rhinogobiops,nicholsii,28.75,-114.25,7211:384:3,0.39
Rhinogobiops,nicholsii,29.25,-114.75,7211:394:2,0.36
Rhinogobiops,nicholsii,28.75,-115.25,7211:485:3,0.34
Rhinogobiops,nicholsii,29.25,-115.75,7211:495:2,0.26
Rhinogobiops,nicholsii,37.75,-122.75,7312:372:4,0.23
Rhinogobiops,nicholsii,38.25,-122.25,7312:382:1,0.33
Rhinogobiops,nicholsii,44.25,-124.75,7412:144:2,0.37
Rhinogobiops,nicholsii,48.25,-122.75,7412:382:2,0.34
Rhinogobiops,nicholsii,27.25,-114.25,7211:374:1,0.59
Rhinogobiops,nicholsii,29.75,-115.25,7211:495:3,0.51
Rhinogobiops,nicholsii,30.75,-115.75,7311:205:4,0.43
Rhinogobiops,nicholsii,32.25,-119.25,7311:229:1,0.45
Rhinogobiops,nicholsii,37.25,-122.25,7312:372:1,0.45
Rhinogobiops,nicholsii,37.25,-122.75,7312:372:2,0.47
Rhinogobiops,nicholsii,38.25,-122.75,7312:382:2,0.50
Rhinogobiops,nicholsii,42.25,-124.75,7412:124:2,0.56
Rhinogobiops,nicholsii,43.25,-124.75,7412:134:2,0.46
Rhinogobiops,nicholsii,46.25,-123.75,7412:363:2,0.40
Rhinogobiops,nicholsii,46.75,-124.75,7412:364:4,0.59
Rhinogobiops,nicholsii,48.25,-122.25,7412:382:1,0.59
Rhinogobiops,nicholsii,48.25,-123.25,7412:383:1,0.49
Rhinogobiops,nicholsii,48.25,-123.75,7412:383:2,0.55
Rhinogobiops,nicholsii,27.25,-114.75,7211:374:2,0.64
Rhinogobiops,nicholsii,27.75,-114.25,7211:374:3,0.66
Rhinogobiops,nicholsii,27.75,-114.75,7211:374:4,0.71
Rhinogobiops,nicholsii,28.25,-114.25,7211:384:1,0.77
Rhinogobiops,nicholsii,28.25,-114.75,7211:384:2,0.79
Rhinogobiops,nicholsii,27.75,-115.25,7211:475:3,0.74
Rhinogobiops,nicholsii,30.25,-115.75,7311:205:2,0.64
Rhinogobiops,nicholsii,31.25,-116.25,7311:216:1,0.76
Rhinogobiops,nicholsii,33.25,-117.25,7311:237:1,0.63
Rhinogobiops,nicholsii,36.25,-121.25,7312:361:1,0.76
Rhinogobiops,nicholsii,36.75,-121.75,7312:361:4,0.62
Rhinogobiops,nicholsii,36.75,-122.25,7312:362:3,0.78
Rhinogobiops,nicholsii,46.75,-123.75,7412:363:4,0.77
Rhinogobiops,nicholsii,46.25,-124.25,7412:364:1,0.62
Rhinogobiops,nicholsii,47.25,-122.25,7412:372:1,0.79
Rhinogobiops,nicholsii,47.75,-122.25,7412:372:3,0.66
Rhinogobiops,nicholsii,48.75,-122.25,7412:382:3,0.64
Rhinogobiops,nicholsii,48.75,-126.25,7412:486:3,0.67
Rhinogobiops,nicholsii,49.75,-127.75,7412:497:4,0.78
Rhinogobiops,nicholsii,50.75,-126.25,7512:206:3,0.79
Rhinogobiops,nicholsii,50.75,-126.75,7512:206:4,0.75
Rhinogobiops,nicholsii,50.75,-127.25,7512:207:3,0.77
Rhinogobiops,nicholsii,51.25,-128.75,7512:218:2,0.78
Rhinogobiops,nicholsii,51.25,-129.25,7512:219:1,0.74
Rhinogobiops,nicholsii,53.75,-128.75,7512:238:4,0.77
Rhinogobiops,nicholsii,53.25,-129.75,7512:239:2,0.79
Rhinogobiops,nicholsii,53.75,-129.25,7512:239:3,0.78
Rhinogobiops,nicholsii,53.75,-129.75,7512:239:4,0.77
Rhinogobiops,nicholsii,54.25,-129.75,7512:249:2,0.75
Rhinogobiops,nicholsii,54.75,-129.75,7512:249:4,0.72
Rhinogobiops,nicholsii,53.75,-130.25,7513:130:3,0.76
Rhinogobiops,nicholsii,54.25,-130.25,7513:140:1,0.75
Rhinogobiops,nicholsii,54.25,-130.75,7513:140:2,0.79
Rhinogobiops,nicholsii,54.75,-130.25,7513:140:3,0.72
Rhinogobiops,nicholsii,54.75,-130.75,7513:140:4,0.77
Rhinogobiops,nicholsii,54.25,-131.25,7513:141:1,0.79
Rhinogobiops,nicholsii,54.25,-131.75,7513:141:2,0.77
Rhinogobiops,nicholsii,54.75,-131.25,7513:141:3,0.78
Rhinogobiops,nicholsii,54.75,-131.75,7513:141:4,0.77
Rhinogobiops,nicholsii,54.25,-132.25,7513:142:1,0.75
Rhinogobiops,nicholsii,54.25,-132.75,7513:142:2,0.75
Rhinogobiops,nicholsii,54.75,-132.25,7513:142:3,0.75
Rhinogobiops,nicholsii,54.75,-132.75,7513:142:4,0.72
Rhinogobiops,nicholsii,54.25,-133.25,7513:143:1,0.79
Rhinogobiops,nicholsii,54.75,-133.25,7513:143:3,0.72
Rhinogobiops,nicholsii,54.75,-133.75,7513:143:4,0.76
Rhinogobiops,nicholsii,28.75,-114.75,7211:384:4,0.89
Rhinogobiops,nicholsii,28.25,-115.25,7211:485:1,0.82
Rhinogobiops,nicholsii,28.25,-115.75,7211:485:2,0.83
Rhinogobiops,nicholsii,28.75,-118.25,7211:488:3,0.81
Rhinogobiops,nicholsii,29.25,-115.25,7211:495:1,1.00
Rhinogobiops,nicholsii,29.75,-115.75,7211:495:4,1.00
Rhinogobiops,nicholsii,29.25,-118.25,7211:498:1,0.88
Rhinogobiops,nicholsii,30.25,-116.25,7311:206:1,0.99
Rhinogobiops,nicholsii,30.75,-116.25,7311:206:3,0.99
Rhinogobiops,nicholsii,31.25,-116.75,7311:216:2,1.00
Rhinogobiops,nicholsii,31.75,-116.75,7311:216:4,1.00
Rhinogobiops,nicholsii,32.25,-116.75,7311:226:2,0.83
Rhinogobiops,nicholsii,32.25,-117.25,7311:227:1,1.00
Rhinogobiops,nicholsii,32.75,-117.25,7311:227:3,1.00
Rhinogobiops,nicholsii,32.75,-118.25,7311:228:3,1.00
Rhinogobiops,nicholsii,32.75,-118.75,7311:228:4,1.00
Rhinogobiops,nicholsii,32.75,-119.25,7311:229:3,1.00
Rhinogobiops,nicholsii,33.25,-117.75,7311:237:2,0.98
Rhinogobiops,nicholsii,33.75,-117.75,7311:237:4,0.89
Rhinogobiops,nicholsii,33.25,-118.25,7311:238:1,1.00
Rhinogobiops,nicholsii,33.25,-118.75,7311:238:2,1.00
Rhinogobiops,nicholsii,33.75,-118.25,7311:238:3,1.00
Rhinogobiops,nicholsii,33.75,-118.75,7311:238:4,1.00
Rhinogobiops,nicholsii,33.25,-119.25,7311:239:1,1.00
Rhinogobiops,nicholsii,33.25,-119.75,7311:239:2,1.00
Rhinogobiops,nicholsii,33.75,-119.25,7311:239:3,1.00
Rhinogobiops,nicholsii,33.75,-119.75,7311:239:4,1.00
Rhinogobiops,nicholsii,34.25,-118.25,7311:248:1,1.00
Rhinogobiops,nicholsii,34.25,-118.75,7311:248:2,1.00
Rhinogobiops,nicholsii,34.25,-119.25,7311:249:1,1.00
Rhinogobiops,nicholsii,34.25,-119.75,7311:249:2,1.00
Rhinogobiops,nicholsii,33.75,-120.25,7312:130:3,1.00
