Mapping parameters for Rossia macrosoma (stout bobtail)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37,
Bounding Box (NSWE): ,70,13,-33,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,32,200,400,899
Temperature (°C),1,7.71,9.81,20.9,25.52
Salinity (psu),1,21.29,33.42,37.84,39.25
Primary Production (mgC·m-3·day-1) ,1,-0.35,0.65,16.15,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,122.9,193.67,280.52,333.16
Distance to Land (km),0,1,8,170,290.5
 

Map data (HSPEC) for predicted occurrences (n = 2505): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Rossia,macrosoma,64.75,-26.75,7602:246:4,0.16
Rossia,macrosoma,64.75,-26.25,7602:246:3,0.13
Rossia,macrosoma,64.25,-27.75,7602:247:2,0.07
Rossia,macrosoma,64.75,-25.75,7602:245:4,0.11
Rossia,macrosoma,64.75,-25.25,7602:245:3,0.10
Rossia,macrosoma,62.75,-26.25,7602:226:3,0.02
Rossia,macrosoma,62.25,-26.75,7602:226:2,0.17
Rossia,macrosoma,61.25,-28.25,7602:218:1,0.06
Rossia,macrosoma,61.25,-26.75,7602:216:2,0.05
Rossia,macrosoma,61.75,-25.75,7602:215:4,0.18
Rossia,macrosoma,60.25,-28.75,7602:208:2,0.07
Rossia,macrosoma,60.75,-27.75,7602:207:4,0.06
Rossia,macrosoma,64.75,-24.75,7602:144:4,0.11
Rossia,macrosoma,64.75,-24.25,7602:144:3,0.10
Rossia,macrosoma,64.25,-23.25,7602:143:1,0.17
Rossia,macrosoma,64.25,-22.75,7602:142:2,0.02
Rossia,macrosoma,63.75,-21.25,7602:131:3,0.17
Rossia,macrosoma,63.75,-20.75,7602:130:4,0.18
Rossia,macrosoma,63.75,-20.25,7602:130:3,0.10
Rossia,macrosoma,62.75,-22.75,7602:122:4,0.03
Rossia,macrosoma,62.75,-22.25,7602:122:3,0.07
Rossia,macrosoma,62.75,-21.75,7602:121:4,0.04
Rossia,macrosoma,62.75,-21.25,7602:121:3,0.01
Rossia,macrosoma,62.75,-20.75,7602:120:4,0.14
Rossia,macrosoma,63.75,-18.25,7601:238:3,0.14
Rossia,macrosoma,64.25,-12.25,7601:142:1,0.15
Rossia,macrosoma,64.25,-11.75,7601:141:2,0.19
Rossia,macrosoma,64.25,-11.25,7601:141:1,0.13
Rossia,macrosoma,64.25,-10.75,7601:140:2,0.04
Rossia,macrosoma,62.25,-12.25,7601:122:1,0.02
Rossia,macrosoma,62.25,-11.75,7601:121:2,0.18
Rossia,macrosoma,60.25,-11.25,7601:101:1,0.16
Rossia,macrosoma,63.75,-9.25,7600:239:3,0.15
Rossia,macrosoma,63.75,-8.75,7600:238:4,0.12
Rossia,macrosoma,63.75,-8.25,7600:238:3,0.04
Rossia,macrosoma,63.25,-7.25,7600:237:1,0.10
Rossia,macrosoma,63.25,-6.75,7600:236:2,0.01
Rossia,macrosoma,62.25,-7.25,7600:227:1,0.18
Rossia,macrosoma,61.75,-6.75,7600:216:4,0.14
Rossia,macrosoma,62.75,-2.25,7600:122:3,0.14
Rossia,macrosoma,62.25,-1.25,7600:121:1,0.13
Rossia,macrosoma,60.75,-4.75,7600:104:4,0.16
Rossia,macrosoma,59.75,-29.75,7502:499:4,0.07
Rossia,macrosoma,57.75,-19.75,7501:479:4,0.02
Rossia,macrosoma,57.25,-19.25,7501:479:1,0.06
Rossia,macrosoma,57.25,-15.75,7501:475:2,0.07
Rossia,macrosoma,55.75,-17.75,7501:457:4,0.01
Rossia,macrosoma,59.25,-13.25,7501:393:1,0.17
Rossia,macrosoma,59.75,-12.75,7501:392:4,0.08
Rossia,macrosoma,59.75,-12.25,7501:392:3,0.03
Rossia,macrosoma,59.75,-11.25,7501:391:3,0.11
Rossia,macrosoma,59.25,-10.75,7501:390:2,0.12
Rossia,macrosoma,54.75,-17.75,7501:247:4,0.06
Rossia,macrosoma,51.25,-13.25,7501:113:1,0.11
Rossia,macrosoma,51.75,-12.75,7501:112:4,0.11
Rossia,macrosoma,51.75,-12.25,7501:112:3,0.19
Rossia,macrosoma,53.75,-9.75,7500:239:4,0.19
Rossia,macrosoma,53.25,-9.25,7500:239:1,0.14
Rossia,macrosoma,53.25,-6.25,7500:236:1,0.08
Rossia,macrosoma,52.75,-9.25,7500:229:3,0.02
Rossia,macrosoma,52.25,-9.75,7500:229:2,0.16
Rossia,macrosoma,53.75,-2.75,7500:132:4,0.14
Rossia,macrosoma,51.25,-4.25,7500:114:1,0.19
Rossia,macrosoma,51.75,-3.25,7500:113:3,0.07
Rossia,macrosoma,51.25,-3.75,7500:113:2,0.19
Rossia,macrosoma,50.75,-1.75,7500:101:4,0.15
Rossia,macrosoma,50.75,-0.75,7500:100:4,0.07
Rossia,macrosoma,50.75,-0.25,7500:100:3,0.14
Rossia,macrosoma,50.25,-0.75,7500:100:2,0.19
Rossia,macrosoma,50.25,-0.25,7500:100:1,0.14
Rossia,macrosoma,48.75,-28.25,7402:488:3,0.11
Rossia,macrosoma,40.75,-28.75,7402:208:4,0.18
Rossia,macrosoma,48.25,-11.75,7401:381:2,0.05
Rossia,macrosoma,46.75,-5.75,7400:465:4,0.16
Rossia,macrosoma,49.75,-0.75,7400:390:4,0.14
Rossia,macrosoma,49.75,-0.25,7400:390:3,0.14
Rossia,macrosoma,49.25,-0.75,7400:390:2,0.05
Rossia,macrosoma,49.25,-0.25,7400:390:1,0.15
Rossia,macrosoma,48.75,-3.75,7400:383:4,0.11
Rossia,macrosoma,46.75,-1.75,7400:361:4,0.05
Rossia,macrosoma,46.25,-1.75,7400:361:2,0.18
Rossia,macrosoma,46.25,-1.25,7400:361:1,0.12
Rossia,macrosoma,45.75,-1.25,7400:351:3,0.17
Rossia,macrosoma,45.25,-0.75,7400:350:2,0.03
Rossia,macrosoma,44.25,-9.25,7400:249:1,0.02
Rossia,macrosoma,39.75,-30.75,7303:390:4,0.04
Rossia,macrosoma,38.25,-31.75,7303:381:2,0.04
Rossia,macrosoma,37.75,-31.25,7303:371:3,0.13
Rossia,macrosoma,37.25,-31.75,7303:371:2,0.18
Rossia,macrosoma,37.25,-30.75,7303:370:2,0.06
Rossia,macrosoma,34.75,-30.25,7303:140:3,0.17
Rossia,macrosoma,33.75,-30.25,7303:130:3,0.15
Rossia,macrosoma,39.25,-27.25,7302:497:1,0.12
Rossia,macrosoma,39.75,-26.75,7302:496:4,0.15
Rossia,macrosoma,33.25,-29.25,7302:239:1,0.18
Rossia,macrosoma,30.75,-28.75,7302:208:4,0.09
Rossia,macrosoma,34.75,-11.75,7301:141:4,0.07
Rossia,macrosoma,32.25,-10.25,7301:120:1,0.03
