Mapping parameters for Ruditapes decussatus (grooved carpet shell)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 |  51 ,
Bounding Box (NSWE): ,61,13,-18,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,1,1
Temperature (°C),1,1.61,10.72,20.46,29.75
Salinity (psu),1,23.12,32.91,38.22,39.25
Primary Production (mgC·m-3·day-1) ,1,-0.24,0.76,22.7,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,53.06,193.72,280.59,337.92
Distance to Land (km),0,0,4,21,257
 

Map data (HSPEC) for predicted occurrences (n = 987): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Ruditapes,decussatus,21.25,-16.75,7201:216:2,0.04
Ruditapes,decussatus,20.75,-17.25,7201:207:3,0.06
Ruditapes,decussatus,40.25,29.25,1402:209:1,0.09
Ruditapes,decussatus,40.25,28.75,1402:208:2,0.18
Ruditapes,decussatus,40.75,27.75,1402:207:4,0.08
Ruditapes,decussatus,40.75,27.25,1402:207:3,0.17
Ruditapes,decussatus,45.25,12.25,1401:352:1,0.18
Ruditapes,decussatus,44.75,12.25,1401:142:3,0.02
Ruditapes,decussatus,36.25,35.75,1303:465:2,0.18
Ruditapes,decussatus,35.75,35.75,1303:455:4,0.11
Ruditapes,decussatus,35.25,35.75,1303:455:2,0.09
Ruditapes,decussatus,36.75,34.75,1303:364:4,0.09
Ruditapes,decussatus,36.25,34.25,1303:364:1,0.05
Ruditapes,decussatus,36.25,33.75,1303:363:2,0.04
Ruditapes,decussatus,36.25,33.25,1303:363:1,0.08
Ruditapes,decussatus,36.25,32.75,1303:362:2,0.08
Ruditapes,decussatus,36.25,32.25,1303:362:1,0.02
Ruditapes,decussatus,36.75,31.25,1303:361:3,0.02
Ruditapes,decussatus,36.75,30.75,1303:360:4,0.03
Ruditapes,decussatus,36.25,30.75,1303:360:2,0.01
Ruditapes,decussatus,36.25,30.25,1303:360:1,0.01
Ruditapes,decussatus,35.75,34.75,1303:354:4,0.04
Ruditapes,decussatus,35.75,34.25,1303:354:3,0.03
Ruditapes,decussatus,35.25,34.25,1303:354:1,0.03
Ruditapes,decussatus,35.25,33.75,1303:353:2,0.03
Ruditapes,decussatus,35.25,33.25,1303:353:1,0.02
Ruditapes,decussatus,34.75,35.75,1303:245:4,0.09
Ruditapes,decussatus,33.75,35.25,1303:235:3,0.17
Ruditapes,decussatus,34.75,34.25,1303:144:3,0.04
Ruditapes,decussatus,34.75,33.75,1303:143:4,0.03
Ruditapes,decussatus,34.75,33.25,1303:143:3,0.04
Ruditapes,decussatus,34.75,32.75,1303:142:4,0.02
Ruditapes,decussatus,34.75,32.25,1303:142:3,0.02
Ruditapes,decussatus,37.25,27.25,1302:477:1,0.13
Ruditapes,decussatus,37.25,26.75,1302:476:2,0.16
Ruditapes,decussatus,36.25,29.75,1302:469:2,0.01
Ruditapes,decussatus,36.25,29.25,1302:469:1,0.02
Ruditapes,decussatus,36.75,28.75,1302:468:4,0.03
Ruditapes,decussatus,36.75,28.25,1302:468:3,0.02
Ruditapes,decussatus,36.25,28.25,1302:468:1,0.02
Ruditapes,decussatus,36.75,27.75,1302:467:4,0.03
Ruditapes,decussatus,36.75,27.25,1302:467:3,0.06
Ruditapes,decussatus,36.25,27.75,1302:467:2,0.05
Ruditapes,decussatus,36.25,27.25,1302:467:1,0.08
Ruditapes,decussatus,36.75,26.75,1302:466:4,0.12
Ruditapes,decussatus,36.25,26.75,1302:466:2,0.17
Ruditapes,decussatus,35.75,27.75,1302:457:4,0.04
Ruditapes,decussatus,35.75,27.25,1302:457:3,0.09
Ruditapes,decussatus,35.25,27.25,1302:457:1,0.11
Ruditapes,decussatus,35.25,26.75,1302:456:2,0.17
Ruditapes,decussatus,34.75,25.25,1302:245:3,0.17
Ruditapes,decussatus,31.75,26.75,1302:216:4,0.16
Ruditapes,decussatus,31.75,26.25,1302:216:3,0.17
Ruditapes,decussatus,31.75,25.75,1302:215:4,0.19
Ruditapes,decussatus,34.75,24.75,1302:144:4,0.19
Ruditapes,decussatus,27.75,35.25,1203:475:3,0.19
Ruditapes,decussatus,28.25,34.25,1203:384:1,0.12
Ruditapes,decussatus,27.75,34.75,1203:374:4,0.18
Ruditapes,decussatus,27.75,34.25,1203:374:3,0.18
Ruditapes,decussatus,27.75,33.75,1203:373:4,0.12
Ruditapes,decussatus,27.25,33.75,1203:373:2,0.17
Ruditapes,decussatus,26.75,33.75,1203:363:4,0.19
Ruditapes,decussatus,22.25,-16.75,7201:226:2,0.39
Ruditapes,decussatus,21.75,-16.75,7201:216:4,0.25
Ruditapes,decussatus,19.25,-16.25,7101:496:1,0.21
Ruditapes,decussatus,18.25,-16.25,7101:486:1,0.24
Ruditapes,decussatus,17.75,-16.25,7101:476:3,0.34
Ruditapes,decussatus,17.25,-16.25,7101:476:1,0.32
Ruditapes,decussatus,16.75,-16.25,7101:466:3,0.34
Ruditapes,decussatus,16.25,-16.25,7101:466:1,0.36
