Mapping parameters for Salmo salar (Atlantic salmon)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  2 |  5 |  7 |  18 |  21 |  27 |  37 ,
Bounding Box (NSWE): ,72,37,-78,61

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,23,210
Temperature (°C),1,-0.57,4.99,12.77,20.07
Salinity (psu),1,2.9,7.17,34.89,37.91
Primary Production (mgC·m-3·day-1) ,1,0.35,1.5,21.7,48.18
Sea Ice Concentration (0-1 fraction),1,-0.98,0,0.06,0.58
Dissolved Bottom Oxygen (mmol·m-3),0,1.33,263.61,363.36,411.22
Distance to Land (km),0,0,1,49,588
 

Map data (HSPEC) for predicted occurrences (n = 4180): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Salmo,salar,38.25,0.25,1300:380:1,0.01,0.6951871657754,0.030360328987849,0.39183514323457,0.62869567067727,1,1,1
Salmo,salar,38.75,0.25,1300:380:3,0.01,1,0.054199051530397,0.33676455668265,0.68521743526925,1,1,1
Salmo,salar,39.25,0.25,1300:390:1,0.01,0.97860962566845,0.076465648494356,0.27037998224725,0.52086957252544,1,1,1
Salmo,salar,39.75,0.25,1300:390:3,0.02,1,0.081450360441863,0.2252389768891,1,1,1,1
Salmo,salar,39.75,0.75,1300:390:4,0.01,1,0.08738090828674,0.2330250013743,0.54260871664661,1,1,1
Salmo,salar,37.75,24.25,1302:374:3,0.01,1,0.032459980167753,0.68238118152745,0.59043481346706,1,1,1
Salmo,salar,38.25,22.25,1302:382:1,0.01,1,0.063112379100219,0.13920365895656,1,1,1,1
Salmo,salar,38.25,22.75,1302:382:2,0.02,1,0.027912390721986,0.74157846210808,1,1,1,1
Salmo,salar,38.75,22.75,1302:382:4,0.04,1,0.048124276775205,0.88514876207768,1,1,1,1
Salmo,salar,38.25,23.25,1302:383:1,0.01,1,0.0078844462355479,0.8415955297205,1,1,1,1
Salmo,salar,38.25,23.75,1302:383:2,0.02,1,0.024029237930082,0.89872630542477,1,1,1,1
Salmo,salar,38.75,23.25,1302:383:3,0.05,1,0.047501645022877,1,1,1,1,1
Salmo,salar,38.75,23.75,1302:383:4,0.05,1,0.054970090683192,1,0.90608696137433,1,1,1
Salmo,salar,38.25,24.25,1302:384:1,0.03,1,0.065076948192027,0.95357078905927,0.52434780926484,1,1,1
