Mapping parameters for Scatophagus argus (Spotted scat)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,35,-36,48,-148

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,3,5
Temperature (°C),1,19,24.94,29.25,33.45
Salinity (psu),1,17.92,29.3,35.27,38.69
Primary Production (mgC·m-3·day-1) ,1,0.27,2.42,29.23,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,24.18,133.72,212.81,269.39
Distance to Land (km),0,0,3,27,1306
 

Map data (HSPEC) for predicted occurrences (n = 3726): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Scatophagus,argus,8.25,145.75,1014:485:2,0.17,0.5,1,1,0.34837207411264,1,1,1
Scatophagus,argus,12.75,97.25,1109:227:3,0.11,0.5,1,1,0.22976744032876,1,1,1
Scatophagus,argus,13.75,96.25,1109:236:3,0.11,0.5,1,1,0.21302326215041,1,1,1
Scatophagus,argus,13.75,96.75,1109:236:4,0.12,1,1,1,0.11720931006725,1,1,1
Scatophagus,argus,13.25,97.25,1109:237:1,0.07,0.5,1,1,0.13534884770769,1,1,1
Scatophagus,argus,12.25,168.75,1116:228:2,0.09,0.5,1,1,0.17627906704885,1,1,1
Scatophagus,argus,14.75,168.75,1116:248:4,0.11,1,1,1,0.10558139576988,1,1,1
Scatophagus,argus,14.75,169.25,1116:249:3,0.08,1,1,1,0.083255820353191,1,1,1
Scatophagus,argus,12.25,170.25,1117:120:1,0.12,1,1,1,0.11674419024656,1,1,1
Scatophagus,argus,24.75,51.75,1205:141:4,0.16,1,1,0.1615215993067,1,1,1,1
Scatophagus,argus,24.25,52.75,1205:142:2,0.08,1,1,0.077777840240642,1,1,1,1
Scatophagus,argus,24.75,52.25,1205:142:3,0.07,1,1,0.073201318930468,1,1,1,1
Scatophagus,argus,24.75,52.75,1205:142:4,0.02,1,1,0.017988595349035,1,1,1,1
Scatophagus,argus,24.25,53.25,1205:143:1,0.01,1,1,0.01054212782117,1,1,1,1
Scatophagus,argus,24.25,53.75,1205:143:2,0.02,1,1,0.022695619460438,1,1,1,1
Scatophagus,argus,24.25,54.25,1205:144:1,0.07,1,1,0.066792181360789,1,1,1,1
Scatophagus,argus,24.25,54.75,1205:144:2,0.13,1,1,0.13099844413892,1,1,1,1
Scatophagus,argus,24.75,54.75,1205:144:4,0.04,1,1,0.042321233024386,1,1,1,1
Scatophagus,argus,25.25,51.75,1205:351:2,0.11,1,1,0.11205546061199,1,1,1,1
Scatophagus,argus,25.75,51.75,1205:351:4,0.12,1,1,0.11945842720611,1,1,1,1
Scatophagus,argus,25.25,52.25,1205:352:1,0.06,1,1,0.056682118198334,1,1,1,1
Scatophagus,argus,25.25,52.75,1205:352:2,0.03,1,1,0.029025563022544,1,1,1,1
Scatophagus,argus,25.75,54.75,1205:354:4,0.03,1,1,0.028968677186139,1,1,1,1
Scatophagus,argus,26.75,50.75,1205:360:4,0.16,1,1,0.16408146194547,1,1,1,1
Scatophagus,argus,26.25,51.25,1205:361:1,0.19,1,1,0.18719718888488,1,1,1,1
Scatophagus,argus,26.75,51.25,1205:361:3,0.07,1,1,0.070779766952778,1,1,1,1
Scatophagus,argus,26.75,53.25,1205:363:3,0.18,1,1,0.18443320648015,1,1,1,1
Scatophagus,argus,27.25,50.75,1205:370:2,0.06,1,1,0.061922307600058,1,1,1,1
Scatophagus,argus,27.25,52.75,1205:372:2,0.12,1,1,0.11877468176056,1,1,1,1
Scatophagus,argus,27.75,52.25,1205:372:3,0.09,1,1,0.089465091103012,1,1,1,1
Scatophagus,argus,27.75,52.75,1205:372:4,0.16,1,1,0.16393311260737,1,1,1,1
Scatophagus,argus,27.25,53.25,1205:373:1,0.19,1,1,0.18868179767453,1,1,1,1
Scatophagus,argus,28.75,51.25,1205:381:3,0.10,1,1,0.10206697698225,1,1,1,1
Scatophagus,argus,29.25,50.75,1205:390:2,0.14,1,1,0.13626205712035,1,1,1,1
Scatophagus,argus,29.75,50.25,1205:390:3,0.19,1,1,0.19466707999246,1,1,1,1
Scatophagus,argus,25.25,55.25,1205:455:1,0.05,1,1,0.050925494634619,1,1,1,1
Scatophagus,argus,25.25,55.75,1205:455:2,0.18,1,1,0.18141044929015,1,1,1,1
Scatophagus,argus,22.25,88.25,1208:228:1,0.14,1,1,0.27901762441089,0.51421598274301,1,1,1
