Mapping parameters for Scolopsis monogramma (Monogrammed monocle bream)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  61 |  71,
Bounding Box (NSWE): ,32,-31,90,157

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,6,27,50
Temperature (°C),1,21.47,24.68,29.12,33.32
Salinity (psu),1,22.8,31.93,35.16,36.6
Primary Production (mgC·m-3·day-1) ,1,1.2,3.16,17.61,119.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,65.64,144.36,210.35,249.82
Distance to Land (km),0,1,15,170,407
 

Map data (HSPEC) for predicted occurrences (n = 3122): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Scolopsis,monogramma,4.75,99.25,1009:249:3,0.07
Scolopsis,monogramma,5.75,94.75,1009:354:4,0.06
Scolopsis,monogramma,5.25,98.25,1009:458:1,0.04
Scolopsis,monogramma,5.75,98.75,1009:458:4,0.02
Scolopsis,monogramma,5.25,99.25,1009:459:1,0.06
Scolopsis,monogramma,9.25,97.25,1009:497:1,0.18
Scolopsis,monogramma,9.75,97.25,1009:497:3,0.10
Scolopsis,monogramma,3.75,104.75,1010:134:4,0.13
Scolopsis,monogramma,4.25,104.25,1010:144:1,0.09
Scolopsis,monogramma,4.75,104.75,1010:144:4,0.07
Scolopsis,monogramma,2.25,107.25,1010:227:1,0.03
Scolopsis,monogramma,2.75,108.25,1010:228:3,0.08
Scolopsis,monogramma,3.25,105.25,1010:235:1,0.07
Scolopsis,monogramma,3.25,109.75,1010:239:2,0.03
Scolopsis,monogramma,6.25,104.25,1010:364:1,0.04
