Mapping parameters for Scomber scombrus (Atlantic mackerel)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  34 |  37 |  41 |  47 ,
Bounding Box (NSWE): ,75,30,-77,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,200,1000
Temperature (°C),1,5,8.71,20.5,23.37
Salinity (psu),1,6.78,7.5,38,40
Primary Production (mgC·m-3·day-1) ,1,0.24,0.8,14.38,81.31
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.53
Dissolved Bottom Oxygen (mmol·m-3),0,0.1,205.34,295.25,408.48
Distance to Land (km),0,0,9,357,822
 

Map data (HSPEC) for predicted occurrences (n = 4197): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Scomber,scombrus,38.25,8.25,1300:488:1,0.02,0.0675,1,1,0.3357142845967,1,1,1
Scomber,scombrus,38.25,8.75,1300:488:2,0.16,0.44875,1,1,0.35357140751356,1,1,1
Scomber,scombrus,39.75,7.75,1300:497:4,0.17,0.66625,1,1,0.26071428519208,1,1,1
Scomber,scombrus,33.25,14.75,1301:134:2,0.17,0.67625,0.48041231374707,0.8402557373047,0.61964283521021,1,1,1
Scomber,scombrus,31.75,18.25,1301:218:3,0.05,0.22875,0.46192565279972,0.7750988006592,0.61785710732719,1,1,1
Scomber,scombrus,31.25,19.25,1301:219:1,0.15,0.60125,0.47348405259826,0.8754138946533,0.61250002762037,1,1,1
Scomber,scombrus,32.25,16.75,1301:226:2,0.07,0.31125,0.44849579176422,0.7777042388916,0.63214282644913,1,1,1
Scomber,scombrus,32.75,16.25,1301:226:3,0.04,0.175,0.45536822807498,0.79130363464355,0.64642854557107,1,1,1
Scomber,scombrus,32.75,19.75,1301:229:4,0.17,0.71375,0.51191745984014,0.7587490081787,0.62678574674231,1,1,1
Scomber,scombrus,33.25,15.25,1301:235:1,0.10,0.4025,0.47202330266972,0.81664657592775,0.62678574674231,1,1,1
