Mapping parameters for Scorpaena loppei (Cadenat's rockfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,45,16,-18,35

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,50,66,123,200
Temperature (°C),1,15.81,17.71,21.13,22.54
Salinity (psu),1,34.29,35.98,38.51,39.79
Primary Production (mgC·m-3·day-1) ,1,-0.49,0.51,9.46,98.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,131,188.61,243.77,297.75
Distance to Land (km),0,2,12,155,516
 

Map data (HSPEC) for predicted occurrences (n = 720): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Scorpaena,loppei,44.25,-7.25,7400:247:1,0.04
Scorpaena,loppei,44.25,-6.75,7400:246:2,0.02
Scorpaena,loppei,43.75,-6.25,7400:236:3,0.05
Scorpaena,loppei,43.75,-5.75,7400:235:4,0.10
Scorpaena,loppei,43.75,-5.25,7400:235:3,0.16
Scorpaena,loppei,41.75,-9.25,7400:219:3,0.01
Scorpaena,loppei,41.25,-9.25,7400:219:1,0.08
Scorpaena,loppei,40.75,-9.25,7400:209:3,0.17
Scorpaena,loppei,40.75,-8.75,7400:208:4,0.02
Scorpaena,loppei,40.25,-8.75,7400:208:2,0.09
Scorpaena,loppei,44.75,-2.25,7400:142:3,0.14
Scorpaena,loppei,43.75,-2.25,7400:132:3,0.19
Scorpaena,loppei,43.75,-1.75,7400:131:4,0.08
Scorpaena,loppei,33.75,-14.25,7301:134:3,0.04
Scorpaena,loppei,22.25,-16.25,7201:226:1,0.12
Scorpaena,loppei,21.75,-17.25,7201:217:3,0.04
Scorpaena,loppei,21.25,-16.75,7201:216:2,0.03
Scorpaena,loppei,20.75,-17.25,7201:207:3,0.05
Scorpaena,loppei,20.75,-16.25,7201:206:3,0.04
Scorpaena,loppei,19.75,-17.25,7101:497:3,0.10
Scorpaena,loppei,19.25,-16.75,7101:496:2,0.12
Scorpaena,loppei,19.25,-16.25,7101:496:1,0.07
Scorpaena,loppei,18.75,-16.75,7101:486:4,0.09
Scorpaena,loppei,18.25,-16.25,7101:486:1,0.07
Scorpaena,loppei,17.75,-16.25,7101:476:3,0.04
Scorpaena,loppei,40.25,23.25,1402:103:1,0.11
Scorpaena,loppei,43.75,13.25,1401:133:3,0.01
Scorpaena,loppei,40.75,8.75,1400:208:4,0.12
Scorpaena,loppei,40.75,7.75,1400:207:4,0.11
Scorpaena,loppei,36.75,32.25,1303:362:3,0.15
Scorpaena,loppei,36.75,31.75,1303:361:4,0.10
Scorpaena,loppei,36.25,30.75,1303:360:2,0.04
Scorpaena,loppei,36.25,30.25,1303:360:1,0.03
Scorpaena,loppei,35.25,33.75,1303:353:2,0.03
Scorpaena,loppei,35.25,33.25,1303:353:1,0.05
Scorpaena,loppei,35.25,32.75,1303:352:2,0.05
Scorpaena,loppei,35.25,32.25,1303:352:1,0.06
Scorpaena,loppei,34.75,34.25,1303:144:3,0.02
Scorpaena,loppei,34.75,33.75,1303:143:4,0.08
Scorpaena,loppei,34.75,33.25,1303:143:3,0.13
Scorpaena,loppei,34.75,32.75,1303:142:4,0.08
Scorpaena,loppei,34.75,32.25,1303:142:3,0.08
Scorpaena,loppei,32.25,31.25,1303:121:1,0.01
Scorpaena,loppei,32.25,30.75,1303:120:2,0.04
Scorpaena,loppei,32.25,30.25,1303:120:1,0.08
Scorpaena,loppei,38.25,25.25,1302:485:1,0.16
Scorpaena,loppei,36.25,29.75,1302:469:2,0.07
Scorpaena,loppei,36.25,29.25,1302:469:1,0.15
Scorpaena,loppei,39.25,24.75,1302:394:2,0.09
Scorpaena,loppei,39.25,23.25,1302:393:1,0.02
Scorpaena,loppei,39.25,22.75,1302:392:2,0.07
Scorpaena,loppei,38.75,24.25,1302:384:3,0.16
Scorpaena,loppei,38.75,23.75,1302:383:4,0.07
Scorpaena,loppei,38.75,23.25,1302:383:3,0.05
Scorpaena,loppei,31.75,29.75,1302:219:4,0.06
Scorpaena,loppei,31.25,29.25,1302:219:1,0.05
Scorpaena,loppei,31.25,28.75,1302:218:2,0.09
Scorpaena,loppei,31.25,28.25,1302:218:1,0.14
Scorpaena,loppei,31.75,27.25,1302:217:3,0.16
