Mapping parameters for Scorpis aequipinnis (Sea sweep)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 57 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,4,16,30
Temperature (°C),1,10.87,14.95,20.89,23.27
Salinity (psu),1,34.4,35.24,36.24,39.93
Primary Production (mgC·m-3·day-1) ,1,0.87,3.24,21.49,34.91
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,153.1,221.95,253.01,278.35
Distance to Land (km),0,0,6,88,215
 

Map data (HSPEC) for predicted occurrences (n = 475): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Scorpis,aequipinnis,-24.75,113.75,3211:143:4,0.02
Scorpis,aequipinnis,-25.25,113.25,3211:353:1,0.10
Scorpis,aequipinnis,-25.75,113.25,3211:353:3,0.17
Scorpis,aequipinnis,-25.75,114.25,3211:354:3,0.14
Scorpis,aequipinnis,-26.25,113.25,3211:363:1,0.06
Scorpis,aequipinnis,-26.25,113.75,3211:363:2,0.18
Scorpis,aequipinnis,-26.75,113.25,3211:363:3,0.03
Scorpis,aequipinnis,-27.25,113.25,3211:373:1,0.05
Scorpis,aequipinnis,-27.25,113.75,3211:373:2,0.14
Scorpis,aequipinnis,-27.75,113.25,3211:373:3,0.07
Scorpis,aequipinnis,-27.75,113.75,3211:373:4,0.19
Scorpis,aequipinnis,-28.25,113.25,3211:383:1,0.05
Scorpis,aequipinnis,-28.75,113.75,3211:383:4,0.19
Scorpis,aequipinnis,-28.25,153.25,3215:383:1,0.14
Scorpis,aequipinnis,-25.75,161.75,3216:351:4,0.01
Scorpis,aequipinnis,-25.75,162.25,3216:352:3,0.01
Scorpis,aequipinnis,-25.75,162.75,3216:352:4,0.01
Scorpis,aequipinnis,-25.75,163.25,3216:353:3,0.01
Scorpis,aequipinnis,-26.25,161.75,3216:361:2,0.03
Scorpis,aequipinnis,-26.25,162.25,3216:362:1,0.03
Scorpis,aequipinnis,-34.75,123.75,3312:143:4,0.14
Scorpis,aequipinnis,-34.75,133.25,3313:143:3,0.14
Scorpis,aequipinnis,-33.75,136.75,3313:236:4,0.05
Scorpis,aequipinnis,-33.25,137.25,3313:237:1,0.16
Scorpis,aequipinnis,-33.75,137.25,3313:237:3,0.06
Scorpis,aequipinnis,-34.25,137.25,3313:247:1,0.04
Scorpis,aequipinnis,-30.75,153.25,3315:103:3,0.13
Scorpis,aequipinnis,-31.25,153.25,3315:113:1,0.14
Scorpis,aequipinnis,-37.25,175.25,3317:475:1,0.07
Scorpis,aequipinnis,-43.25,146.75,3414:236:2,0.18
Scorpis,aequipinnis,-43.25,147.25,3414:237:1,0.14
Scorpis,aequipinnis,-46.75,166.75,3416:466:4,0.19
Scorpis,aequipinnis,-46.25,167.25,3416:467:1,0.12
Scorpis,aequipinnis,-46.75,167.75,3416:467:4,0.02
Scorpis,aequipinnis,-46.25,169.75,3416:469:2,0.01
Scorpis,aequipinnis,-47.75,166.75,3416:476:4,0.10
Scorpis,aequipinnis,-47.25,167.25,3416:477:1,0.14
Scorpis,aequipinnis,-47.25,167.75,3416:477:2,0.09
Scorpis,aequipinnis,-47.75,167.25,3416:477:3,0.07
Scorpis,aequipinnis,-47.75,167.75,3416:477:4,0.05
Scorpis,aequipinnis,-47.25,168.25,3416:478:1,0.06
Scorpis,aequipinnis,-48.25,166.25,3416:486:1,0.06
Scorpis,aequipinnis,-48.25,166.75,3416:486:2,0.04
Scorpis,aequipinnis,-48.75,166.25,3416:486:3,0.01
Scorpis,aequipinnis,-48.75,166.75,3416:486:4,0.01
Scorpis,aequipinnis,-48.25,167.25,3416:487:1,0.02
Scorpis,aequipinnis,-40.75,173.25,3417:103:3,0.19
Scorpis,aequipinnis,-41.25,173.75,3417:113:2,0.02
Scorpis,aequipinnis,-41.25,174.25,3417:114:1,0.09
Scorpis,aequipinnis,-42.75,170.25,3417:120:3,0.10
Scorpis,aequipinnis,-42.75,173.75,3417:123:4,0.01
Scorpis,aequipinnis,-42.25,174.25,3417:124:1,0.01
Scorpis,aequipinnis,-43.75,173.75,3417:133:4,0.01
Scorpis,aequipinnis,-44.75,171.75,3417:141:4,0.01
Scorpis,aequipinnis,-45.75,170.25,3417:350:3,0.02
Scorpis,aequipinnis,-46.25,170.25,3417:360:1,0.01
Scorpis,aequipinnis,-29.25,-177.75,5217:497:2,0.04
Scorpis,aequipinnis,-30.25,-178.25,5317:208:1,0.09
Scorpis,aequipinnis,-43.75,-177.25,5417:237:3,0.05
Scorpis,aequipinnis,-44.25,-175.75,5417:245:2,0.17
Scorpis,aequipinnis,-44.25,-176.25,5417:246:1,0.15
Scorpis,aequipinnis,-44.25,-176.75,5417:246:2,0.16
Scorpis,aequipinnis,-25.25,113.75,3211:353:2,0.21
Scorpis,aequipinnis,-25.75,113.75,3211:353:4,0.25
Scorpis,aequipinnis,-26.75,113.75,3211:363:4,0.20
Scorpis,aequipinnis,-26.25,114.25,3211:364:1,0.22
Scorpis,aequipinnis,-27.25,114.25,3211:374:1,0.33
Scorpis,aequipinnis,-27.75,114.25,3211:374:3,0.33
Scorpis,aequipinnis,-28.25,113.75,3211:383:2,0.26
Scorpis,aequipinnis,-28.25,114.25,3211:384:1,0.29
Scorpis,aequipinnis,-28.75,114.25,3211:384:3,0.34
Scorpis,aequipinnis,-28.75,114.75,3211:384:4,0.37
Scorpis,aequipinnis,-29.25,114.25,3211:394:1,0.22
Scorpis,aequipinnis,-29.25,114.75,3211:394:2,0.31
Scorpis,aequipinnis,-29.75,114.75,3211:394:4,0.36
Scorpis,aequipinnis,-29.25,153.25,3215:393:1,0.24
Scorpis,aequipinnis,-29.75,153.25,3215:393:3,0.31
Scorpis,aequipinnis,-34.75,117.75,3311:247:4,0.33
Scorpis,aequipinnis,-33.25,123.75,3312:133:2,0.33
Scorpis,aequipinnis,-34.25,121.25,3312:141:1,0.29
Scorpis,aequipinnis,-33.25,129.75,3312:239:2,0.36
Scorpis,aequipinnis,-32.25,130.75,3313:120:2,0.39
Scorpis,aequipinnis,-33.25,131.75,3313:131:2,0.36
Scorpis,aequipinnis,-33.75,137.75,3313:237:4,0.29
Scorpis,aequipinnis,-33.25,138.25,3313:238:1,0.21
Scorpis,aequipinnis,-34.25,135.75,3313:245:2,0.30
Scorpis,aequipinnis,-34.25,136.25,3313:246:1,0.27
Scorpis,aequipinnis,-34.75,136.75,3313:246:4,0.26
Scorpis,aequipinnis,-34.75,137.25,3313:247:3,0.24
Scorpis,aequipinnis,-36.25,139.25,3313:469:1,0.21
Scorpis,aequipinnis,-30.25,153.25,3315:103:1,0.20
Scorpis,aequipinnis,-35.25,173.75,3317:353:2,0.33
Scorpis,aequipinnis,-40.75,144.75,3414:104:4,0.27
Scorpis,aequipinnis,-43.75,168.75,3416:238:4,0.30
Scorpis,aequipinnis,-43.25,169.75,3416:239:2,0.24
Scorpis,aequipinnis,-44.75,167.25,3416:247:3,0.36
Scorpis,aequipinnis,-44.75,167.75,3416:247:4,0.27
Scorpis,aequipinnis,-44.25,168.25,3416:248:1,0.35
Scorpis,aequipinnis,-45.75,166.25,3416:456:3,0.34
Scorpis,aequipinnis,-45.75,166.75,3416:456:4,0.33
Scorpis,aequipinnis,-45.25,167.25,3416:457:1,0.25
Scorpis,aequipinnis,-46.25,166.75,3416:466:2,0.20
Scorpis,aequipinnis,-41.75,175.25,3417:215:3,0.22
Scorpis,aequipinnis,-30.75,-178.75,5317:208:4,0.22
Scorpis,aequipinnis,-31.25,-178.75,5317:218:2,0.37
Scorpis,aequipinnis,-43.75,-176.25,5417:236:3,0.22
Scorpis,aequipinnis,-43.75,-176.75,5417:236:4,0.22
Scorpis,aequipinnis,-28.25,114.75,3211:384:2,0.40
Scorpis,aequipinnis,-29.25,115.25,3211:495:1,0.55
Scorpis,aequipinnis,-29.75,115.25,3211:495:3,0.55
Scorpis,aequipinnis,-29.25,159.25,3215:499:1,0.45
Scorpis,aequipinnis,-29.75,159.25,3215:499:3,0.48
Scorpis,aequipinnis,-29.75,167.75,3216:497:4,0.48
Scorpis,aequipinnis,-30.25,114.75,3311:104:2,0.40
Scorpis,aequipinnis,-30.75,114.75,3311:104:4,0.42
Scorpis,aequipinnis,-33.25,114.75,3311:134:2,0.57
Scorpis,aequipinnis,-32.75,128.25,3312:228:3,0.50
Scorpis,aequipinnis,-32.75,128.75,3312:228:4,0.50
Scorpis,aequipinnis,-32.25,129.75,3312:229:2,0.56
Scorpis,aequipinnis,-31.75,130.25,3313:110:3,0.59
Scorpis,aequipinnis,-31.75,130.75,3313:110:4,0.56
Scorpis,aequipinnis,-31.75,131.25,3313:111:3,0.53
Scorpis,aequipinnis,-31.75,131.75,3313:111:4,0.50
Scorpis,aequipinnis,-32.25,131.75,3313:121:2,0.41
Scorpis,aequipinnis,-32.25,132.25,3313:122:1,0.48
Scorpis,aequipinnis,-32.25,132.75,3313:122:2,0.51
Scorpis,aequipinnis,-32.75,132.75,3313:122:4,0.58
Scorpis,aequipinnis,-33.75,133.25,3313:133:3,0.43
Scorpis,aequipinnis,-34.25,137.75,3313:247:2,0.51
Scorpis,aequipinnis,-37.75,139.75,3313:479:4,0.57
Scorpis,aequipinnis,-31.25,152.75,3315:112:2,0.54
Scorpis,aequipinnis,-31.75,152.75,3315:112:4,0.44
Scorpis,aequipinnis,-32.25,152.75,3315:122:2,0.47
Scorpis,aequipinnis,-37.25,174.25,3317:374:1,0.43
Scorpis,aequipinnis,-39.75,174.25,3317:394:3,0.59
Scorpis,aequipinnis,-39.25,177.25,3317:497:1,0.55
Scorpis,aequipinnis,-42.75,147.25,3414:227:3,0.49
Scorpis,aequipinnis,-42.75,147.75,3414:227:4,0.49
Scorpis,aequipinnis,-42.25,148.25,3414:228:1,0.40
Scorpis,aequipinnis,-44.25,167.75,3416:247:2,0.56
Scorpis,aequipinnis,-45.25,166.75,3416:456:2,0.40
Scorpis,aequipinnis,-40.25,173.25,3417:103:1,0.58
Scorpis,aequipinnis,-40.75,173.75,3417:103:4,0.54
Scorpis,aequipinnis,-41.25,174.75,3417:114:2,0.41
Scorpis,aequipinnis,-41.25,175.25,3417:215:1,0.49
Scorpis,aequipinnis,-41.25,175.75,3417:215:2,0.57
Scorpis,aequipinnis,-41.75,175.75,3417:215:4,0.42
Scorpis,aequipinnis,-43.25,-176.75,5417:236:2,0.41
Scorpis,aequipinnis,-43.25,-177.25,5417:237:1,0.43
Scorpis,aequipinnis,-28.75,167.75,3216:487:4,0.79
Scorpis,aequipinnis,-30.25,115.25,3311:205:1,0.60
Scorpis,aequipinnis,-30.75,115.25,3311:205:3,0.65
Scorpis,aequipinnis,-31.25,115.25,3311:215:1,0.69
Scorpis,aequipinnis,-31.75,115.25,3311:215:3,0.70
Scorpis,aequipinnis,-34.75,117.25,3311:247:3,0.67
Scorpis,aequipinnis,-31.75,129.25,3312:219:3,0.75
Scorpis,aequipinnis,-31.75,129.75,3312:219:4,0.63
Scorpis,aequipinnis,-32.75,126.75,3312:226:4,0.79
Scorpis,aequipinnis,-32.25,129.25,3312:229:1,0.64
Scorpis,aequipinnis,-31.25,131.25,3313:111:1,0.76
Scorpis,aequipinnis,-31.75,132.25,3313:112:3,0.60
Scorpis,aequipinnis,-31.75,132.75,3313:112:4,0.68
Scorpis,aequipinnis,-32.25,133.25,3313:123:1,0.72
Scorpis,aequipinnis,-32.25,133.75,3313:123:2,0.76
Scorpis,aequipinnis,-32.25,134.25,3313:124:1,0.77
Scorpis,aequipinnis,-34.25,138.25,3313:248:1,0.62
Scorpis,aequipinnis,-34.75,138.75,3313:248:4,0.78
Scorpis,aequipinnis,-38.25,140.25,3314:380:1,0.64
Scorpis,aequipinnis,-31.25,159.25,3315:219:1,0.69
Scorpis,aequipinnis,-31.75,159.25,3315:219:3,0.77
Scorpis,aequipinnis,-37.75,174.75,3317:374:4,0.74
Scorpis,aequipinnis,-38.25,174.25,3317:384:1,0.71
Scorpis,aequipinnis,-39.75,174.75,3317:394:4,0.75
Scorpis,aequipinnis,-35.75,175.25,3317:455:3,0.71
Scorpis,aequipinnis,-37.75,176.75,3317:476:4,0.69
Scorpis,aequipinnis,-39.25,176.75,3317:496:2,0.78
Scorpis,aequipinnis,-40.25,144.25,3414:104:1,0.66
Scorpis,aequipinnis,-40.75,146.25,3414:206:3,0.79
Scorpis,aequipinnis,-43.25,145.25,3414:235:1,0.76
Scorpis,aequipinnis,-43.25,146.25,3414:236:1,0.77
Scorpis,aequipinnis,-43.75,146.25,3414:236:3,0.74
Scorpis,aequipinnis,-43.75,146.75,3414:236:4,0.74
Scorpis,aequipinnis,-43.25,147.75,3414:237:2,0.71
Scorpis,aequipinnis,-43.75,147.25,3414:237:3,0.76
Scorpis,aequipinnis,-43.75,168.25,3416:238:3,0.63
Scorpis,aequipinnis,-40.25,172.75,3417:102:2,0.60
Scorpis,aequipinnis,-40.75,174.25,3417:104:3,0.69
Scorpis,aequipinnis,-40.25,175.25,3417:205:1,0.79
Scorpis,aequipinnis,-40.75,175.25,3417:205:3,0.71
Scorpis,aequipinnis,-40.75,176.25,3417:206:3,0.78
Scorpis,aequipinnis,-41.25,176.25,3417:216:1,0.72
Scorpis,aequipinnis,-28.75,168.25,3216:488:3,0.81
Scorpis,aequipinnis,-29.25,167.75,3216:497:2,0.89
Scorpis,aequipinnis,-29.25,168.25,3216:498:1,0.92
Scorpis,aequipinnis,-33.75,114.75,3311:134:4,1.00
Scorpis,aequipinnis,-34.25,114.75,3311:144:2,1.00
Scorpis,aequipinnis,-31.25,115.75,3311:215:2,0.98
Scorpis,aequipinnis,-31.75,115.75,3311:215:4,1.00
Scorpis,aequipinnis,-32.25,115.25,3311:225:1,1.00
Scorpis,aequipinnis,-32.25,115.75,3311:225:2,1.00
