Mapping parameters for Scyliorhinus canicula (Lesser spotted dogfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,68,3,-32,37

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,80,100,800
Temperature (°C),1,-0.88,10.24,20.07,27.2
Salinity (psu),1,8,33.34,37.49,39.25
Primary Production (mgC·m-3·day-1) ,1,0.01,1.01,20.14,111.46
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,41.08,194.66,284.83,408.48
Distance to Land (km),0,0,8,187,371
 

Map data (HSPEC) for predicted occurrences (n = 3000): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Scyliorhinus,canicula,5.75,0.25,1000:350:3,0.03,1,0.044682142945189,1,0.73499781475535,1,1,1
Scyliorhinus,canicula,5.75,0.75,1000:350:4,0.01,1,0.009177102280196,1,0.83861146937114,1,1,1
Scyliorhinus,canicula,38.25,1.75,1300:381:2,0.10,0.17285714285714,1,1,0.56199998991564,1,1,1
Scyliorhinus,canicula,38.75,2.25,1300:382:3,0.15,0.29857142857143,1,1,0.51499998128042,1,1,1
Scyliorhinus,canicula,39.25,0.75,1300:390:2,0.15,0.21571428571429,1,1,0.71100001852959,1,1,1
Scyliorhinus,canicula,38.75,7.75,1300:487:4,0.16,0.39,1,1,0.41699999175966,1,1,1
Scyliorhinus,canicula,38.25,8.75,1300:488:2,0.10,0.22714285714286,1,1,0.42799998820759,1,1,1
Scyliorhinus,canicula,39.75,7.75,1300:497:4,0.18,0.47571428571429,1,0.99267959594727,0.37599999970756,1,1,1
Scyliorhinus,canicula,39.75,8.75,1300:498:4,0.12,0.2,1,0.88355757973409,0.70099394699559,1,1,1
Scyliorhinus,canicula,32.75,12.25,1301:122:3,0.18,0.325,0.7363054829259,0.83143494345926,0.89415542945266,1,1,1
Scyliorhinus,canicula,32.75,13.25,1301:123:3,0.19,0.4625,0.75155571165794,0.76422691345216,0.71751677362248,1,1,1
Scyliorhinus,canicula,32.25,14.75,1301:124:2,0.07,0.2125,0.74124559613799,0.69787285544654,0.65943804267794,1,1,1
Scyliorhinus,canicula,33.75,13.75,1301:133:4,0.18,0.71857142857143,0.75403820749419,0.59306838295676,0.55800001766533,1,1,1
Scyliorhinus,canicula,33.25,14.75,1301:134:2,0.11,0.48714285714286,0.73054464803003,0.52869970148262,0.57699998771772,1,1,1
Scyliorhinus,canicula,33.75,14.25,1301:134:3,0.16,0.68142857142857,0.74225598264376,0.53988586772574,0.56999999262392,1,1,1
Scyliorhinus,canicula,33.75,14.75,1301:134:4,0.16,0.72428571428571,0.73903087813924,0.52618113431062,0.57599998010322,1,1,1
Scyliorhinus,canicula,34.75,10.25,1301:140:3,0.01,0.0125,0.80823258965748,0.75443441217597,1,1,1,1
Scyliorhinus,canicula,34.75,14.25,1301:144:3,0.18,0.66285714285714,0.79109828569109,0.60433691198176,0.55299997959286,1,1,1
Scyliorhinus,canicula,31.75,15.25,1301:215:3,0.10,0.2625,0.73071692468073,0.75793266296386,0.69195709122345,1,1,1
Scyliorhinus,canicula,31.75,16.75,1301:216:4,0.19,0.90285714285714,0.71363344767652,0.50441351803864,0.59400000074878,1,1,1
Scyliorhinus,canicula,31.75,17.25,1301:217:3,0.17,0.83714285714286,0.71407564224735,0.48193498091261,0.58399998281151,1,1,1
Scyliorhinus,canicula,31.75,17.75,1301:217:4,0.16,0.79714285714286,0.71888200029585,0.46823891726409,0.58200002579018,1,1,1
Scyliorhinus,canicula,31.25,18.75,1301:218:2,0.18,0.86571428571429,0.72173419540426,0.52115700461648,0.56299999753013,1,1,1
Scyliorhinus,canicula,31.25,19.25,1301:219:1,0.10,0.40142857142857,0.72775585286914,0.56865215301511,0.5730000154674,1,1,1
Scyliorhinus,canicula,31.75,19.25,1301:219:3,0.17,0.82857142857143,0.7330932189171,0.49712224440142,0.56700002798811,1,1,1
Scyliorhinus,canicula,32.75,15.75,1301:225:4,0.16,0.78428571428571,0.71927283288386,0.48680738969284,0.59500000836328,1,1,1
Scyliorhinus,canicula,32.25,16.25,1301:226:1,0.19,0.96142857142857,0.71459113464784,0.4740541631525,0.59299999313429,1,1,1
Scyliorhinus,canicula,32.25,16.75,1301:226:2,0.01,0.07,0.71769746456708,0.45761845328591,0.58399998281151,1,1,1
Scyliorhinus,canicula,32.25,19.25,1301:229:1,0.14,0.71714285714286,0.73783350191477,0.45882355083119,0.57200000785291,1,1,1
Scyliorhinus,canicula,32.75,19.75,1301:229:4,0.10,0.53,0.74322624260045,0.43607841838489,0.58100001817569,1,1,1
Scyliorhinus,canicula,33.25,15.25,1301:235:1,0.04,0.17428571428571,0.72716786517,0.50187110900881,0.58100001817569,1,1,1
Scyliorhinus,canicula,33.25,15.75,1301:235:2,0.01,0.035714285714286,0.72922314701374,0.49319700761273,0.58399998281151,1,1,1
Scyliorhinus,canicula,33.75,15.25,1301:235:3,0.11,0.47142857142857,0.73936045086233,0.52454688332296,0.57799999533221,1,1,1
Scyliorhinus,canicula,33.75,15.75,1301:235:4,0.11,0.47714285714286,0.74253820603893,0.51985437219796,0.57799999533221,1,1,1
Scyliorhinus,canicula,34.25,15.75,1301:245:2,0.19,0.73714285714286,0.76257660211721,0.55483254519375,0.59999998822808,1,1,1
Scyliorhinus,canicula,34.25,16.25,1301:246:1,0.11,0.45285714285714,0.76897116897819,0.54880705746739,0.5859999980405,1,1,1
Scyliorhinus,canicula,34.25,16.75,1301:246:2,0.16,0.64,0.77647001846978,0.55192817341199,0.56899998500943,1,1,1
Scyliorhinus,canicula,35.25,10.75,1301:350:2,0.02,0.025,0.84236155719944,0.91441111131148,1,1,1,1
Scyliorhinus,canicula,35.75,13.75,1301:353:4,0.18,0.40285714285714,0.88297497507231,0.84604566747495,0.59500000836328,1,1,1
Scyliorhinus,canicula,35.25,14.25,1301:354:1,0.17,0.49142857142857,0.83212447199882,0.71645866740835,0.56400000514463,1,1,1
Scyliorhinus,canicula,36.25,10.25,1301:360:1,0.02,0.025,0.92743759904303,1,1,1,1,1
Scyliorhinus,canicula,38.75,10.25,1301:380:3,0.01,0.037142857142857,1,0.9750344536521,0.40400000918657,1,1,1
Scyliorhinus,canicula,38.75,10.75,1301:380:4,0.12,0.29857142857143,1,0.99021304737438,0.41900000698864,1,1,1
Scyliorhinus,canicula,38.75,11.25,1301:381:3,0.03,0.057142857142857,1,0.99340785633432,0.44200000749901,1,1,1
Scyliorhinus,canicula,38.75,11.75,1301:381:4,0.09,0.20857142857143,1,0.98761645230381,0.45700000530109,1,1,1
Scyliorhinus,canicula,38.75,12.75,1301:382:4,0.08,0.17857142857143,0.98525968875323,0.90764435854824,0.48399997806176,1,1,1
