Mapping parameters for Sebastes atrovirens (Kelp rockfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77,
Bounding Box (NSWE): ,39,27,-124,-114

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,9,12,46
Temperature (°C),1,11.07,13.19,18.71,21.24
Salinity (psu),1,31.92,32.78,33.78,34.28
Primary Production (mgC·m-3·day-1) ,1,11.39,14.17,69.46,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,10,247.85,264.18
Distance to Land (km),0,2,3,93,98
 

Map data (HSPEC) for predicted occurrences (n = 58): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,atrovirens,38.25,-122.75,7312:382:2,0.13
Sebastes,atrovirens,37.75,-122.75,7312:372:4,0.01
Sebastes,atrovirens,37.25,-122.75,7312:372:2,0.04
Sebastes,atrovirens,37.25,-122.25,7312:372:1,0.19
Sebastes,atrovirens,29.25,-114.75,7211:394:2,0.13
Sebastes,atrovirens,38.75,-123.75,7312:383:4,0.32
Sebastes,atrovirens,38.75,-123.25,7312:383:3,0.32
Sebastes,atrovirens,38.25,-123.25,7312:383:1,0.22
Sebastes,atrovirens,33.75,-119.25,7311:239:3,0.32
Sebastes,atrovirens,33.25,-119.25,7311:239:1,0.25
Sebastes,atrovirens,30.75,-115.75,7311:205:4,0.31
Sebastes,atrovirens,28.75,-114.25,7211:384:3,0.27
Sebastes,atrovirens,37.75,-123.25,7312:373:3,0.48
Sebastes,atrovirens,36.75,-121.75,7312:361:4,0.47
