Mapping parameters for Sebastes aurora (Aurora rockfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  67 |  77 ,
Bounding Box (NSWE): ,55,28,-135,-114

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,124,366,550,769
Temperature (°C),1,5.76,9.93,16.95,19.88
Salinity (psu),1,27.38,30.64,33.46,35.83
Primary Production (mgC·m-3·day-1) ,1,3.56,9.62,61.61,97.59
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,12.99,226.3,291.57
Distance to Land (km),0,2,12,153,220
 

Map data (HSPEC) for predicted occurrences (n = 217): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,aurora,54.75,-130.75,7513:140:4,0.07
Sebastes,aurora,54.75,-130.25,7513:140:3,0.13
Sebastes,aurora,54.25,-130.75,7513:140:2,0.16
Sebastes,aurora,54.25,-130.25,7513:140:1,0.01
Sebastes,aurora,53.75,-131.75,7513:131:4,0.02
Sebastes,aurora,52.75,-130.75,7513:120:4,0.17
Sebastes,aurora,52.75,-128.25,7512:228:3,0.11
Sebastes,aurora,52.25,-127.75,7512:227:2,0.19
Sebastes,aurora,51.25,-127.75,7512:217:2,0.14
Sebastes,aurora,50.75,-127.25,7512:207:3,0.14
Sebastes,aurora,50.75,-126.25,7512:206:3,0.14
Sebastes,aurora,48.25,-132.75,7413:382:2,0.11
Sebastes,aurora,46.75,-131.25,7413:361:3,0.03
Sebastes,aurora,46.75,-130.75,7413:360:4,0.07
Sebastes,aurora,46.25,-130.25,7413:360:1,0.08
Sebastes,aurora,49.75,-126.75,7412:496:4,0.03
Sebastes,aurora,49.25,-125.75,7412:495:2,0.01
Sebastes,aurora,48.75,-125.75,7412:485:4,0.18
Sebastes,aurora,48.75,-125.25,7412:485:3,0.11
Sebastes,aurora,43.25,-124.25,7412:134:1,0.10
Sebastes,aurora,42.75,-124.25,7412:124:3,0.02
Sebastes,aurora,42.25,-124.25,7412:124:1,0.10
Sebastes,aurora,38.75,-123.25,7312:383:3,0.12
Sebastes,aurora,37.75,-122.25,7312:372:3,0.08
Sebastes,aurora,36.25,-121.25,7312:361:1,0.03
Sebastes,aurora,32.25,-119.75,7311:229:2,0.11
Sebastes,aurora,32.25,-117.75,7311:227:2,0.14
Sebastes,aurora,31.75,-119.25,7311:219:3,0.05
Sebastes,aurora,31.25,-118.75,7311:218:2,0.05
Sebastes,aurora,30.75,-117.25,7311:207:3,0.03
Sebastes,aurora,29.25,-114.75,7211:394:2,0.04
Sebastes,aurora,28.75,-114.25,7211:384:3,0.06
Sebastes,aurora,28.25,-114.25,7211:384:1,0.17
Sebastes,aurora,54.75,-131.25,7513:141:3,0.37
Sebastes,aurora,54.25,-131.25,7513:141:1,0.35
Sebastes,aurora,53.75,-132.75,7513:132:4,0.27
Sebastes,aurora,53.75,-130.75,7513:130:4,0.22
Sebastes,aurora,53.75,-130.25,7513:130:3,0.27
Sebastes,aurora,53.25,-130.75,7513:130:2,0.39
Sebastes,aurora,53.25,-130.25,7513:130:1,0.36
Sebastes,aurora,52.25,-129.25,7512:229:1,0.38
Sebastes,aurora,52.25,-128.25,7512:228:1,0.21
Sebastes,aurora,51.75,-128.75,7512:218:4,0.29
Sebastes,aurora,51.75,-128.25,7512:218:3,0.29
Sebastes,aurora,51.25,-128.25,7512:218:1,0.33
Sebastes,aurora,47.25,-124.25,7412:374:1,0.37
Sebastes,aurora,45.25,-123.75,7412:353:2,0.20
Sebastes,aurora,44.75,-125.25,7412:245:3,0.29
Sebastes,aurora,44.25,-124.25,7412:144:1,0.23
Sebastes,aurora,43.75,-124.25,7412:134:3,0.25
Sebastes,aurora,37.75,-122.75,7312:372:4,0.22
Sebastes,aurora,37.25,-122.25,7312:372:1,0.26
Sebastes,aurora,32.75,-120.25,7312:120:3,0.28
Sebastes,aurora,33.25,-117.25,7311:237:1,0.35
Sebastes,aurora,32.25,-119.25,7311:229:1,0.28
Sebastes,aurora,31.25,-118.25,7311:218:1,0.28
Sebastes,aurora,28.75,-118.25,7211:488:3,0.28
Sebastes,aurora,54.75,-131.75,7513:141:4,0.55
Sebastes,aurora,54.25,-131.75,7513:141:2,0.56
Sebastes,aurora,52.75,-131.25,7513:121:3,0.47
Sebastes,aurora,53.75,-129.25,7512:239:3,0.57
Sebastes,aurora,53.75,-128.75,7512:238:4,0.59
Sebastes,aurora,52.75,-129.25,7512:229:3,0.47
Sebastes,aurora,52.25,-129.75,7512:229:2,0.58
Sebastes,aurora,52.25,-128.75,7512:228:2,0.50
Sebastes,aurora,51.75,-129.25,7512:219:3,0.55
Sebastes,aurora,51.25,-128.75,7512:218:2,0.52
Sebastes,aurora,50.75,-127.75,7512:207:4,0.49
Sebastes,aurora,49.25,-126.25,7412:496:1,0.45
Sebastes,aurora,48.25,-125.25,7412:485:1,0.55
