Mapping parameters for Sebastes brevispinis (Silvergray rockfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 67 |  77,
Bounding Box (NSWE): ,60,23,-178,-110

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,43,172,375
Temperature (°C),1,2.89,6,11.48,23.52
Salinity (psu),1,25.26,29.43,32.54,34.84
Primary Production (mgC·m-3·day-1) ,1,3.18,10.15,31.08,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.01
Dissolved Bottom Oxygen (mmol·m-3),0,2.03,36.09,291.65,311.63
Distance to Land (km),0,4,10,131,275
 

Map data (HSPEC) for predicted occurrences (n = 696): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,brevispinis,57.75,-174.25,7517:374:3,0.15
Sebastes,brevispinis,57.75,-173.75,7517:373:4,0.13
Sebastes,brevispinis,57.75,-173.25,7517:373:3,0.08
Sebastes,brevispinis,57.75,-172.75,7517:372:4,0.02
Sebastes,brevispinis,57.25,-171.25,7517:371:1,0.12
Sebastes,brevispinis,57.25,-170.75,7517:370:2,0.02
Sebastes,brevispinis,55.75,-170.25,7517:350:3,0.02
Sebastes,brevispinis,56.75,-167.25,7516:467:3,0.12
Sebastes,brevispinis,56.75,-166.75,7516:466:4,0.05
Sebastes,brevispinis,57.25,-160.25,7516:370:1,0.01
Sebastes,brevispinis,56.75,-162.25,7516:362:3,0.01
Sebastes,brevispinis,56.75,-161.75,7516:361:4,0.06
Sebastes,brevispinis,56.75,-161.25,7516:361:3,0.12
Sebastes,brevispinis,56.75,-160.75,7516:360:4,0.17
Sebastes,brevispinis,56.75,-160.25,7516:360:3,0.12
Sebastes,brevispinis,58.25,-155.25,7515:485:1,0.02
Sebastes,brevispinis,56.75,-159.75,7515:469:4,0.04
Sebastes,brevispinis,56.25,-159.75,7515:469:2,0.08
Sebastes,brevispinis,56.25,-158.75,7515:468:2,0.04
Sebastes,brevispinis,56.75,-157.75,7515:467:4,0.08
Sebastes,brevispinis,59.75,-150.25,7515:390:3,0.11
Sebastes,brevispinis,58.75,-154.25,7515:384:3,0.03
Sebastes,brevispinis,58.75,-147.75,7514:487:4,0.06
Sebastes,brevispinis,56.25,-142.75,7514:362:2,0.06
Sebastes,brevispinis,55.75,-141.75,7514:351:4,0.11
Sebastes,brevispinis,59.75,-139.25,7513:499:3,0.03
Sebastes,brevispinis,56.25,-131.75,7513:361:2,0.17
Sebastes,brevispinis,55.75,-129.75,7512:459:4,0.02
