Mapping parameters for Sebastes emphaeus (Puget Sound rockfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 67,
Bounding Box (NSWE): ,60,38,-152,-120

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,42,168,366
Temperature (°C),1,6.87,7.86,11.68,12.8
Salinity (psu),1,24.18,26.08,32.68,33.65
Primary Production (mgC·m-3·day-1) ,1,5.21,9.88,49.71,65.62
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.01
Dissolved Bottom Oxygen (mmol·m-3),0,10.06,24.62,298.56,304.9
Distance to Land (km),0,3,6,123,209
 

Map data (HSPEC) for predicted occurrences (n = 322): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,emphaeus,41.25,-124.25,7412:114:1,0.08
Sebastes,emphaeus,41.75,-124.25,7412:114:3,0.04
Sebastes,emphaeus,45.25,-124.75,7412:354:2,0.06
Sebastes,emphaeus,45.75,-124.25,7412:354:3,0.18
Sebastes,emphaeus,46.75,-124.25,7412:364:3,0.18
Sebastes,emphaeus,47.75,-123.25,7412:373:3,0.01
Sebastes,emphaeus,49.75,-123.25,7412:393:3,0.02
Sebastes,emphaeus,49.25,-125.25,7412:495:1,0.05
Sebastes,emphaeus,49.75,-126.25,7412:496:3,0.02
Sebastes,emphaeus,50.25,-123.75,7512:103:2,0.02
Sebastes,emphaeus,50.25,-124.25,7512:104:1,0.02
Sebastes,emphaeus,50.75,-124.75,7512:104:4,0.02
Sebastes,emphaeus,50.75,-125.25,7512:205:3,0.02
Sebastes,emphaeus,50.75,-125.75,7512:205:4,0.02
Sebastes,emphaeus,51.25,-125.75,7512:215:2,0.02
Sebastes,emphaeus,51.25,-126.75,7512:216:2,0.02
Sebastes,emphaeus,51.75,-127.25,7512:217:3,0.05
Sebastes,emphaeus,52.25,-127.25,7512:227:1,0.02
Sebastes,emphaeus,52.75,-127.25,7512:227:3,0.02
Sebastes,emphaeus,52.75,-127.75,7512:227:4,0.02
Sebastes,emphaeus,53.25,-128.25,7512:238:1,0.02
Sebastes,emphaeus,53.25,-128.75,7512:238:2,0.05
Sebastes,emphaeus,53.75,-128.25,7512:238:3,0.02
Sebastes,emphaeus,54.25,-128.75,7512:248:2,0.02
Sebastes,emphaeus,55.75,-129.75,7512:459:4,0.02
Sebastes,emphaeus,59.75,-139.25,7513:499:3,0.03
Sebastes,emphaeus,58.75,-147.75,7514:487:4,0.02
Sebastes,emphaeus,57.75,-150.75,7515:370:4,0.14
Sebastes,emphaeus,58.25,-150.75,7515:380:2,0.19
Sebastes,emphaeus,58.25,-151.25,7515:381:1,0.05
Sebastes,emphaeus,58.75,-151.75,7515:381:4,0.19
Sebastes,emphaeus,59.75,-150.25,7515:390:3,0.05
Sebastes,emphaeus,41.75,-124.75,7412:114:4,0.37
Sebastes,emphaeus,42.25,-124.25,7412:124:1,0.32
Sebastes,emphaeus,45.25,-123.75,7412:353:2,0.26
Sebastes,emphaeus,48.25,-122.75,7412:382:2,0.33
Sebastes,emphaeus,48.75,-126.75,7412:486:4,0.27
Sebastes,emphaeus,56.25,-131.75,7513:361:2,0.24
Sebastes,emphaeus,56.75,-133.75,7513:363:4,0.32
Sebastes,emphaeus,57.25,-133.25,7513:373:1,0.39
Sebastes,emphaeus,57.25,-133.75,7513:373:2,0.34
Sebastes,emphaeus,57.75,-133.75,7513:373:4,0.32
Sebastes,emphaeus,57.75,-134.25,7513:374:3,0.39
Sebastes,emphaeus,57.25,-151.25,7515:371:1,0.23
Sebastes,emphaeus,58.25,-150.25,7515:380:1,0.35
Sebastes,emphaeus,59.25,-151.25,7515:391:1,0.28
Sebastes,emphaeus,40.75,-124.25,7412:104:3,0.51
Sebastes,emphaeus,42.75,-124.25,7412:124:3,0.56
Sebastes,emphaeus,45.25,-124.25,7412:354:1,0.51
Sebastes,emphaeus,45.75,-124.75,7412:354:4,0.42
Sebastes,emphaeus,47.75,-122.25,7412:372:3,0.55
Sebastes,emphaeus,48.25,-122.25,7412:382:1,0.51
Sebastes,emphaeus,48.75,-122.25,7412:382:3,0.50
Sebastes,emphaeus,48.25,-123.25,7412:383:1,0.51
