Mapping parameters for Sebastes inermis ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  71,
Bounding Box (NSWE): ,45,30,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,7.64,13.96,21.63,28.23
Salinity (psu),1,31.32,32.87,34.15,34.72
Primary Production (mgC·m-3·day-1) ,1,4.42,7.93,63.21,80.11
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,69.69,162.84,260.15,293.57
Distance to Land (km),0,1,4,91,252
 

Map data (HSPEC) for predicted occurrences (n = 355): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,inermis,32.25,123.75,1312:123:2,0.14
Sebastes,inermis,32.75,123.75,1312:123:4,0.06
Sebastes,inermis,33.25,123.75,1312:133:2,0.13
Sebastes,inermis,33.75,123.75,1312:133:4,0.16
Sebastes,inermis,34.25,123.75,1312:143:2,0.11
Sebastes,inermis,34.75,123.75,1312:143:4,0.04
Sebastes,inermis,34.25,124.25,1312:144:1,0.16
Sebastes,inermis,34.25,124.75,1312:144:2,0.03
Sebastes,inermis,34.75,124.25,1312:144:3,0.02
Sebastes,inermis,30.75,128.25,1312:208:3,0.13
Sebastes,inermis,34.25,127.75,1312:247:2,0.02
Sebastes,inermis,38.25,128.25,1312:488:1,0.05
Sebastes,inermis,33.25,132.75,1313:132:2,0.09
Sebastes,inermis,31.75,139.75,1313:219:4,0.11
Sebastes,inermis,32.75,139.75,1313:229:4,0.06
Sebastes,inermis,34.75,136.75,1313:246:4,0.09
Sebastes,inermis,36.75,133.25,1313:363:3,0.15
Sebastes,inermis,37.25,132.25,1313:372:1,0.03
Sebastes,inermis,37.25,132.75,1313:372:2,0.11
Sebastes,inermis,37.25,133.25,1313:373:1,0.12
Sebastes,inermis,36.75,137.75,1313:467:4,0.18
Sebastes,inermis,38.25,136.75,1313:486:2,0.08
Sebastes,inermis,38.25,137.25,1313:487:1,0.18
Sebastes,inermis,38.75,138.25,1313:488:3,0.09
Sebastes,inermis,38.75,138.75,1313:488:4,0.08
Sebastes,inermis,39.25,138.75,1313:498:2,0.01
Sebastes,inermis,30.75,140.25,1314:100:3,0.11
Sebastes,inermis,33.75,140.25,1314:130:3,0.11
Sebastes,inermis,37.25,140.75,1314:370:2,0.09
Sebastes,inermis,37.25,141.75,1314:371:2,0.02
Sebastes,inermis,41.25,139.75,1413:219:2,0.19
Sebastes,inermis,41.75,139.25,1413:219:3,0.18
Sebastes,inermis,42.25,139.25,1413:229:1,0.03
Sebastes,inermis,43.25,140.25,1414:130:1,0.08
Sebastes,inermis,44.75,140.75,1414:140:4,0.04
Sebastes,inermis,44.25,141.25,1414:141:1,0.07
Sebastes,inermis,31.75,123.75,1312:113:4,0.36
Sebastes,inermis,32.75,124.25,1312:124:3,0.38
Sebastes,inermis,30.25,125.75,1312:205:2,0.38
Sebastes,inermis,31.75,128.75,1312:218:4,0.31
Sebastes,inermis,34.75,128.75,1312:248:4,0.23
Sebastes,inermis,35.25,128.75,1312:458:2,0.29
Sebastes,inermis,38.75,127.75,1312:487:4,0.37
Sebastes,inermis,30.25,131.25,1313:101:1,0.39
Sebastes,inermis,31.25,131.75,1313:111:2,0.36
Sebastes,inermis,34.75,133.75,1313:143:4,0.32
Sebastes,inermis,32.25,139.75,1313:229:2,0.25
Sebastes,inermis,36.75,132.75,1313:362:4,0.29
Sebastes,inermis,37.25,130.75,1313:370:2,0.31
Sebastes,inermis,37.75,130.75,1313:370:4,0.23
Sebastes,inermis,37.25,131.75,1313:371:2,0.35
Sebastes,inermis,36.25,135.25,1313:465:1,0.30
Sebastes,inermis,37.75,136.25,1313:476:3,0.27
Sebastes,inermis,43.75,141.25,1414:131:3,0.37
Sebastes,inermis,31.25,123.25,1312:113:1,0.52
Sebastes,inermis,32.25,124.25,1312:124:1,0.41
Sebastes,inermis,33.25,124.25,1312:134:1,0.40
Sebastes,inermis,33.25,124.75,1312:134:2,0.59
Sebastes,inermis,33.75,124.25,1312:134:3,0.41
Sebastes,inermis,30.25,125.25,1312:205:1,0.58
Sebastes,inermis,30.75,125.75,1312:205:4,0.46
Sebastes,inermis,30.75,126.25,1312:206:3,0.40
Sebastes,inermis,30.25,127.75,1312:207:2,0.54
Sebastes,inermis,30.25,129.75,1312:209:2,0.41
Sebastes,inermis,30.75,129.25,1312:209:3,0.58
Sebastes,inermis,30.75,129.75,1312:209:4,0.59
Sebastes,inermis,31.25,125.75,1312:215:2,0.58
Sebastes,inermis,31.25,128.25,1312:218:1,0.54
Sebastes,inermis,32.75,128.25,1312:228:3,0.41
Sebastes,inermis,32.25,129.25,1312:229:1,0.40
Sebastes,inermis,34.25,128.25,1312:248:1,0.43
Sebastes,inermis,35.25,129.25,1312:459:1,0.54
Sebastes,inermis,39.75,128.75,1312:498:4,0.46
Sebastes,inermis,30.25,130.25,1313:100:1,0.45
Sebastes,inermis,30.25,130.75,1313:100:2,0.49
Sebastes,inermis,30.75,131.25,1313:101:3,0.57
Sebastes,inermis,32.25,132.25,1313:122:1,0.46
Sebastes,inermis,33.25,135.75,1313:235:2,0.48
Sebastes,inermis,33.25,139.75,1313:239:2,0.40
Sebastes,inermis,33.75,139.75,1313:239:4,0.48
Sebastes,inermis,35.75,130.75,1313:350:4,0.58
Sebastes,inermis,35.75,131.75,1313:351:4,0.42
Sebastes,inermis,36.25,133.75,1313:363:2,0.40
Sebastes,inermis,37.75,137.25,1313:477:3,0.46
Sebastes,inermis,37.75,137.75,1313:477:4,0.47
Sebastes,inermis,38.25,138.25,1313:488:1,0.42
Sebastes,inermis,35.25,141.25,1314:351:1,0.42
Sebastes,inermis,40.75,139.75,1413:209:4,0.56
Sebastes,inermis,41.75,139.75,1413:219:4,0.58
Sebastes,inermis,42.25,139.75,1413:229:2,0.52
Sebastes,inermis,41.25,140.25,1414:110:1,0.49
Sebastes,inermis,42.25,141.75,1414:121:2,0.57
Sebastes,inermis,42.25,142.25,1414:122:1,0.54
Sebastes,inermis,30.75,123.25,1312:103:3,0.78
Sebastes,inermis,31.75,124.25,1312:114:3,0.63
Sebastes,inermis,31.75,124.75,1312:114:4,0.71
Sebastes,inermis,32.25,124.75,1312:124:2,0.60
Sebastes,inermis,32.75,124.75,1312:124:4,0.68
Sebastes,inermis,33.75,124.75,1312:134:4,0.72
Sebastes,inermis,30.75,125.25,1312:205:3,0.75
Sebastes,inermis,30.25,126.25,1312:206:1,0.71
Sebastes,inermis,30.75,127.75,1312:207:4,0.75
Sebastes,inermis,31.25,126.25,1312:216:1,0.68
Sebastes,inermis,31.25,127.75,1312:217:2,0.75
Sebastes,inermis,31.75,127.75,1312:217:4,0.76
Sebastes,inermis,31.25,129.25,1312:219:1,0.76
Sebastes,inermis,31.25,129.75,1312:219:2,0.77
Sebastes,inermis,32.25,127.75,1312:227:2,0.69
Sebastes,inermis,32.75,127.75,1312:227:4,0.63
Sebastes,inermis,33.75,125.25,1312:235:3,0.77
Sebastes,inermis,33.25,128.25,1312:238:1,0.77
Sebastes,inermis,35.25,129.75,1312:459:2,0.76
Sebastes,inermis,35.75,129.25,1312:459:3,0.64
Sebastes,inermis,36.25,129.25,1312:469:1,0.75
Sebastes,inermis,37.75,128.75,1312:478:4,0.78
Sebastes,inermis,30.75,130.25,1313:100:3,0.61
Sebastes,inermis,30.75,130.75,1313:100:4,0.65
Sebastes,inermis,31.25,130.75,1313:110:2,0.79
Sebastes,inermis,31.25,131.25,1313:111:1,0.75
Sebastes,inermis,31.75,131.75,1313:111:4,0.67
Sebastes,inermis,32.75,132.75,1313:122:4,0.76
Sebastes,inermis,32.75,133.25,1313:123:3,0.65
Sebastes,inermis,33.25,133.75,1313:133:2,0.77
Sebastes,inermis,33.25,134.25,1313:134:1,0.67
Sebastes,inermis,33.75,138.75,1313:238:4,0.66
Sebastes,inermis,34.25,139.25,1313:249:1,0.75
Sebastes,inermis,34.25,139.75,1313:249:2,0.65
Sebastes,inermis,35.25,139.25,1313:459:1,0.75
Sebastes,inermis,35.75,139.75,1313:459:4,0.73
Sebastes,inermis,37.75,136.75,1313:476:4,0.67
Sebastes,inermis,34.75,140.25,1314:140:3,0.74
Sebastes,inermis,38.75,141.25,1314:381:3,0.68
Sebastes,inermis,40.75,129.25,1412:209:3,0.75
