Mapping parameters for Sebastes miniatus (Vermilion rockfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 67 |  77,
Bounding Box (NSWE): ,54,27,-134,-114

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,183,274,274
Temperature (°C),1,4.3,10.56,17.67,23.94
Salinity (psu),1,24.8,29.87,33.48,34.9
Primary Production (mgC·m-3·day-1) ,1,3.05,8.81,64.1,93.7
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,12.99,253.89,375.25
Distance to Land (km),0,1,8,111,559
 

Map data (HSPEC) for predicted occurrences (n = 218): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,miniatus,53.75,-129.75,7512:239:4,0.13
Sebastes,miniatus,51.25,-127.25,7512:217:1,0.06
Sebastes,miniatus,50.25,-125.25,7512:205:1,0.14
Sebastes,miniatus,50.25,-124.75,7512:104:2,0.15
Sebastes,miniatus,46.75,-130.75,7413:360:4,0.17
Sebastes,miniatus,49.75,-124.75,7412:394:4,0.15
Sebastes,miniatus,49.75,-124.25,7412:394:3,0.19
Sebastes,miniatus,49.25,-124.25,7412:394:1,0.16
Sebastes,miniatus,49.75,-123.75,7412:393:4,0.04
Sebastes,miniatus,49.25,-123.75,7412:393:2,0.19
Sebastes,miniatus,49.25,-122.75,7412:392:2,0.01
Sebastes,miniatus,48.75,-123.75,7412:383:4,0.03
Sebastes,miniatus,48.75,-123.25,7412:383:3,0.15
Sebastes,miniatus,48.25,-123.75,7412:383:2,0.07
Sebastes,miniatus,48.25,-123.25,7412:383:1,0.05
Sebastes,miniatus,48.75,-122.75,7412:382:4,0.10
Sebastes,miniatus,48.75,-122.25,7412:382:3,0.01
Sebastes,miniatus,48.25,-122.25,7412:382:1,0.07
Sebastes,miniatus,47.75,-124.25,7412:374:3,0.16
Sebastes,miniatus,47.75,-122.25,7412:372:3,0.08
Sebastes,miniatus,47.25,-122.25,7412:372:1,0.07
Sebastes,miniatus,46.25,-124.25,7412:364:1,0.12
Sebastes,miniatus,46.25,-123.75,7412:363:2,0.06
Sebastes,miniatus,38.25,-122.75,7312:382:2,0.13
Sebastes,miniatus,38.25,-122.25,7312:382:1,0.07
Sebastes,miniatus,37.75,-122.75,7312:372:4,0.13
Sebastes,miniatus,34.75,-120.25,7312:140:3,0.04
Sebastes,miniatus,34.25,-118.25,7311:248:1,0.01
Sebastes,miniatus,30.75,-115.75,7311:205:4,0.01
Sebastes,miniatus,29.75,-115.25,7211:495:3,0.17
Sebastes,miniatus,27.75,-114.25,7211:374:3,0.08
Sebastes,miniatus,53.75,-131.25,7513:131:3,0.30
Sebastes,miniatus,53.25,-131.25,7513:131:1,0.24
Sebastes,miniatus,52.75,-128.75,7512:228:4,0.38
Sebastes,miniatus,50.25,-127.25,7512:207:1,0.21
Sebastes,miniatus,50.75,-126.75,7512:206:4,0.36
Sebastes,miniatus,50.25,-126.25,7512:206:1,0.33
Sebastes,miniatus,50.25,-125.75,7512:205:2,0.22
Sebastes,miniatus,49.75,-125.25,7412:495:3,0.36
Sebastes,miniatus,49.25,-124.75,7412:394:2,0.37
Sebastes,miniatus,49.25,-123.25,7412:393:1,0.23
Sebastes,miniatus,48.75,-124.25,7412:384:3,0.24
Sebastes,miniatus,48.25,-124.25,7412:384:1,0.21
Sebastes,miniatus,46.75,-123.75,7412:363:4,0.22
Sebastes,miniatus,32.25,-119.25,7311:229:1,0.38
Sebastes,miniatus,29.25,-114.75,7211:394:2,0.36
Sebastes,miniatus,53.75,-132.25,7513:132:3,0.50
Sebastes,miniatus,50.75,-126.25,7512:206:3,0.54
Sebastes,miniatus,49.25,-125.75,7412:495:2,0.54
Sebastes,miniatus,48.75,-124.75,7412:384:4,0.49
Sebastes,miniatus,48.25,-124.75,7412:384:2,0.49
Sebastes,miniatus,46.75,-124.25,7412:364:3,0.50
Sebastes,miniatus,45.75,-124.25,7412:354:3,0.47
Sebastes,miniatus,45.75,-123.75,7412:353:4,0.40
Sebastes,miniatus,37.25,-122.75,7312:372:2,0.43
Sebastes,miniatus,37.25,-122.25,7312:372:1,0.41
Sebastes,miniatus,36.25,-121.25,7312:361:1,0.56
Sebastes,miniatus,32.75,-119.75,7311:229:4,0.52
Sebastes,miniatus,28.75,-118.25,7211:488:3,0.59
Sebastes,miniatus,28.75,-114.25,7211:384:3,0.41
