Mapping parameters for Sebastes nebulosus (China rockfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  67 |  77 ,
Bounding Box (NSWE): ,60,32,-155,-117

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,16,92,128
Temperature (°C),1,6.33,8.07,14.21,17.12
Salinity (psu),1,25.46,28.51,33.09,37.16
Primary Production (mgC·m-3·day-1) ,1,3.05,11.89,64.92,99.82
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,13.1,83.94,293.3,310.5
Distance to Land (km),0,0,4,74,559
 

Map data (HSPEC) for predicted occurrences (n = 290): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,nebulosus,59.25,-140.75,7514:390:2,0.06
Sebastes,nebulosus,50.25,-125.25,7512:205:1,0.02
Sebastes,nebulosus,50.25,-124.75,7512:104:2,0.03
Sebastes,nebulosus,46.75,-130.75,7413:360:4,0.02
Sebastes,nebulosus,49.75,-124.75,7412:394:4,0.03
Sebastes,nebulosus,49.75,-124.25,7412:394:3,0.10
Sebastes,nebulosus,49.25,-124.25,7412:394:1,0.04
Sebastes,nebulosus,49.75,-123.75,7412:393:4,0.11
Sebastes,nebulosus,49.25,-123.75,7412:393:2,0.09
Sebastes,nebulosus,49.25,-123.25,7412:393:1,0.16
Sebastes,nebulosus,49.25,-122.75,7412:392:2,0.07
Sebastes,nebulosus,48.75,-124.25,7412:384:3,0.18
Sebastes,nebulosus,48.75,-123.75,7412:383:4,0.04
Sebastes,nebulosus,48.75,-123.25,7412:383:3,0.03
Sebastes,nebulosus,48.75,-122.75,7412:382:4,0.04
Sebastes,nebulosus,46.25,-124.25,7412:364:1,0.08
Sebastes,nebulosus,44.75,-124.75,7412:144:4,0.03
Sebastes,nebulosus,37.75,-122.25,7312:372:3,0.18
Sebastes,nebulosus,34.25,-118.75,7311:248:2,0.18
Sebastes,nebulosus,33.75,-118.75,7311:238:4,0.05
Sebastes,nebulosus,33.25,-118.75,7311:238:2,0.05
Sebastes,nebulosus,32.75,-119.25,7311:229:3,0.14
Sebastes,nebulosus,32.25,-119.25,7311:229:1,0.07
Sebastes,nebulosus,32.75,-118.75,7311:228:4,0.07
Sebastes,nebulosus,57.75,-150.75,7515:370:4,0.35
Sebastes,nebulosus,59.25,-145.75,7514:495:2,0.31
Sebastes,nebulosus,57.75,-149.75,7514:479:4,0.26
Sebastes,nebulosus,58.75,-140.25,7514:380:3,0.25
Sebastes,nebulosus,58.75,-139.75,7513:489:4,0.31
Sebastes,nebulosus,57.75,-134.25,7513:374:3,0.37
Sebastes,nebulosus,57.75,-133.75,7513:373:4,0.32
Sebastes,nebulosus,57.25,-133.75,7513:373:2,0.33
Sebastes,nebulosus,57.25,-133.25,7513:373:1,0.36
Sebastes,nebulosus,49.75,-125.25,7412:495:3,0.38
Sebastes,nebulosus,48.25,-124.25,7412:384:1,0.20
Sebastes,nebulosus,46.75,-123.75,7412:363:4,0.22
Sebastes,nebulosus,40.25,-124.75,7412:104:2,0.36
Sebastes,nebulosus,37.75,-122.75,7312:372:4,0.29
Sebastes,nebulosus,34.25,-119.25,7311:249:1,0.35
Sebastes,nebulosus,33.75,-119.25,7311:239:3,0.20
Sebastes,nebulosus,33.25,-119.25,7311:239:1,0.30
Sebastes,nebulosus,59.25,-151.25,7515:391:1,0.47
Sebastes,nebulosus,58.75,-151.25,7515:381:3,0.53
Sebastes,nebulosus,58.25,-150.25,7515:380:1,0.50
Sebastes,nebulosus,57.25,-151.25,7515:371:1,0.42
Sebastes,nebulosus,57.75,-150.25,7515:370:3,0.58
Sebastes,nebulosus,57.25,-150.75,7515:370:2,0.58
Sebastes,nebulosus,56.75,-151.75,7515:361:4,0.53
Sebastes,nebulosus,59.25,-147.25,7514:497:1,0.58
Sebastes,nebulosus,58.75,-148.75,7514:488:4,0.55
Sebastes,nebulosus,58.25,-137.75,7513:487:2,0.47
Sebastes,nebulosus,58.75,-136.25,7513:486:3,0.58
Sebastes,nebulosus,58.25,-134.75,7513:384:2,0.59
Sebastes,nebulosus,58.25,-134.25,7513:384:1,0.51
Sebastes,nebulosus,57.75,-134.75,7513:374:4,0.56
Sebastes,nebulosus,57.25,-134.25,7513:374:1,0.50
Sebastes,nebulosus,52.75,-130.25,7513:120:3,0.48
Sebastes,nebulosus,52.25,-129.75,7512:229:2,0.41
Sebastes,nebulosus,50.25,-125.75,7512:205:2,0.58
Sebastes,nebulosus,48.25,-125.75,7412:485:2,0.48
Sebastes,nebulosus,49.25,-124.75,7412:394:2,0.40
Sebastes,nebulosus,45.75,-124.25,7412:354:3,0.57
Sebastes,nebulosus,38.25,-122.75,7312:382:2,0.57
Sebastes,nebulosus,38.25,-122.25,7312:382:1,0.40
Sebastes,nebulosus,37.25,-122.75,7312:372:2,0.54
Sebastes,nebulosus,37.25,-122.25,7312:372:1,0.52
Sebastes,nebulosus,34.25,-119.75,7311:249:2,0.52
Sebastes,nebulosus,33.75,-119.75,7311:239:4,0.44
Sebastes,nebulosus,33.25,-119.75,7311:239:2,0.54
Sebastes,nebulosus,59.25,-150.75,7515:390:2,0.66
Sebastes,nebulosus,59.25,-150.25,7515:390:1,0.74
Sebastes,nebulosus,58.75,-150.75,7515:380:4,0.64
Sebastes,nebulosus,58.75,-150.25,7515:380:3,0.71
Sebastes,nebulosus,59.75,-149.75,7514:499:4,0.70
Sebastes,nebulosus,59.75,-149.25,7514:499:3,0.79
Sebastes,nebulosus,59.25,-149.25,7514:499:1,0.71
Sebastes,nebulosus,58.75,-149.75,7514:489:4,0.72
Sebastes,nebulosus,58.75,-149.25,7514:489:3,0.64
Sebastes,nebulosus,58.25,-149.75,7514:489:2,0.63
Sebastes,nebulosus,58.25,-149.25,7514:489:1,0.75
Sebastes,nebulosus,58.25,-136.25,7513:486:1,0.76
Sebastes,nebulosus,58.75,-135.25,7513:485:3,0.62
Sebastes,nebulosus,58.25,-135.75,7513:485:2,0.60
Sebastes,nebulosus,58.25,-135.25,7513:485:1,0.65
