Mapping parameters for Sebastes proriger (Redstripe rockfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  67 |  77,
Bounding Box (NSWE): ,66,32,179,-117

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,12,183,274,425
Temperature (°C),1,0.54,5.35,11.17,15.97
Salinity (psu),1,24.18,29.7,32.71,34.26
Primary Production (mgC·m-3·day-1) ,1,3.05,9.55,26.48,81.09
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.04
Dissolved Bottom Oxygen (mmol·m-3),0,13.1,39.79,294.95,312
Distance to Land (km),0,2,11,153,749
 

Map data (HSPEC) for predicted occurrences (n = 757): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,proriger,60.25,-179.25,7617:209:1,0.03
Sebastes,proriger,60.25,-152.75,7615:102:2,0.07
Sebastes,proriger,60.25,-152.25,7615:102:1,0.07
Sebastes,proriger,61.25,-148.25,7614:218:1,0.01
Sebastes,proriger,61.25,-147.75,7614:217:2,0.09
Sebastes,proriger,61.25,-146.75,7614:216:2,0.06
Sebastes,proriger,60.75,-149.75,7614:209:4,0.01
Sebastes,proriger,60.75,-145.75,7614:205:4,0.18
Sebastes,proriger,60.25,-139.25,7613:209:1,0.10
Sebastes,proriger,59.75,-178.75,7517:498:4,0.08
Sebastes,proriger,59.75,-178.25,7517:498:3,0.04
Sebastes,proriger,59.25,-178.25,7517:498:1,0.15
Sebastes,proriger,59.25,-177.75,7517:497:2,0.12
Sebastes,proriger,59.25,-177.25,7517:497:1,0.10
Sebastes,proriger,59.25,-176.75,7517:496:2,0.07
Sebastes,proriger,59.25,-176.25,7517:496:1,0.02
Sebastes,proriger,58.75,-176.25,7517:486:3,0.19
Sebastes,proriger,58.75,-175.75,7517:485:4,0.17
Sebastes,proriger,58.75,-175.25,7517:485:3,0.14
Sebastes,proriger,58.75,-174.75,7517:384:4,0.11
Sebastes,proriger,58.75,-174.25,7517:384:3,0.04
Sebastes,proriger,58.25,-172.75,7517:382:2,0.13
Sebastes,proriger,58.25,-172.25,7517:382:1,0.05
Sebastes,proriger,57.75,-170.75,7517:370:4,0.09
Sebastes,proriger,57.75,-170.25,7517:370:3,0.04
Sebastes,proriger,57.25,-170.25,7517:370:1,0.15
Sebastes,proriger,54.25,-179.75,7517:249:2,0.15
Sebastes,proriger,53.75,-179.75,7517:239:4,0.18
Sebastes,proriger,57.75,-169.75,7516:479:4,0.02
Sebastes,proriger,57.25,-169.75,7516:479:2,0.17
Sebastes,proriger,57.25,-167.75,7516:477:2,0.16
Sebastes,proriger,57.25,-167.25,7516:477:1,0.08
Sebastes,proriger,57.25,-166.75,7516:476:2,0.02
Sebastes,proriger,56.75,-165.75,7516:465:4,0.18
Sebastes,proriger,56.75,-165.25,7516:465:3,0.17
Sebastes,proriger,57.25,-163.75,7516:373:2,0.02
Sebastes,proriger,57.25,-163.25,7516:373:1,0.02
Sebastes,proriger,57.75,-162.25,7516:372:3,0.01
Sebastes,proriger,57.25,-162.75,7516:372:2,0.03
Sebastes,proriger,57.25,-162.25,7516:372:1,0.04
Sebastes,proriger,57.75,-161.75,7516:371:4,0.01
Sebastes,proriger,57.75,-161.25,7516:371:3,0.02
Sebastes,proriger,57.25,-161.75,7516:371:2,0.06
Sebastes,proriger,57.25,-161.25,7516:371:1,0.09
Sebastes,proriger,57.75,-160.75,7516:370:4,0.03
Sebastes,proriger,57.75,-160.25,7516:370:3,0.03
Sebastes,proriger,57.25,-160.75,7516:370:2,0.12
Sebastes,proriger,57.25,-160.25,7516:370:1,0.12
Sebastes,proriger,56.75,-164.75,7516:364:4,0.17
Sebastes,proriger,56.75,-164.25,7516:364:3,0.17
Sebastes,proriger,56.75,-163.75,7516:363:4,0.15
Sebastes,proriger,56.75,-163.25,7516:363:3,0.14
