Mapping parameters for Sebastes saxicola (Stripetail rockfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 67 |  77,
Bounding Box (NSWE): ,60,27,-145,-114

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,9,183,251,547
Temperature (°C),1,4.47,9.96,17.32,21.13
Salinity (psu),1,25.14,29.18,33.46,36.57
Primary Production (mgC·m-3·day-1) ,1,0.13,9.88,60.46,90.08
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,13.16,276.64,382.66
Distance to Land (km),0,2,8,111,1597
 

Map data (HSPEC) for predicted occurrences (n = 352): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,saxicola,59.25,-144.75,7514:394:2,0.16
Sebastes,saxicola,50.75,-143.25,7514:103:3,0.07
Sebastes,saxicola,56.75,-133.75,7513:363:4,0.04
Sebastes,saxicola,55.75,-133.25,7513:353:3,0.11
Sebastes,saxicola,55.25,-132.75,7513:352:2,0.06
Sebastes,saxicola,54.75,-129.75,7512:249:4,0.15
Sebastes,saxicola,53.75,-129.75,7512:239:4,0.16
Sebastes,saxicola,51.25,-127.25,7512:217:1,0.10
Sebastes,saxicola,50.25,-125.25,7512:205:1,0.09
Sebastes,saxicola,50.25,-124.75,7512:104:2,0.10
Sebastes,saxicola,49.75,-124.75,7412:394:4,0.10
Sebastes,saxicola,49.75,-124.25,7412:394:3,0.15
Sebastes,saxicola,49.25,-124.25,7412:394:1,0.11
Sebastes,saxicola,49.75,-123.75,7412:393:4,0.04
Sebastes,saxicola,49.25,-123.75,7412:393:2,0.15
Sebastes,saxicola,49.25,-122.75,7412:392:2,0.01
Sebastes,saxicola,48.75,-123.75,7412:383:4,0.02
Sebastes,saxicola,48.75,-123.25,7412:383:3,0.10
Sebastes,saxicola,48.25,-123.75,7412:383:2,0.03
Sebastes,saxicola,48.75,-122.75,7412:382:4,0.08
Sebastes,saxicola,47.75,-122.25,7412:372:3,0.02
Sebastes,saxicola,47.25,-122.25,7412:372:1,0.04
Sebastes,saxicola,46.25,-124.25,7412:364:1,0.08
Sebastes,saxicola,46.75,-123.75,7412:363:4,0.18
Sebastes,saxicola,46.25,-123.75,7412:363:2,0.03
Sebastes,saxicola,38.25,-122.75,7312:382:2,0.10
Sebastes,saxicola,38.25,-122.25,7312:382:1,0.04
Sebastes,saxicola,37.75,-122.75,7312:372:4,0.01
Sebastes,saxicola,34.75,-120.25,7312:140:3,0.07
Sebastes,saxicola,32.75,-120.25,7312:120:3,0.11
Sebastes,saxicola,34.25,-118.25,7311:248:1,0.04
Sebastes,saxicola,31.25,-119.25,7311:219:1,0.01
Sebastes,saxicola,31.25,-118.75,7311:218:2,0.09
Sebastes,saxicola,31.25,-118.25,7311:218:1,0.08
Sebastes,saxicola,31.75,-117.25,7311:217:3,0.09
Sebastes,saxicola,30.75,-115.75,7311:205:4,0.02
Sebastes,saxicola,29.25,-116.75,7211:496:2,0.12
Sebastes,saxicola,29.75,-115.25,7211:495:3,0.18
Sebastes,saxicola,27.75,-114.25,7211:374:3,0.07
Sebastes,saxicola,58.75,-141.25,7514:381:3,0.35
Sebastes,saxicola,56.25,-142.75,7514:362:2,0.23
Sebastes,saxicola,55.75,-141.75,7514:351:4,0.29
Sebastes,saxicola,57.75,-135.75,7513:475:4,0.36
Sebastes,saxicola,57.25,-135.25,7513:475:1,0.37
Sebastes,saxicola,57.75,-134.25,7513:374:3,0.26
Sebastes,saxicola,57.25,-134.25,7513:374:1,0.37
Sebastes,saxicola,57.75,-133.75,7513:373:4,0.28
Sebastes,saxicola,57.25,-133.75,7513:373:2,0.28
Sebastes,saxicola,57.25,-133.25,7513:373:1,0.30
Sebastes,saxicola,56.75,-133.25,7513:363:3,0.22
Sebastes,saxicola,53.75,-131.25,7513:131:3,0.35
Sebastes,saxicola,53.25,-131.25,7513:131:1,0.29
Sebastes,saxicola,54.25,-129.75,7512:249:2,0.21
Sebastes,saxicola,50.25,-127.25,7512:207:1,0.27
Sebastes,saxicola,50.25,-125.75,7512:205:2,0.26
Sebastes,saxicola,49.75,-125.25,7412:495:3,0.37
Sebastes,saxicola,49.25,-124.75,7412:394:2,0.38
Sebastes,saxicola,49.25,-123.25,7412:393:1,0.20
Sebastes,saxicola,48.75,-124.25,7412:384:3,0.21
Sebastes,saxicola,48.25,-124.25,7412:384:1,0.22
Sebastes,saxicola,47.75,-124.25,7412:374:3,0.20
Sebastes,saxicola,45.75,-123.75,7412:353:4,0.38
Sebastes,saxicola,37.25,-122.75,7312:372:2,0.30
Sebastes,saxicola,37.25,-122.25,7312:372:1,0.29
Sebastes,saxicola,34.25,-121.25,7312:141:1,0.20
Sebastes,saxicola,32.25,-119.75,7311:229:2,0.21
Sebastes,saxicola,29.75,-116.25,7211:496:3,0.39
Sebastes,saxicola,29.25,-116.25,7211:496:1,0.27
Sebastes,saxicola,29.25,-114.75,7211:394:2,0.36
Sebastes,saxicola,28.75,-114.25,7211:384:3,0.34
Sebastes,saxicola,58.75,-136.25,7513:486:3,0.52
Sebastes,saxicola,58.25,-136.25,7513:486:1,0.58
Sebastes,saxicola,58.75,-135.25,7513:485:3,0.54
Sebastes,saxicola,58.25,-135.75,7513:485:2,0.53
Sebastes,saxicola,58.25,-135.25,7513:485:1,0.54
Sebastes,saxicola,57.75,-135.25,7513:475:3,0.59
Sebastes,saxicola,58.25,-134.75,7513:384:2,0.53
Sebastes,saxicola,58.25,-134.25,7513:384:1,0.40
Sebastes,saxicola,57.75,-134.75,7513:374:4,0.40
Sebastes,saxicola,57.25,-134.75,7513:374:2,0.41
Sebastes,saxicola,56.75,-134.75,7513:364:4,0.58
Sebastes,saxicola,56.75,-134.25,7513:364:3,0.52
Sebastes,saxicola,56.25,-133.75,7513:363:2,0.59
Sebastes,saxicola,56.25,-133.25,7513:363:1,0.52
Sebastes,saxicola,56.75,-132.75,7513:362:4,0.44
Sebastes,saxicola,56.25,-132.75,7513:362:2,0.55
Sebastes,saxicola,56.25,-132.25,7513:362:1,0.50
Sebastes,saxicola,55.75,-133.75,7513:353:4,0.44
Sebastes,saxicola,55.25,-133.25,7513:353:1,0.44
Sebastes,saxicola,55.75,-132.75,7513:352:4,0.54
Sebastes,saxicola,55.25,-130.75,7513:350:2,0.42
Sebastes,saxicola,53.25,-135.75,7513:235:2,0.44
Sebastes,saxicola,54.25,-130.25,7513:140:1,0.55
Sebastes,saxicola,53.75,-133.75,7513:133:4,0.48
