Mapping parameters for Sebastes taczanowskii ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,12,59,120
Temperature (°C),1,-1.52,4.71,18.4,23.25
Salinity (psu),1,30.45,32.12,33.63,35.41
Primary Production (mgC·m-3·day-1) ,1,4.1,8.3,39.6,40.6
Sea Ice Concentration (0-1 fraction),1,-0.97,0,0.19,0.19
Dissolved Bottom Oxygen (mmol·m-3),0,136.23,213.9,353.35,374.11
Distance to Land (km),0,0.5,3,20,28.5
 

Map data (HSPEC) for predicted occurrences (n = 1033): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,taczanowskii,23.75,117.75,1211:237:4,0.10
Sebastes,taczanowskii,23.75,118.25,1211:238:3,0.06
Sebastes,taczanowskii,24.25,118.25,1211:248:1,0.14
Sebastes,taczanowskii,24.25,118.75,1211:248:2,0.06
Sebastes,taczanowskii,24.75,118.75,1211:248:4,0.10
Sebastes,taczanowskii,24.75,119.25,1211:249:3,0.08
Sebastes,taczanowskii,25.25,118.75,1211:458:2,0.06
Sebastes,taczanowskii,25.25,119.75,1211:459:2,0.09
Sebastes,taczanowskii,25.25,120.25,1212:350:1,0.04
Sebastes,taczanowskii,25.75,120.25,1212:350:3,0.18
Sebastes,taczanowskii,26.25,120.25,1212:360:1,0.16
Sebastes,taczanowskii,26.25,120.75,1212:360:2,0.13
Sebastes,taczanowskii,26.75,120.75,1212:360:4,0.14
Sebastes,taczanowskii,26.75,121.25,1212:361:3,0.14
Sebastes,taczanowskii,27.25,121.75,1212:371:2,0.17
Sebastes,taczanowskii,27.25,122.25,1212:372:1,0.01
Sebastes,taczanowskii,27.75,122.25,1212:372:3,0.15
Sebastes,taczanowskii,27.75,122.75,1212:372:4,0.04
Sebastes,taczanowskii,27.75,123.25,1212:373:3,0.03
Sebastes,taczanowskii,27.75,123.75,1212:373:4,0.03
Sebastes,taczanowskii,27.75,124.25,1212:374:3,0.03
Sebastes,taczanowskii,28.25,122.75,1212:382:2,0.18
Sebastes,taczanowskii,28.25,123.25,1212:383:1,0.14
Sebastes,taczanowskii,28.25,123.75,1212:383:2,0.11
Sebastes,taczanowskii,28.25,124.25,1212:384:1,0.10
Sebastes,taczanowskii,28.25,124.75,1212:384:2,0.07
Sebastes,taczanowskii,28.75,124.25,1212:384:3,0.13
Sebastes,taczanowskii,28.75,124.75,1212:384:4,0.13
Sebastes,taczanowskii,29.75,122.75,1212:392:4,0.18
Sebastes,taczanowskii,29.25,124.75,1212:394:2,0.19
Sebastes,taczanowskii,28.25,125.25,1212:485:1,0.02
Sebastes,taczanowskii,28.75,125.25,1212:485:3,0.09
Sebastes,taczanowskii,28.75,125.75,1212:485:4,0.03
Sebastes,taczanowskii,29.25,125.25,1212:495:1,0.17
Sebastes,taczanowskii,29.25,125.75,1212:495:2,0.10
Sebastes,taczanowskii,29.25,126.25,1212:496:1,0.06
Sebastes,taczanowskii,29.75,126.25,1212:496:3,0.18
Sebastes,taczanowskii,29.75,126.75,1212:496:4,0.08
Sebastes,taczanowskii,32.25,123.25,1312:123:1,0.17
Sebastes,taczanowskii,32.75,123.25,1312:123:3,0.11
Sebastes,taczanowskii,33.25,123.25,1312:133:1,0.15
Sebastes,taczanowskii,33.75,123.25,1312:133:3,0.13
Sebastes,taczanowskii,34.25,122.75,1312:142:2,0.02
Sebastes,taczanowskii,34.75,122.75,1312:142:4,0.06
Sebastes,taczanowskii,34.25,123.25,1312:143:1,0.15
Sebastes,taczanowskii,34.75,123.25,1312:143:3,0.11
Sebastes,taczanowskii,34.75,123.75,1312:143:4,0.14
Sebastes,taczanowskii,34.25,124.75,1312:144:2,0.12
Sebastes,taczanowskii,34.75,124.25,1312:144:3,0.09
Sebastes,taczanowskii,30.25,127.25,1312:207:1,0.03
Sebastes,taczanowskii,30.75,127.25,1312:207:3,0.13
Sebastes,taczanowskii,31.25,127.25,1312:217:1,0.11
Sebastes,taczanowskii,31.25,127.75,1312:217:2,0.02
Sebastes,taczanowskii,31.75,127.25,1312:217:3,0.10
Sebastes,taczanowskii,31.75,127.75,1312:217:4,0.02
Sebastes,taczanowskii,31.75,128.25,1312:218:3,0.09
Sebastes,taczanowskii,31.25,129.25,1312:219:1,0.01
Sebastes,taczanowskii,31.25,129.75,1312:219:2,0.01
Sebastes,taczanowskii,31.75,129.75,1312:219:4,0.16
Sebastes,taczanowskii,32.25,126.75,1312:226:2,0.19
Sebastes,taczanowskii,32.25,127.25,1312:227:1,0.04
Sebastes,taczanowskii,32.75,127.25,1312:227:3,0.08
Sebastes,taczanowskii,32.25,128.25,1312:228:1,0.18
Sebastes,taczanowskii,32.25,128.75,1312:228:2,0.06
Sebastes,taczanowskii,33.25,127.75,1312:237:2,0.14
Sebastes,taczanowskii,33.25,128.25,1312:238:1,0.01
Sebastes,taczanowskii,33.75,128.75,1312:238:4,0.17
Sebastes,taczanowskii,34.25,125.25,1312:245:1,0.07
Sebastes,taczanowskii,34.25,125.75,1312:245:2,0.12
Sebastes,taczanowskii,34.75,125.25,1312:245:3,0.04
Sebastes,taczanowskii,34.75,125.75,1312:245:4,0.06
Sebastes,taczanowskii,34.25,126.25,1312:246:1,0.07
Sebastes,taczanowskii,35.25,122.25,1312:352:1,0.01
Sebastes,taczanowskii,35.25,122.75,1312:352:2,0.04
Sebastes,taczanowskii,35.75,122.75,1312:352:4,0.01
Sebastes,taczanowskii,35.25,123.25,1312:353:1,0.01
Sebastes,taczanowskii,37.25,124.75,1312:374:2,0.03
Sebastes,taczanowskii,37.75,124.75,1312:374:4,0.02
Sebastes,taczanowskii,38.25,124.25,1312:384:1,0.01
Sebastes,taczanowskii,38.75,124.75,1312:384:4,0.07
Sebastes,taczanowskii,39.25,122.25,1312:392:1,0.01
Sebastes,taczanowskii,39.75,123.75,1312:393:4,0.14
Sebastes,taczanowskii,39.25,124.75,1312:394:2,0.03
Sebastes,taczanowskii,39.75,124.25,1312:394:3,0.15
Sebastes,taczanowskii,39.75,124.75,1312:394:4,0.01
Sebastes,taczanowskii,35.25,125.25,1312:455:1,0.03
Sebastes,taczanowskii,35.25,125.75,1312:455:2,0.08
Sebastes,taczanowskii,35.75,125.75,1312:455:4,0.09
Sebastes,taczanowskii,35.25,127.75,1312:457:2,0.03
Sebastes,taczanowskii,35.25,128.25,1312:458:1,0.09
Sebastes,taczanowskii,36.25,125.75,1312:465:2,0.02
Sebastes,taczanowskii,37.25,125.25,1312:475:1,0.01
Sebastes,taczanowskii,38.25,128.25,1312:488:1,0.17
Sebastes,taczanowskii,39.75,125.25,1312:495:3,0.17
Sebastes,taczanowskii,39.75,125.75,1312:495:4,0.03
Sebastes,taczanowskii,31.25,130.25,1313:110:1,0.05
Sebastes,taczanowskii,31.25,130.75,1313:110:2,0.03
Sebastes,taczanowskii,31.75,130.25,1313:110:3,0.19
Sebastes,taczanowskii,31.75,130.75,1313:110:4,0.14
Sebastes,taczanowskii,31.75,131.25,1313:111:3,0.05
Sebastes,taczanowskii,32.25,131.75,1313:121:2,0.06
Sebastes,taczanowskii,32.75,131.75,1313:121:4,0.19
Sebastes,taczanowskii,32.75,132.25,1313:122:3,0.10
Sebastes,taczanowskii,32.75,132.75,1313:122:4,0.04
Sebastes,taczanowskii,33.25,132.75,1313:132:2,0.05
Sebastes,taczanowskii,33.25,133.25,1313:133:1,0.13
Sebastes,taczanowskii,33.25,133.75,1313:133:2,0.10
Sebastes,taczanowskii,33.25,134.25,1313:134:1,0.06
Sebastes,taczanowskii,33.75,138.75,1313:238:4,0.12
Sebastes,taczanowskii,33.25,139.75,1313:239:2,0.05
Sebastes,taczanowskii,33.75,139.75,1313:239:4,0.08
Sebastes,taczanowskii,34.25,138.75,1313:248:2,0.17
Sebastes,taczanowskii,34.25,139.75,1313:249:2,0.16
Sebastes,taczanowskii,37.75,137.75,1313:477:4,0.14
Sebastes,taczanowskii,38.75,138.25,1313:488:3,0.01
Sebastes,taczanowskii,30.75,140.25,1314:100:3,0.01
Sebastes,taczanowskii,35.25,140.25,1314:350:1,0.18
Sebastes,taczanowskii,37.25,140.75,1314:370:2,0.17
Sebastes,taczanowskii,42.75,130.75,1413:120:4,0.13
Sebastes,taczanowskii,42.25,131.25,1413:121:1,0.10
Sebastes,taczanowskii,41.75,139.25,1413:219:3,0.15
Sebastes,taczanowskii,41.75,139.75,1413:219:4,0.17
Sebastes,taczanowskii,42.25,139.25,1413:229:1,0.09
Sebastes,taczanowskii,47.75,139.75,1413:479:4,0.18
Sebastes,taczanowskii,43.25,140.25,1414:130:1,0.16
Sebastes,taczanowskii,43.25,144.25,1414:134:1,0.17
