Mapping parameters for Sebastes variegatus (Harlequin rockfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  67,
Bounding Box (NSWE): ,55,45,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,70,127,291,558
Temperature (°C),1,-0.94,5.35,10.34,16.07
Salinity (psu),1,25.55,30.64,32.85,34.52
Primary Production (mgC·m-3·day-1) ,1,5.17,6.45,19.8,38.39
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,16.57,33.49,289.27,389.15
Distance to Land (km),0,11,15,102,213
 

Map data (HSPEC) for predicted occurrences (n = 219): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,variegatus,51.25,178.25,1517:218:1,0.04
Sebastes,variegatus,52.75,175.25,1517:225:3,0.09
Sebastes,variegatus,46.25,-124.75,7412:364:2,0.01
Sebastes,variegatus,47.25,-124.75,7412:374:2,0.19
Sebastes,variegatus,47.75,-124.75,7412:374:4,0.16
Sebastes,variegatus,48.75,-122.75,7412:382:4,0.01
Sebastes,variegatus,48.25,-124.25,7412:384:1,0.10
Sebastes,variegatus,48.75,-124.25,7412:384:3,0.08
Sebastes,variegatus,49.25,-123.25,7412:393:1,0.02
Sebastes,variegatus,49.25,-123.75,7412:393:2,0.03
Sebastes,variegatus,49.25,-124.25,7412:394:1,0.01
Sebastes,variegatus,49.25,-124.75,7412:394:2,0.17
Sebastes,variegatus,49.75,-124.25,7412:394:3,0.02
Sebastes,variegatus,49.75,-125.25,7412:495:3,0.10
Sebastes,variegatus,50.25,-125.75,7512:205:2,0.04
Sebastes,variegatus,50.25,-126.25,7512:206:1,0.12
Sebastes,variegatus,50.75,-126.25,7512:206:3,0.19
Sebastes,variegatus,50.75,-126.75,7512:206:4,0.18
Sebastes,variegatus,53.75,-131.25,7513:131:3,0.08
Sebastes,variegatus,52.75,-172.75,7517:122:4,0.11
Sebastes,variegatus,51.75,175.25,1517:215:3,0.35
Sebastes,variegatus,52.75,179.75,1517:229:4,0.27
Sebastes,variegatus,45.25,-124.75,7412:354:2,0.31
Sebastes,variegatus,48.25,-124.75,7412:384:2,0.36
Sebastes,variegatus,48.75,-124.75,7412:384:4,0.32
Sebastes,variegatus,50.75,-127.25,7512:207:3,0.27
Sebastes,variegatus,50.75,-127.75,7512:207:4,0.39
Sebastes,variegatus,52.75,-128.75,7512:228:4,0.27
Sebastes,variegatus,53.75,-128.75,7512:238:4,0.22
Sebastes,variegatus,53.75,-129.25,7512:239:3,0.24
Sebastes,variegatus,54.25,-130.25,7513:140:1,0.22
Sebastes,variegatus,54.75,-131.25,7513:141:3,0.32
Sebastes,variegatus,52.25,-169.25,7516:229:1,0.37
Sebastes,variegatus,54.25,-167.25,7516:247:1,0.21
Sebastes,variegatus,52.75,-179.25,7517:229:3,0.32
Sebastes,variegatus,52.75,-179.75,7517:229:4,0.29
Sebastes,variegatus,51.75,175.75,1517:215:4,0.53
Sebastes,variegatus,52.25,176.25,1517:226:1,0.47
Sebastes,variegatus,45.75,-124.75,7412:354:4,0.40
Sebastes,variegatus,46.75,-124.75,7412:364:4,0.44
Sebastes,variegatus,49.25,-125.75,7412:495:2,0.46
Sebastes,variegatus,49.25,-126.25,7412:496:1,0.49
Sebastes,variegatus,49.75,-126.75,7412:496:4,0.45
Sebastes,variegatus,49.75,-127.25,7412:497:3,0.42
Sebastes,variegatus,51.75,-127.75,7512:217:4,0.55
Sebastes,variegatus,52.25,-127.75,7512:227:2,0.42
Sebastes,variegatus,53.75,-133.75,7513:133:4,0.59
Sebastes,variegatus,54.25,-131.25,7513:141:1,0.57
Sebastes,variegatus,51.75,176.25,1517:216:3,0.75
Sebastes,variegatus,52.25,175.75,1517:225:2,0.66
Sebastes,variegatus,52.25,176.75,1517:226:2,0.62
Sebastes,variegatus,47.75,-125.25,7412:475:3,0.64
Sebastes,variegatus,47.75,-125.75,7412:475:4,0.77
Sebastes,variegatus,48.25,-125.25,7412:485:1,0.65
Sebastes,variegatus,48.75,-125.25,7412:485:3,0.64
Sebastes,variegatus,48.75,-125.75,7412:485:4,0.79
Sebastes,variegatus,49.25,-126.75,7412:496:2,0.68
Sebastes,variegatus,49.75,-127.75,7412:497:4,0.78
Sebastes,variegatus,50.25,-127.75,7512:207:2,0.65
Sebastes,variegatus,51.25,-127.75,7512:217:2,0.68
Sebastes,variegatus,51.75,-128.25,7512:218:3,0.68
Sebastes,variegatus,52.25,-128.25,7512:228:1,0.66
Sebastes,variegatus,52.75,-128.25,7512:228:3,0.77
Sebastes,variegatus,52.75,-129.25,7512:229:3,0.72
Sebastes,variegatus,53.25,-129.25,7512:239:1,0.71
Sebastes,variegatus,51.25,-130.25,7513:110:1,0.61
Sebastes,variegatus,53.75,-130.25,7513:130:3,0.70
Sebastes,variegatus,53.75,-132.25,7513:132:3,0.77
Sebastes,variegatus,54.75,-131.75,7513:141:4,0.79
Sebastes,variegatus,54.75,-132.25,7513:142:3,0.79
Sebastes,variegatus,52.75,172.25,1517:122:3,1.00
Sebastes,variegatus,52.75,172.75,1517:122:4,0.99
Sebastes,variegatus,52.25,173.25,1517:123:1,1.00
Sebastes,variegatus,52.25,173.75,1517:123:2,0.99
Sebastes,variegatus,52.75,173.25,1517:123:3,0.98
Sebastes,variegatus,52.75,173.75,1517:123:4,0.97
Sebastes,variegatus,52.25,174.25,1517:124:1,0.97
Sebastes,variegatus,52.25,174.75,1517:124:2,0.92
Sebastes,variegatus,52.75,174.25,1517:124:3,0.96
Sebastes,variegatus,52.75,174.75,1517:124:4,0.88
Sebastes,variegatus,53.25,172.75,1517:132:2,0.98
Sebastes,variegatus,53.25,173.25,1517:133:1,0.90
Sebastes,variegatus,51.75,176.75,1517:216:4,1.00
Sebastes,variegatus,51.75,177.25,1517:217:3,1.00
Sebastes,variegatus,51.75,177.75,1517:217:4,0.99
Sebastes,variegatus,51.25,178.75,1517:218:2,1.00
Sebastes,variegatus,51.75,178.25,1517:218:3,0.98
Sebastes,variegatus,51.75,178.75,1517:218:4,0.97
Sebastes,variegatus,51.25,179.25,1517:219:1,1.00
Sebastes,variegatus,51.25,179.75,1517:219:2,1.00
Sebastes,variegatus,51.75,179.25,1517:219:3,0.96
Sebastes,variegatus,51.75,179.75,1517:219:4,0.97
Sebastes,variegatus,52.25,175.25,1517:225:1,0.97
Sebastes,variegatus,52.25,177.25,1517:227:1,0.96
Sebastes,variegatus,52.25,177.75,1517:227:2,0.95
Sebastes,variegatus,52.25,178.25,1517:228:1,0.94
Sebastes,variegatus,52.25,178.75,1517:228:2,0.94
Sebastes,variegatus,52.25,179.25,1517:229:1,0.94
Sebastes,variegatus,52.25,179.75,1517:229:2,0.95
Sebastes,variegatus,48.25,-125.75,7412:485:2,0.87
Sebastes,variegatus,48.25,-126.25,7412:486:1,0.83
Sebastes,variegatus,48.75,-126.25,7412:486:3,0.90
Sebastes,variegatus,48.75,-126.75,7412:486:4,0.80
Sebastes,variegatus,49.25,-127.25,7412:497:1,0.91
Sebastes,variegatus,50.25,-128.25,7512:208:1,0.93
Sebastes,variegatus,50.75,-128.25,7512:208:3,0.95
Sebastes,variegatus,50.75,-128.75,7512:208:4,1.00
Sebastes,variegatus,50.75,-129.25,7512:209:3,0.99
Sebastes,variegatus,50.75,-129.75,7512:209:4,0.96
Sebastes,variegatus,51.25,-128.25,7512:218:1,1.00
Sebastes,variegatus,51.25,-128.75,7512:218:2,1.00
Sebastes,variegatus,51.75,-128.75,7512:218:4,1.00
Sebastes,variegatus,51.25,-129.25,7512:219:1,0.98
Sebastes,variegatus,51.25,-129.75,7512:219:2,0.97
Sebastes,variegatus,51.75,-129.25,7512:219:3,1.00
Sebastes,variegatus,51.75,-129.75,7512:219:4,1.00
Sebastes,variegatus,52.25,-128.75,7512:228:2,1.00
Sebastes,variegatus,52.25,-129.25,7512:229:1,1.00
Sebastes,variegatus,52.25,-129.75,7512:229:2,1.00
Sebastes,variegatus,52.75,-129.75,7512:229:4,1.00
Sebastes,variegatus,53.25,-129.75,7512:239:2,0.86
Sebastes,variegatus,51.75,-130.25,7513:110:3,1.00
Sebastes,variegatus,51.75,-130.75,7513:110:4,1.00
