Mapping parameters for Sebastes wilsoni (Pygmy rockfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 67 |  77,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,30,57,145,274
Temperature (°C),1,5.43,8.09,14.66,27.09
Salinity (psu),1,25.55,30.63,33.34,35.35
Primary Production (mgC·m-3·day-1) ,1,2.34,9.85,55.13,89.76
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,10.06,18.89,284.66,311.63
Distance to Land (km),0,2,12,114,219
 

Map data (HSPEC) for predicted occurrences (n = 1116): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sebastes,wilsoni,-36.75,174.25,3317:364:3,0.01
Sebastes,wilsoni,-37.25,174.25,3317:374:1,0.01
Sebastes,wilsoni,-37.25,174.75,3317:374:2,0.01
Sebastes,wilsoni,-37.75,174.25,3317:374:3,0.02
Sebastes,wilsoni,-37.75,174.75,3317:374:4,0.07
Sebastes,wilsoni,-38.75,172.75,3317:382:4,0.02
Sebastes,wilsoni,-38.25,173.25,3317:383:1,0.01
Sebastes,wilsoni,-38.25,173.75,3317:383:2,0.02
Sebastes,wilsoni,-38.75,173.25,3317:383:3,0.02
Sebastes,wilsoni,-38.75,173.75,3317:383:4,0.04
Sebastes,wilsoni,-38.25,174.25,3317:384:1,0.04
Sebastes,wilsoni,-38.25,174.75,3317:384:2,0.06
Sebastes,wilsoni,-38.75,174.25,3317:384:3,0.08
Sebastes,wilsoni,-38.75,174.75,3317:384:4,0.07
Sebastes,wilsoni,-39.75,171.75,3317:391:4,0.01
Sebastes,wilsoni,-39.25,172.25,3317:392:1,0.01
Sebastes,wilsoni,-39.25,172.75,3317:392:2,0.04
Sebastes,wilsoni,-39.75,172.25,3317:392:3,0.04
Sebastes,wilsoni,-39.75,172.75,3317:392:4,0.06
Sebastes,wilsoni,-39.25,173.25,3317:393:1,0.04
Sebastes,wilsoni,-39.25,173.75,3317:393:2,0.05
Sebastes,wilsoni,-39.75,173.25,3317:393:3,0.06
Sebastes,wilsoni,-39.75,173.75,3317:393:4,0.06
Sebastes,wilsoni,-39.25,174.25,3317:394:1,0.08
Sebastes,wilsoni,-39.75,174.25,3317:394:3,0.10
Sebastes,wilsoni,-39.75,174.75,3317:394:4,0.09
Sebastes,wilsoni,-39.25,176.75,3317:496:2,0.01
Sebastes,wilsoni,-39.75,176.75,3317:496:4,0.02
Sebastes,wilsoni,-39.25,177.25,3317:497:1,0.03
Sebastes,wilsoni,-42.75,169.75,3416:229:4,0.08
Sebastes,wilsoni,-43.75,168.25,3416:238:3,0.17
Sebastes,wilsoni,-43.75,168.75,3416:238:4,0.18
Sebastes,wilsoni,-43.25,169.25,3416:239:1,0.16
Sebastes,wilsoni,-43.25,169.75,3416:239:2,0.15
Sebastes,wilsoni,-43.75,169.25,3416:239:3,0.19
Sebastes,wilsoni,-44.25,167.75,3416:247:2,0.18
Sebastes,wilsoni,-49.25,164.25,3416:394:1,0.12
Sebastes,wilsoni,-49.75,164.25,3416:394:3,0.10
Sebastes,wilsoni,-46.25,165.75,3416:465:2,0.15
Sebastes,wilsoni,-46.75,165.75,3416:465:4,0.11
Sebastes,wilsoni,-46.75,166.25,3416:466:3,0.16
Sebastes,wilsoni,-47.25,166.75,3416:476:2,0.14
Sebastes,wilsoni,-47.75,166.25,3416:476:3,0.14
Sebastes,wilsoni,-47.75,166.75,3416:476:4,0.12
Sebastes,wilsoni,-48.25,166.25,3416:486:1,0.14
Sebastes,wilsoni,-48.25,166.75,3416:486:2,0.17
Sebastes,wilsoni,-48.75,166.25,3416:486:3,0.16
Sebastes,wilsoni,-48.75,166.75,3416:486:4,0.12
Sebastes,wilsoni,-48.75,167.25,3416:487:3,0.11
Sebastes,wilsoni,-48.75,167.75,3416:487:4,0.18
Sebastes,wilsoni,-48.75,168.25,3416:488:3,0.05
Sebastes,wilsoni,-49.75,166.25,3416:496:3,0.08
Sebastes,wilsoni,-49.75,166.75,3416:496:4,0.18
Sebastes,wilsoni,-49.75,167.25,3416:497:3,0.16
Sebastes,wilsoni,-49.75,167.75,3416:497:4,0.17
Sebastes,wilsoni,-40.25,171.75,3417:101:2,0.03
Sebastes,wilsoni,-40.75,171.25,3417:101:3,0.03
Sebastes,wilsoni,-40.75,171.75,3417:101:4,0.12
Sebastes,wilsoni,-40.25,172.25,3417:102:1,0.09
Sebastes,wilsoni,-40.25,172.75,3417:102:2,0.10
Sebastes,wilsoni,-40.75,172.25,3417:102:3,0.17
Sebastes,wilsoni,-40.75,172.75,3417:102:4,0.15
Sebastes,wilsoni,-40.25,173.25,3417:103:1,0.10
Sebastes,wilsoni,-40.25,173.75,3417:103:2,0.10
Sebastes,wilsoni,-40.75,173.25,3417:103:3,0.16
Sebastes,wilsoni,-40.75,173.75,3417:103:4,0.16
Sebastes,wilsoni,-40.25,174.25,3417:104:1,0.09
Sebastes,wilsoni,-40.25,174.75,3417:104:2,0.11
Sebastes,wilsoni,-40.75,174.25,3417:104:3,0.14
Sebastes,wilsoni,-40.75,174.75,3417:104:4,0.12
Sebastes,wilsoni,-41.25,170.75,3417:110:2,0.02
Sebastes,wilsoni,-41.75,170.75,3417:110:4,0.08
Sebastes,wilsoni,-41.25,171.25,3417:111:1,0.10
Sebastes,wilsoni,-41.75,171.25,3417:111:3,0.19
Sebastes,wilsoni,-41.25,173.25,3417:113:1,0.19
Sebastes,wilsoni,-41.25,174.75,3417:114:2,0.18
Sebastes,wilsoni,-42.25,170.75,3417:120:2,0.11
Sebastes,wilsoni,-42.75,170.25,3417:120:3,0.12
Sebastes,wilsoni,-42.75,170.75,3417:120:4,0.13
Sebastes,wilsoni,-42.25,171.25,3417:121:1,0.14
Sebastes,wilsoni,-43.25,170.25,3417:130:1,0.14
Sebastes,wilsoni,-43.25,174.25,3417:134:1,0.09
Sebastes,wilsoni,-43.25,174.75,3417:134:2,0.13
Sebastes,wilsoni,-40.25,175.25,3417:205:1,0.09
Sebastes,wilsoni,-40.75,175.25,3417:205:3,0.11
Sebastes,wilsoni,-40.25,176.75,3417:206:2,0.01
Sebastes,wilsoni,-40.75,176.25,3417:206:3,0.07
Sebastes,wilsoni,-40.75,176.75,3417:206:4,0.03
Sebastes,wilsoni,-41.25,175.25,3417:215:1,0.16
Sebastes,wilsoni,-41.25,175.75,3417:215:2,0.15
Sebastes,wilsoni,-41.25,176.25,3417:216:1,0.12
Sebastes,wilsoni,-43.25,176.25,3417:236:1,0.06
Sebastes,wilsoni,-43.25,177.75,3417:237:2,0.17
Sebastes,wilsoni,-43.75,177.25,3417:237:3,0.06
Sebastes,wilsoni,-43.75,177.75,3417:237:4,0.12
Sebastes,wilsoni,-46.25,171.25,3417:361:1,0.02
Sebastes,wilsoni,-49.25,171.75,3417:391:2,0.14
Sebastes,wilsoni,-49.25,172.25,3417:392:1,0.15
Sebastes,wilsoni,-47.25,178.75,3417:478:2,0.13
Sebastes,wilsoni,-47.75,178.75,3417:478:4,0.18
Sebastes,wilsoni,-47.25,179.75,3417:479:2,0.18
Sebastes,wilsoni,-47.75,179.25,3417:479:3,0.17
Sebastes,wilsoni,-47.75,179.75,3417:479:4,0.18
Sebastes,wilsoni,-48.25,179.25,3417:489:1,0.16
Sebastes,wilsoni,-48.25,179.75,3417:489:2,0.14
Sebastes,wilsoni,-49.75,178.75,3417:498:4,0.13
Sebastes,wilsoni,-53.75,159.25,3515:239:3,0.01
Sebastes,wilsoni,-52.25,160.25,3516:120:1,0.01
Sebastes,wilsoni,-52.25,160.75,3516:120:2,0.02
Sebastes,wilsoni,-52.75,160.25,3516:120:3,0.03
Sebastes,wilsoni,-50.25,165.75,3516:205:2,0.16
Sebastes,wilsoni,-50.75,165.75,3516:205:4,0.19
