Mapping parameters for Sepia apama (Australian giant cuttlefish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71 |  81,
Bounding Box (NSWE): ,-23,-40,113,154

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,12,51,100
Temperature (°C),1,11.02,15.7,22.84,26.41
Salinity (psu),1,34.83,35.33,37.02,40.11
Primary Production (mgC·m-3·day-1) ,1,1.05,2.46,19.78,30.69
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,179.61,203.05,248.91,283.17
Distance to Land (km),0,0,5,82,165
 

Map data (HSPEC) for predicted occurrences (n = 383): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sepia,apama,-23.25,113.25,3211:133:1,0.11
Sepia,apama,-23.25,113.75,3211:133:2,0.10
Sepia,apama,-23.75,113.25,3211:133:3,0.17
Sepia,apama,-34.75,117.25,3311:247:3,0.10
Sepia,apama,-32.75,137.75,3313:227:4,0.06
Sepia,apama,-33.75,136.75,3313:236:4,0.02
Sepia,apama,-33.75,137.25,3313:237:3,0.09
Sepia,apama,-35.75,135.25,3313:455:3,0.06
Sepia,apama,-35.75,135.75,3313:455:4,0.14
Sepia,apama,-23.75,113.75,3211:133:4,0.20
Sepia,apama,-24.25,113.25,3211:143:1,0.28
Sepia,apama,-29.75,115.25,3211:495:3,0.30
Sepia,apama,-28.25,153.25,3215:383:1,0.39
Sepia,apama,-31.25,115.75,3311:215:2,0.20
Sepia,apama,-34.75,116.75,3311:246:4,0.30
Sepia,apama,-34.75,120.25,3312:140:3,0.35
Sepia,apama,-33.25,137.25,3313:237:1,0.34
Sepia,apama,-33.25,138.25,3313:238:1,0.30
Sepia,apama,-34.75,137.25,3313:247:3,0.38
Sepia,apama,-39.25,142.75,3314:392:2,0.37
Sepia,apama,-24.75,113.75,3211:143:4,0.51
Sepia,apama,-25.75,114.25,3211:354:3,0.55
Sepia,apama,-26.75,113.25,3211:363:3,0.45
Sepia,apama,-27.25,113.25,3211:373:1,0.51
Sepia,apama,-27.25,113.75,3211:373:2,0.54
Sepia,apama,-27.75,113.25,3211:373:3,0.54
Sepia,apama,-27.75,113.75,3211:373:4,0.55
Sepia,apama,-28.25,113.25,3211:383:1,0.58
Sepia,apama,-29.25,113.75,3211:393:2,0.50
Sepia,apama,-29.25,114.75,3211:394:2,0.52
Sepia,apama,-29.25,115.25,3211:495:1,0.46
Sepia,apama,-23.25,152.25,3215:132:1,0.50
