Mapping parameters for Sepia officinalis (common cuttlefish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,62,3,-32,37

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,50,242
Temperature (°C),1,7.5,11,21.18,28.3
Salinity (psu),1,31,32.05,38.1,39.25
Primary Production (mgC·m-3·day-1) ,1,-0.42,0.58,22.09,139.39
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,148.27,194.3,283.19,408.48
Distance to Land (km),0,0,4,97,305
 

Map data (HSPEC) for predicted occurrences (n = 1951): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Sepia,officinalis,4.75,4.75,1000:144:4,0.03,1,0.028524880998596,1,1,1,1,1
Sepia,officinalis,5.25,0.25,1000:350:1,0.14,0.95833333333333,0.15195578671573,1,0.93964193584262,1,1,1
Sepia,officinalis,5.75,0.25,1000:350:3,0.16,1,0.1992392807864,1,0.81031543430058,1,1,1
Sepia,officinalis,5.75,0.75,1000:350:4,0.15,1,0.16368437349126,1,0.89098038689661,1,1,1
Sepia,officinalis,5.75,1.25,1000:351:3,0.13,1,0.12939790661416,1,0.99070758325669,1,1,1
Sepia,officinalis,6.25,1.25,1000:361:1,0.14,1,0.14476599318258,1,0.9840605442837,1,1,1
Sepia,officinalis,6.25,1.75,1000:361:2,0.12,1,0.12078001258079,1,1,1,1,1
Sepia,officinalis,6.25,2.25,1000:362:1,0.09,1,0.094023018740534,1,1,1,1,1
Sepia,officinalis,6.25,2.75,1000:362:2,0.04,1,0.072519805993933,0.517935979934,1,1,1,1
Sepia,officinalis,6.75,3.25,1000:363:3,0.01,1,0.086763842722008,0.067062377929715,1,1,1,1
Sepia,officinalis,38.25,9.75,1300:489:2,0.19,0.22395833333333,1,1,0.84200001189485,1,1,1
Sepia,officinalis,33.75,13.25,1301:133:3,0.13,0.140625,0.92258089044121,1,0.97599998449907,1,1,1
Sepia,officinalis,33.25,14.25,1301:134:1,0.02,0.020833333333333,0.89593828394171,0.89349829632304,1,1,1,1
Sepia,officinalis,31.75,17.25,1301:217:3,0.09,0.14583333333333,0.8695729394977,0.73757005774452,1,1,1,1
Sepia,officinalis,31.25,18.75,1301:218:2,0.17,0.25,0.87724224904949,0.79759680706522,0.99299999753013,1,1,1
Sepia,officinalis,31.75,19.25,1301:219:3,0.08,0.11458333333333,0.88861722624704,0.76081317404043,0.99700002798811,1,1,1
Sepia,officinalis,34.75,15.75,1301:245:4,0.14,0.15625,0.95049863450983,0.94087683636209,1,1,1,1
Sepia,officinalis,36.25,12.25,1301:362:1,0.15,0.16145833333333,1,1,0.95600000683218,1,1,1
Sepia,officinalis,36.75,13.75,1301:363:4,0.15,0.15104166666667,1,1,1,1,1,1
Sepia,officinalis,32.75,23.75,1302:123:4,0.16,0.41666666666667,0.95137569341767,0.4263935918393,0.94599998889491,1,1,1
Sepia,officinalis,34.75,23.75,1302:143:4,0.12,0.35416666666667,1,0.37109706712809,0.92000002374873,1,1,1
Sepia,officinalis,31.75,26.75,1302:216:4,0.19,1,0.86812555120232,0.22106668223504,0.97799999972805,1,1,1
Sepia,officinalis,31.75,27.25,1302:217:3,0.16,0.86458333333333,0.86020148202275,0.22882212763244,0.96799998179078,1,1,1
Sepia,officinalis,31.75,29.75,1302:219:4,0.19,0.65625,0.82420483064115,0.35166864809783,1,1,1,1
Sepia,officinalis,34.75,25.75,1302:245:4,0.17,0.83333333333333,0.98174539844642,0.21547400433087,0.96500001715496,1,1,1
Sepia,officinalis,36.25,24.75,1302:364:2,0.02,0.020833333333333,1,0.86450991423235,0.99400000514463,1,1,1
Sepia,officinalis,35.75,25.75,1302:455:4,0.19,0.41666666666667,1,0.46592048976731,0.99299999753013,1,1,1
Sepia,officinalis,35.25,26.75,1302:456:2,0.19,1,1,0.1995750095533,0.97499997688457,1,1,1
Sepia,officinalis,35.75,26.75,1302:456:4,0.16,0.82291666666667,1,0.20243437393852,0.98000001495704,1,1,1
