Mapping parameters for Siganus canaliculatus (White-spotted spinefoot)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71  |  51 ,
Bounding Box (NSWE): ,30,-35,38,-174

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,21.47,25,28.98,33.18
Salinity (psu),1,22.8,31.93,35.37,38.72
Primary Production (mgC·m-3·day-1) ,1,1.17,3.42,17.76,119.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,149.25,211.22,249.82
Distance to Land (km),0,0,13,210,727
 

Map data (HSPEC) for predicted occurrences (n = 4382): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Siganus,canaliculatus,-19.25,-178.75,5117:498:2,0.03
Siganus,canaliculatus,-18.75,-179.75,5117:489:4,0.12
Siganus,canaliculatus,-18.75,-179.25,5117:489:3,0.09
Siganus,canaliculatus,-18.25,-179.25,5117:489:1,0.07
Siganus,canaliculatus,-18.75,-178.75,5117:488:4,0.07
Siganus,canaliculatus,-18.25,-178.75,5117:488:2,0.07
Siganus,canaliculatus,-17.75,-179.25,5117:479:3,0.07
Siganus,canaliculatus,-17.25,-179.75,5117:479:2,0.19
Siganus,canaliculatus,-17.25,-179.25,5117:479:1,0.04
Siganus,canaliculatus,-17.75,-178.75,5117:478:4,0.02
Siganus,canaliculatus,-16.75,-179.75,5117:469:4,0.11
Siganus,canaliculatus,-31.25,159.25,3315:219:1,0.04
Siganus,canaliculatus,-32.75,152.75,3315:122:4,0.09
Siganus,canaliculatus,-32.25,152.75,3315:122:2,0.10
Siganus,canaliculatus,-31.75,152.75,3315:112:4,0.09
Siganus,canaliculatus,-31.25,152.75,3315:112:2,0.13
Siganus,canaliculatus,-30.75,114.75,3311:104:4,0.03
Siganus,canaliculatus,-30.25,114.75,3311:104:2,0.02
Siganus,canaliculatus,-26.25,162.25,3216:362:1,0.05
Siganus,canaliculatus,-26.25,161.75,3216:361:2,0.05
Siganus,canaliculatus,-25.75,163.25,3216:353:3,0.05
Siganus,canaliculatus,-25.75,162.75,3216:352:4,0.05
Siganus,canaliculatus,-25.75,162.25,3216:352:3,0.06
Siganus,canaliculatus,-25.25,162.75,3216:352:2,0.07
Siganus,canaliculatus,-25.25,162.25,3216:352:1,0.07
Siganus,canaliculatus,-25.75,161.75,3216:351:4,0.07
Siganus,canaliculatus,-25.75,161.25,3216:351:3,0.08
Siganus,canaliculatus,-25.25,161.75,3216:351:2,0.08
Siganus,canaliculatus,-22.75,167.75,3216:227:4,0.15
Siganus,canaliculatus,-22.75,167.25,3216:227:3,0.15
Siganus,canaliculatus,-22.25,167.75,3216:227:2,0.12
Siganus,canaliculatus,-22.75,166.75,3216:226:4,0.10
Siganus,canaliculatus,-22.25,166.75,3216:226:2,0.15
Siganus,canaliculatus,-22.25,166.25,3216:226:1,0.14
Siganus,canaliculatus,-21.75,168.25,3216:218:3,0.02
Siganus,canaliculatus,-21.75,167.75,3216:217:4,0.05
Siganus,canaliculatus,-21.75,166.75,3216:216:4,0.11
Siganus,canaliculatus,-21.75,166.25,3216:216:3,0.10
Siganus,canaliculatus,-21.75,165.75,3216:215:4,0.11
Siganus,canaliculatus,-21.75,165.25,3216:215:3,0.10
Siganus,canaliculatus,-21.25,165.75,3216:215:2,0.13
Siganus,canaliculatus,-21.25,165.25,3216:215:1,0.11
Siganus,canaliculatus,-20.75,165.25,3216:205:3,0.05
Siganus,canaliculatus,-21.25,164.75,3216:114:2,0.18
Siganus,canaliculatus,-21.25,161.75,3216:111:2,0.03
Siganus,canaliculatus,-20.75,164.75,3216:104:4,0.12
Siganus,canaliculatus,-20.25,164.75,3216:104:2,0.03
