Mapping parameters for Sillago ciliata (Sand sillago)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 71 |  81,
Bounding Box (NSWE): ,-9,-45,142,170

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,20,22,46
Temperature (°C),1,16.17,19.81,26.13,30.33
Salinity (psu),1,33.51,34.79,35.79,36.29
Primary Production (mgC·m-3·day-1) ,1,1.17,4.93,21.36,32.62
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,137.52,181.59,214.97,243.32
Distance to Land (km),0,0,5,106,269
 

Map data (HSPEC) for predicted occurrences (n = 368): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sillago,ciliata,-9.25,142.25,3014:392:1,0.11
Sillago,ciliata,-9.75,144.75,3014:394:4,0.14
Sillago,ciliata,-9.75,145.75,3014:495:4,0.10
Sillago,ciliata,-9.25,159.25,3015:499:1,0.15
Sillago,ciliata,-9.25,159.75,3015:499:2,0.16
Sillago,ciliata,-9.75,159.75,3015:499:4,0.16
Sillago,ciliata,-9.25,160.25,3016:390:1,0.16
Sillago,ciliata,-9.25,160.75,3016:390:2,0.15
Sillago,ciliata,-9.75,160.25,3016:390:3,0.17
Sillago,ciliata,-9.75,160.75,3016:390:4,0.17
Sillago,ciliata,-9.25,161.25,3016:391:1,0.16
Sillago,ciliata,-9.25,161.75,3016:391:2,0.16
Sillago,ciliata,-9.75,161.25,3016:391:3,0.17
Sillago,ciliata,-9.75,161.75,3016:391:4,0.18
Sillago,ciliata,-9.75,162.25,3016:392:3,0.13
Sillago,ciliata,-9.75,167.25,3016:497:3,0.06
Sillago,ciliata,-10.25,144.25,3114:104:1,0.13
Sillago,ciliata,-10.25,144.75,3114:104:2,0.08
Sillago,ciliata,-10.75,144.25,3114:104:3,0.12
Sillago,ciliata,-11.25,144.25,3114:114:1,0.15
Sillago,ciliata,-11.75,144.25,3114:114:3,0.11
Sillago,ciliata,-12.25,142.25,3114:122:1,0.05
Sillago,ciliata,-12.75,142.25,3114:122:3,0.02
Sillago,ciliata,-12.25,144.25,3114:124:1,0.10
Sillago,ciliata,-13.25,144.25,3114:134:1,0.18
Sillago,ciliata,-10.25,145.25,3114:205:1,0.07
Sillago,ciliata,-10.25,145.75,3114:205:2,0.09
Sillago,ciliata,-13.75,146.75,3114:236:4,0.12
Sillago,ciliata,-14.25,145.75,3114:245:2,0.13
Sillago,ciliata,-16.25,146.25,3114:466:1,0.17
Sillago,ciliata,-16.75,146.75,3114:466:4,0.09
Sillago,ciliata,-17.75,148.25,3114:478:3,0.05
Sillago,ciliata,-19.25,146.25,3114:496:1,0.05
Sillago,ciliata,-11.25,150.75,3115:110:2,0.04
Sillago,ciliata,-19.25,152.25,3115:392:1,0.01
Sillago,ciliata,-19.75,158.75,3115:498:4,0.06
Sillago,ciliata,-10.25,161.25,3116:101:1,0.17
Sillago,ciliata,-10.25,161.75,3116:101:2,0.19
Sillago,ciliata,-10.25,162.25,3116:102:1,0.16
Sillago,ciliata,-10.75,162.75,3116:102:4,0.14
Sillago,ciliata,-11.75,160.75,3116:110:4,0.19
Sillago,ciliata,-12.25,160.25,3116:120:1,0.19
Sillago,ciliata,-12.75,160.25,3116:120:3,0.14
Sillago,ciliata,-12.75,160.75,3116:120:4,0.09
Sillago,ciliata,-10.25,165.75,3116:205:2,0.09
Sillago,ciliata,-10.75,165.75,3116:205:4,0.12
Sillago,ciliata,-10.25,166.25,3116:206:1,0.08
Sillago,ciliata,-10.75,166.25,3116:206:3,0.09
Sillago,ciliata,-11.25,166.25,3116:216:1,0.07
Sillago,ciliata,-11.25,166.75,3116:216:2,0.04
Sillago,ciliata,-11.75,166.75,3116:216:4,0.03
Sillago,ciliata,-11.75,167.25,3116:217:3,0.02
Sillago,ciliata,-18.25,162.75,3116:382:2,0.01
Sillago,ciliata,-18.75,163.25,3116:383:3,0.01
Sillago,ciliata,-19.25,163.25,3116:393:1,0.06
Sillago,ciliata,-19.75,163.25,3116:393:3,0.07
Sillago,ciliata,-19.75,163.75,3116:393:4,0.04
Sillago,ciliata,-15.25,166.75,3116:456:2,0.01
Sillago,ciliata,-15.75,166.75,3116:456:4,0.03
Sillago,ciliata,-15.75,167.25,3116:457:3,0.02
Sillago,ciliata,-16.25,167.25,3116:467:1,0.04
Sillago,ciliata,-16.25,167.75,3116:467:2,0.02
Sillago,ciliata,-16.75,167.25,3116:467:3,0.03
Sillago,ciliata,-16.75,167.75,3116:467:4,0.04
Sillago,ciliata,-16.75,168.25,3116:468:3,0.02
Sillago,ciliata,-17.25,168.25,3116:478:1,0.01
Sillago,ciliata,-17.75,168.25,3116:478:3,0.01
Sillago,ciliata,-22.75,149.75,3214:229:4,0.10
Sillago,ciliata,-20.75,154.25,3215:104:3,0.16
Sillago,ciliata,-22.75,150.25,3215:120:3,0.05
Sillago,ciliata,-20.25,158.75,3215:208:2,0.12
Sillago,ciliata,-24.75,159.75,3215:249:4,0.19
Sillago,ciliata,-25.75,152.75,3215:352:4,0.10
Sillago,ciliata,-20.25,163.75,3216:103:2,0.09
Sillago,ciliata,-20.25,164.75,3216:104:2,0.02
Sillago,ciliata,-20.75,164.25,3216:104:3,0.12
Sillago,ciliata,-20.75,164.75,3216:104:4,0.07
Sillago,ciliata,-21.25,161.75,3216:111:2,0.02
Sillago,ciliata,-21.25,164.75,3216:114:2,0.11
Sillago,ciliata,-20.75,165.25,3216:205:3,0.03
Sillago,ciliata,-21.25,165.25,3216:215:1,0.07
Sillago,ciliata,-21.25,165.75,3216:215:2,0.08
Sillago,ciliata,-21.75,165.25,3216:215:3,0.06
Sillago,ciliata,-21.75,165.75,3216:215:4,0.06
Sillago,ciliata,-21.75,166.25,3216:216:3,0.06
Sillago,ciliata,-21.75,166.75,3216:216:4,0.07
Sillago,ciliata,-21.75,167.75,3216:217:4,0.03
Sillago,ciliata,-21.75,168.25,3216:218:3,0.01
Sillago,ciliata,-22.25,166.25,3216:226:1,0.10
Sillago,ciliata,-22.25,166.75,3216:226:2,0.09
Sillago,ciliata,-22.75,166.75,3216:226:4,0.07
Sillago,ciliata,-22.25,167.25,3216:227:1,0.13
Sillago,ciliata,-22.25,167.75,3216:227:2,0.07
Sillago,ciliata,-22.75,167.25,3216:227:3,0.11
Sillago,ciliata,-22.75,167.75,3216:227:4,0.09
Sillago,ciliata,-25.25,161.75,3216:351:2,0.09
Sillago,ciliata,-25.75,161.25,3216:351:3,0.10
Sillago,ciliata,-25.75,161.75,3216:351:4,0.09
Sillago,ciliata,-25.25,162.25,3216:352:1,0.09
Sillago,ciliata,-25.25,162.75,3216:352:2,0.08
Sillago,ciliata,-25.75,162.25,3216:352:3,0.08
Sillago,ciliata,-25.75,162.75,3216:352:4,0.07
Sillago,ciliata,-25.75,163.25,3216:353:3,0.07
Sillago,ciliata,-26.25,161.75,3216:361:2,0.08
Sillago,ciliata,-26.25,162.25,3216:362:1,0.08
Sillago,ciliata,-34.75,151.25,3315:141:3,0.12
Sillago,ciliata,-9.75,142.25,3014:392:3,0.37
Sillago,ciliata,-9.75,142.75,3014:392:4,0.35
Sillago,ciliata,-9.25,143.75,3014:393:2,0.26
Sillago,ciliata,-9.25,144.25,3014:394:1,0.35
Sillago,ciliata,-9.25,144.75,3014:394:2,0.20
Sillago,ciliata,-9.75,144.25,3014:394:3,0.28
Sillago,ciliata,-9.25,146.75,3014:496:2,0.30
Sillago,ciliata,-9.25,147.25,3014:497:1,0.29
Sillago,ciliata,-9.75,147.25,3014:497:3,0.31
Sillago,ciliata,-9.75,147.75,3014:497:4,0.38
Sillago,ciliata,-9.25,148.75,3014:498:2,0.29
Sillago,ciliata,-9.25,149.25,3014:499:1,0.24
Sillago,ciliata,-9.25,149.75,3014:499:2,0.27
Sillago,ciliata,-9.75,149.25,3014:499:3,0.38
Sillago,ciliata,-9.75,149.75,3014:499:4,0.31
Sillago,ciliata,-9.25,150.25,3015:390:1,0.29
Sillago,ciliata,-9.25,150.75,3015:390:2,0.31
Sillago,ciliata,-9.75,150.25,3015:390:3,0.33
Sillago,ciliata,-9.75,150.75,3015:390:4,0.34
Sillago,ciliata,-9.25,151.25,3015:391:1,0.31
Sillago,ciliata,-9.25,151.75,3015:391:2,0.29
Sillago,ciliata,-9.75,151.25,3015:391:3,0.33
Sillago,ciliata,-9.25,152.25,3015:392:1,0.27
Sillago,ciliata,-9.25,152.75,3015:392:2,0.26
Sillago,ciliata,-9.75,152.25,3015:392:3,0.29
Sillago,ciliata,-9.25,153.25,3015:393:1,0.25
Sillago,ciliata,-9.25,153.75,3015:393:2,0.24
Sillago,ciliata,-10.25,143.75,3114:103:2,0.33
Sillago,ciliata,-10.75,143.75,3114:103:4,0.35
Sillago,ciliata,-11.75,142.25,3114:112:3,0.28
Sillago,ciliata,-13.75,144.75,3114:134:4,0.25
Sillago,ciliata,-14.75,145.75,3114:245:4,0.34
Sillago,ciliata,-17.25,146.75,3114:476:2,0.34
Sillago,ciliata,-18.25,147.75,3114:487:2,0.39
Sillago,ciliata,-18.75,148.75,3114:488:4,0.30
Sillago,ciliata,-10.25,151.75,3115:101:2,0.37
Sillago,ciliata,-10.75,152.75,3115:102:4,0.38
Sillago,ciliata,-10.75,153.25,3115:103:3,0.34
Sillago,ciliata,-11.25,153.75,3115:113:2,0.38
Sillago,ciliata,-11.25,154.25,3115:114:1,0.35
Sillago,ciliata,-11.75,154.25,3115:114:3,0.39
Sillago,ciliata,-10.75,155.75,3115:205:4,0.25
Sillago,ciliata,-11.25,159.75,3115:219:2,0.22
Sillago,ciliata,-19.75,150.75,3115:390:4,0.29
Sillago,ciliata,-10.75,161.75,3116:101:4,0.20
Sillago,ciliata,-10.75,162.25,3116:102:3,0.21
Sillago,ciliata,-11.25,160.25,3116:110:1,0.22
Sillago,ciliata,-11.75,160.25,3116:110:3,0.25
Sillago,ciliata,-20.25,151.25,3215:101:1,0.34
Sillago,ciliata,-20.75,152.75,3215:102:4,0.27
Sillago,ciliata,-21.25,151.25,3215:111:1,0.39
Sillago,ciliata,-21.25,153.25,3215:113:1,0.32
Sillago,ciliata,-20.75,158.75,3215:208:4,0.23
Sillago,ciliata,-20.75,159.25,3215:209:3,0.21
Sillago,ciliata,-21.25,155.75,3215:215:2,0.30
Sillago,ciliata,-21.25,158.75,3215:218:2,0.29
Sillago,ciliata,-21.25,159.25,3215:219:1,0.33
Sillago,ciliata,-21.75,159.25,3215:219:3,0.33
Sillago,ciliata,-21.75,159.75,3215:219:4,0.25
Sillago,ciliata,-22.25,159.25,3215:229:1,0.28
Sillago,ciliata,-23.75,159.25,3215:239:3,0.27
Sillago,ciliata,-23.75,159.75,3215:239:4,0.26
