Mapping parameters for Sillago flindersi (Eastern school whiting)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71 |  81,
Bounding Box (NSWE): ,-25,-44,133,157

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,20,80,180
Temperature (°C),1,7.98,15,22.96,28.35
Salinity (psu),1,34.88,35.38,35.7,36.2
Primary Production (mgC·m-3·day-1) ,1,3.02,6.3,22.26,33.32
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,121.07,185.78,251.68,323.65
Distance to Land (km),0,0,5,98,191
 

Map data (HSPEC) for predicted occurrences (n = 236): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sillago,flindersi,-25.75,152.75,3215:352:4,0.05
Sillago,flindersi,-33.25,133.75,3313:133:2,0.01
Sillago,flindersi,-33.25,134.25,3313:134:1,0.05
Sillago,flindersi,-33.25,134.75,3313:134:2,0.05
Sillago,flindersi,-33.75,134.75,3313:134:4,0.19
Sillago,flindersi,-34.25,133.75,3313:143:2,0.08
Sillago,flindersi,-34.25,135.25,3313:245:1,0.16
Sillago,flindersi,-34.75,135.75,3313:245:4,0.07
Sillago,flindersi,-35.25,136.75,3313:456:2,0.11
Sillago,flindersi,-35.25,137.25,3313:457:1,0.10
Sillago,flindersi,-35.25,138.25,3313:458:1,0.12
Sillago,flindersi,-35.25,138.75,3313:458:2,0.17
Sillago,flindersi,-39.75,146.25,3314:496:3,0.13
Sillago,flindersi,-30.75,156.25,3315:206:3,0.06
Sillago,flindersi,-40.75,144.75,3414:104:4,0.19
Sillago,flindersi,-40.25,146.75,3414:206:2,0.15
Sillago,flindersi,-42.75,147.25,3414:227:3,0.12
Sillago,flindersi,-43.25,146.75,3414:236:2,0.02
Sillago,flindersi,-43.25,147.25,3414:237:1,0.05
Sillago,flindersi,-28.25,153.25,3215:383:1,0.26
Sillago,flindersi,-33.75,134.25,3313:134:3,0.23
Sillago,flindersi,-34.25,134.25,3313:144:1,0.20
Sillago,flindersi,-34.25,134.75,3313:144:2,0.25
Sillago,flindersi,-35.25,137.75,3313:457:2,0.25
Sillago,flindersi,-36.25,135.75,3313:465:2,0.34
Sillago,flindersi,-39.75,145.75,3314:495:4,0.39
Sillago,flindersi,-39.25,146.25,3314:496:1,0.39
Sillago,flindersi,-39.25,146.75,3314:496:2,0.26
Sillago,flindersi,-33.25,151.25,3315:131:1,0.26
Sillago,flindersi,-34.25,151.75,3315:141:2,0.33
Sillago,flindersi,-35.25,151.25,3315:351:1,0.39
Sillago,flindersi,-40.25,146.25,3414:206:1,0.20
Sillago,flindersi,-42.25,148.25,3414:228:1,0.31
Sillago,flindersi,-43.75,145.75,3414:235:4,0.34
Sillago,flindersi,-34.75,135.25,3313:245:3,0.49
Sillago,flindersi,-35.25,136.25,3313:456:1,0.44
Sillago,flindersi,-35.75,136.75,3313:456:4,0.52
Sillago,flindersi,-35.75,137.25,3313:457:3,0.50
Sillago,flindersi,-35.75,138.25,3313:458:3,0.47
Sillago,flindersi,-38.25,149.75,3314:489:2,0.50
Sillago,flindersi,-39.25,145.75,3314:495:2,0.50
Sillago,flindersi,-40.25,147.25,3414:207:1,0.57
Sillago,flindersi,-42.75,147.75,3414:227:4,0.42
Sillago,flindersi,-43.25,145.25,3414:235:1,0.59
Sillago,flindersi,-43.75,146.25,3414:236:3,0.57
Sillago,flindersi,-43.75,146.75,3414:236:4,0.58
Sillago,flindersi,-25.25,153.75,3215:353:2,0.61
Sillago,flindersi,-25.75,153.75,3215:353:4,0.65
Sillago,flindersi,-26.25,153.75,3215:363:2,0.70
Sillago,flindersi,-26.75,153.75,3215:363:4,0.73
Sillago,flindersi,-27.25,153.75,3215:373:2,0.76
Sillago,flindersi,-34.25,133.25,3313:143:1,0.67
Sillago,flindersi,-34.75,134.25,3313:144:3,0.75
Sillago,flindersi,-34.75,134.75,3313:144:4,0.67
Sillago,flindersi,-35.25,134.25,3313:354:1,0.64
Sillago,flindersi,-35.25,135.75,3313:455:2,0.69
Sillago,flindersi,-35.75,136.25,3313:456:3,0.74
Sillago,flindersi,-35.75,137.75,3313:457:4,0.63
Sillago,flindersi,-35.75,138.75,3313:458:4,0.75
Sillago,flindersi,-36.25,136.75,3313:466:2,0.75
Sillago,flindersi,-36.25,137.25,3313:467:1,0.68
Sillago,flindersi,-36.25,137.75,3313:467:2,0.75
Sillago,flindersi,-38.25,144.75,3314:384:2,0.76
Sillago,flindersi,-38.75,145.75,3314:485:4,0.62
Sillago,flindersi,-38.75,148.75,3314:488:4,0.75
Sillago,flindersi,-31.75,152.75,3315:112:4,0.72
Sillago,flindersi,-32.25,153.25,3315:123:1,0.66
Sillago,flindersi,-40.25,144.25,3414:104:1,0.65
Sillago,flindersi,-42.75,145.25,3414:225:3,0.73
Sillago,flindersi,-42.75,145.75,3414:225:4,0.74
Sillago,flindersi,-43.25,145.75,3414:235:2,0.64
Sillago,flindersi,-43.25,146.25,3414:236:1,0.64
Sillago,flindersi,-43.25,147.75,3414:237:2,0.61
Sillago,flindersi,-43.75,147.25,3414:237:3,0.61
Sillago,flindersi,-43.75,147.75,3414:237:4,0.66
Sillago,flindersi,-25.25,152.75,3215:352:2,0.96
Sillago,flindersi,-25.25,153.25,3215:353:1,0.84
Sillago,flindersi,-25.75,153.25,3215:353:3,0.86
Sillago,flindersi,-26.25,153.25,3215:363:1,0.89
Sillago,flindersi,-26.75,153.25,3215:363:3,0.94
Sillago,flindersi,-27.25,153.25,3215:373:1,0.98
Sillago,flindersi,-27.75,153.25,3215:373:3,0.99
Sillago,flindersi,-27.75,153.75,3215:373:4,0.82
Sillago,flindersi,-28.25,153.75,3215:383:2,0.85
Sillago,flindersi,-28.75,153.75,3215:383:4,0.89
Sillago,flindersi,-29.25,153.25,3215:393:1,1.00
Sillago,flindersi,-29.25,153.75,3215:393:2,0.91
Sillago,flindersi,-29.75,153.25,3215:393:3,1.00
Sillago,flindersi,-29.75,153.75,3215:393:4,0.91
Sillago,flindersi,-34.75,133.25,3313:143:3,0.99
Sillago,flindersi,-34.75,133.75,3313:143:4,0.83
Sillago,flindersi,-35.25,134.75,3313:354:2,0.96
Sillago,flindersi,-35.25,135.25,3313:455:1,0.82
Sillago,flindersi,-35.75,135.25,3313:455:3,0.83
Sillago,flindersi,-35.75,135.75,3313:455:4,0.83
Sillago,flindersi,-35.75,139.25,3313:459:3,0.89
Sillago,flindersi,-36.25,136.25,3313:466:1,0.95
Sillago,flindersi,-36.75,136.75,3313:466:4,1.00
Sillago,flindersi,-36.75,137.25,3313:467:3,1.00
Sillago,flindersi,-36.75,137.75,3313:467:4,0.93
Sillago,flindersi,-36.25,138.25,3313:468:1,0.81
Sillago,flindersi,-36.25,138.75,3313:468:2,0.80
Sillago,flindersi,-36.75,138.25,3313:468:3,0.97
Sillago,flindersi,-36.75,138.75,3313:468:4,1.00
Sillago,flindersi,-36.25,139.25,3313:469:1,0.86
Sillago,flindersi,-36.25,139.75,3313:469:2,0.97
Sillago,flindersi,-36.75,139.25,3313:469:3,0.88
Sillago,flindersi,-36.75,139.75,3313:469:4,1.00
Sillago,flindersi,-37.25,137.75,3313:477:2,1.00
Sillago,flindersi,-37.25,138.25,3313:478:1,1.00
Sillago,flindersi,-37.25,138.75,3313:478:2,1.00
Sillago,flindersi,-37.25,139.25,3313:479:1,1.00
Sillago,flindersi,-37.25,139.75,3313:479:2,1.00
Sillago,flindersi,-37.75,139.75,3313:479:4,1.00
Sillago,flindersi,-37.25,140.25,3314:370:1,1.00
Sillago,flindersi,-37.75,140.25,3314:370:3,1.00
Sillago,flindersi,-37.75,140.75,3314:370:4,1.00
Sillago,flindersi,-37.75,144.75,3314:374:4,0.91
Sillago,flindersi,-38.25,140.25,3314:380:1,1.00
Sillago,flindersi,-38.25,140.75,3314:380:2,1.00
Sillago,flindersi,-38.25,141.25,3314:381:1,1.00
Sillago,flindersi,-38.25,141.75,3314:381:2,1.00
Sillago,flindersi,-38.75,141.25,3314:381:3,1.00
Sillago,flindersi,-38.75,141.75,3314:381:4,1.00
Sillago,flindersi,-38.25,142.25,3314:382:1,1.00
Sillago,flindersi,-38.25,142.75,3314:382:2,1.00
Sillago,flindersi,-38.75,142.25,3314:382:3,1.00
Sillago,flindersi,-38.75,142.75,3314:382:4,1.00
Sillago,flindersi,-38.75,143.25,3314:383:3,1.00
Sillago,flindersi,-38.75,143.75,3314:383:4,1.00
Sillago,flindersi,-38.25,144.25,3314:384:1,1.00
Sillago,flindersi,-38.75,144.25,3314:384:3,1.00
Sillago,flindersi,-38.75,144.75,3314:384:4,0.86
Sillago,flindersi,-39.25,142.75,3314:392:2,0.98
Sillago,flindersi,-39.25,143.25,3314:393:1,1.00
Sillago,flindersi,-39.25,143.75,3314:393:2,1.00
Sillago,flindersi,-39.75,143.25,3314:393:3,1.00
Sillago,flindersi,-39.75,143.75,3314:393:4,1.00
Sillago,flindersi,-39.25,144.25,3314:394:1,1.00
Sillago,flindersi,-39.25,144.75,3314:394:2,1.00
Sillago,flindersi,-39.75,144.25,3314:394:3,1.00
Sillago,flindersi,-39.75,144.75,3314:394:4,1.00
Sillago,flindersi,-36.75,149.75,3314:469:4,1.00
Sillago,flindersi,-37.75,145.25,3314:475:3,0.93
Sillago,flindersi,-37.75,147.75,3314:477:4,1.00
Sillago,flindersi,-37.75,148.25,3314:478:3,1.00
Sillago,flindersi,-37.75,148.75,3314:478:4,1.00
Sillago,flindersi,-37.25,149.75,3314:479:2,1.00
Sillago,flindersi,-37.75,149.25,3314:479:3,1.00
Sillago,flindersi,-37.75,149.75,3314:479:4,1.00
Sillago,flindersi,-38.25,145.25,3314:485:1,0.81
Sillago,flindersi,-38.25,145.75,3314:485:2,1.00
Sillago,flindersi,-38.75,145.25,3314:485:3,0.80
