Mapping parameters for Sillago japonica (Japanese sillago)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  61 |  71,
Bounding Box (NSWE): ,45,21,116,149

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,3,16,30
Temperature (°C),1,11.57,15.1,25.16,29.36
Salinity (psu),1,23.51,29.85,34.11,36.11
Primary Production (mgC·m-3·day-1) ,1,1.2,8.14,61.42,67.73
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,69.69,94.35,272.85,310
Distance to Land (km),0,1,4,68,143
 

Map data (HSPEC) for predicted occurrences (n = 485): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sillago,japonica,22.25,118.75,1211:228:2,0.04
Sillago,japonica,21.25,121.75,1212:111:2,0.18
Sillago,japonica,28.25,120.75,1212:380:2,0.13
Sillago,japonica,24.75,131.25,1213:141:3,0.11
Sillago,japonica,26.75,142.25,1214:362:3,0.14
Sillago,japonica,27.25,140.75,1214:370:2,0.16
Sillago,japonica,30.25,122.25,1312:102:1,0.13
Sillago,japonica,32.75,121.75,1312:121:4,0.13
Sillago,japonica,32.25,122.25,1312:122:1,0.10
Sillago,japonica,32.75,122.75,1312:122:4,0.16
Sillago,japonica,33.25,121.75,1312:131:2,0.14
Sillago,japonica,33.75,121.25,1312:131:3,0.08
Sillago,japonica,33.25,122.75,1312:132:2,0.12
Sillago,japonica,33.75,122.75,1312:132:4,0.11
Sillago,japonica,34.25,121.75,1312:141:2,0.19
Sillago,japonica,35.25,120.75,1312:350:2,0.04
Sillago,japonica,35.75,121.25,1312:351:3,0.13
Sillago,japonica,36.75,120.75,1312:360:4,0.17
Sillago,japonica,36.25,121.25,1312:361:1,0.16
Sillago,japonica,36.75,121.25,1312:361:3,0.11
Sillago,japonica,36.75,121.75,1312:361:4,0.07
Sillago,japonica,36.75,122.25,1312:362:3,0.06
Sillago,japonica,36.75,122.75,1312:362:4,0.18
Sillago,japonica,37.25,120.25,1312:370:1,0.02
Sillago,japonica,37.75,120.75,1312:370:4,0.01
Sillago,japonica,37.25,121.75,1312:371:2,0.02
Sillago,japonica,37.25,122.25,1312:372:1,0.06
Sillago,japonica,37.25,122.75,1312:372:2,0.13
Sillago,japonica,37.75,122.25,1312:372:3,0.03
Sillago,japonica,37.75,122.75,1312:372:4,0.18
Sillago,japonica,37.25,123.25,1312:373:1,0.13
Sillago,japonica,37.25,123.75,1312:373:2,0.10
Sillago,japonica,37.75,123.25,1312:373:3,0.19
Sillago,japonica,37.25,124.25,1312:374:1,0.08
Sillago,japonica,37.25,124.75,1312:374:2,0.17
Sillago,japonica,38.25,120.75,1312:380:2,0.01
Sillago,japonica,38.25,121.25,1312:381:1,0.03
Sillago,japonica,38.25,121.75,1312:381:2,0.08
Sillago,japonica,38.25,122.25,1312:382:1,0.03
Sillago,japonica,38.25,122.75,1312:382:2,0.15
Sillago,japonica,38.75,122.25,1312:382:3,0.15
Sillago,japonica,38.75,122.75,1312:382:4,0.11
Sillago,japonica,38.25,123.25,1312:383:1,0.14
Sillago,japonica,38.25,123.75,1312:383:2,0.15
Sillago,japonica,38.75,123.25,1312:383:3,0.12
Sillago,japonica,38.75,123.75,1312:383:4,0.06
Sillago,japonica,39.25,122.25,1312:392:1,0.14
Sillago,japonica,39.25,122.75,1312:392:2,0.09
Sillago,japonica,39.25,123.25,1312:393:1,0.09
Sillago,japonica,39.25,123.75,1312:393:2,0.07
Sillago,japonica,39.75,123.25,1312:393:3,0.14
Sillago,japonica,39.25,124.25,1312:394:1,0.06
Sillago,japonica,36.25,125.25,1312:465:1,0.18
Sillago,japonica,38.75,125.75,1312:485:4,0.15
Sillago,japonica,35.25,139.25,1313:459:1,0.05
Sillago,japonica,42.25,140.75,1414:120:2,0.06
Sillago,japonica,42.75,141.25,1414:121:3,0.12
Sillago,japonica,44.25,141.25,1414:141:1,0.14
Sillago,japonica,22.25,117.25,1211:227:1,0.35
Sillago,japonica,24.25,119.25,1211:249:1,0.21
Sillago,japonica,21.75,120.75,1212:110:4,0.27
Sillago,japonica,22.25,120.25,1212:120:1,0.26
Sillago,japonica,22.25,121.75,1212:121:2,0.29
Sillago,japonica,22.75,121.75,1212:121:4,0.34
Sillago,japonica,24.25,123.25,1212:143:1,0.27
Sillago,japonica,24.25,123.75,1212:143:2,0.31
Sillago,japonica,24.75,123.25,1212:143:3,0.29
Sillago,japonica,24.25,124.25,1212:144:1,0.32
Sillago,japonica,24.75,125.75,1212:245:4,0.38
Sillago,japonica,26.75,121.25,1212:361:3,0.21
Sillago,japonica,27.25,121.75,1212:371:2,0.29
Sillago,japonica,29.75,122.25,1212:392:3,0.27
Sillago,japonica,25.75,131.25,1213:351:3,0.25
