Mapping parameters for Sillago robusta (Stout whiting)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71 |  81,
Bounding Box (NSWE): ,-21,-40,111,157

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,16,41,70
Temperature (°C),1,16.39,19.16,23.74,27.54
Salinity (psu),1,34.83,35.33,35.59,36.09
Primary Production (mgC·m-3·day-1) ,1,1.85,4.25,21.83,32.83
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,156.15,184.88,223.94,252.16
Distance to Land (km),0,1,2,88,159.5
 

Map data (HSPEC) for predicted occurrences (n = 313): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sillago,robusta,-21.75,113.75,3211:113:4,0.02
Sillago,robusta,-22.75,113.75,3211:123:4,0.05
Sillago,robusta,-23.25,113.25,3211:133:1,0.09
Sillago,robusta,-23.25,113.75,3211:133:2,0.15
Sillago,robusta,-23.75,113.25,3211:133:3,0.14
Sillago,robusta,-24.25,112.75,3211:142:2,0.10
Sillago,robusta,-24.75,112.25,3211:142:3,0.01
Sillago,robusta,-24.75,112.75,3211:142:4,0.15
Sillago,robusta,-24.25,113.25,3211:143:1,0.15
Sillago,robusta,-25.25,112.75,3211:352:2,0.17
Sillago,robusta,-25.75,112.75,3211:352:4,0.16
Sillago,robusta,-26.25,112.75,3211:362:2,0.05
Sillago,robusta,-26.75,113.25,3211:363:3,0.06
Sillago,robusta,-27.25,113.25,3211:373:1,0.07
Sillago,robusta,-27.25,113.75,3211:373:2,0.05
Sillago,robusta,-27.75,113.25,3211:373:3,0.05
Sillago,robusta,-27.75,113.75,3211:373:4,0.03
Sillago,robusta,-28.25,113.25,3211:383:1,0.06
Sillago,robusta,-28.75,113.75,3211:383:4,0.12
Sillago,robusta,-28.25,114.25,3211:384:1,0.08
Sillago,robusta,-28.75,114.25,3211:384:3,0.16
Sillago,robusta,-28.75,114.75,3211:384:4,0.12
Sillago,robusta,-29.25,113.75,3211:393:2,0.01
Sillago,robusta,-29.25,114.25,3211:394:1,0.02
Sillago,robusta,-29.75,114.25,3211:394:3,0.09
Sillago,robusta,-29.75,114.75,3211:394:4,0.10
Sillago,robusta,-21.25,152.75,3215:112:2,0.18
Sillago,robusta,-21.25,153.25,3215:113:1,0.06
Sillago,robusta,-21.75,153.25,3215:113:3,0.17
Sillago,robusta,-21.75,153.75,3215:113:4,0.15
Sillago,robusta,-22.25,153.75,3215:123:2,0.18
Sillago,robusta,-21.25,155.75,3215:215:2,0.10
Sillago,robusta,-22.25,155.75,3215:225:2,0.11
Sillago,robusta,-30.25,114.75,3311:104:2,0.17
Sillago,robusta,-31.75,128.75,3312:218:4,0.14
Sillago,robusta,-31.75,129.25,3312:219:3,0.08
Sillago,robusta,-31.75,129.75,3312:219:4,0.06
Sillago,robusta,-31.75,130.25,3313:110:3,0.05
Sillago,robusta,-31.75,130.75,3313:110:4,0.03
Sillago,robusta,-31.25,131.25,3313:111:1,0.11
Sillago,robusta,-31.75,131.25,3313:111:3,0.02
Sillago,robusta,-31.75,131.75,3313:111:4,0.01
Sillago,robusta,-31.75,132.25,3313:112:3,0.02
Sillago,robusta,-31.75,132.75,3313:112:4,0.03
Sillago,robusta,-32.25,131.25,3313:121:1,0.09
Sillago,robusta,-32.25,131.75,3313:121:2,0.04
Sillago,robusta,-32.25,132.25,3313:122:1,0.01
Sillago,robusta,-32.75,132.25,3313:122:3,0.02
Sillago,robusta,-32.75,132.75,3313:122:4,0.02
Sillago,robusta,-32.75,133.25,3313:123:3,0.02
Sillago,robusta,-33.25,132.75,3313:132:2,0.08
Sillago,robusta,-33.75,132.25,3313:132:3,0.09
Sillago,robusta,-33.75,132.75,3313:132:4,0.19
Sillago,robusta,-33.25,133.25,3313:133:1,0.05
Sillago,robusta,-33.25,133.75,3313:133:2,0.04
Sillago,robusta,-33.75,133.25,3313:133:3,0.12
Sillago,robusta,-33.75,133.75,3313:133:4,0.07
Sillago,robusta,-33.75,134.25,3313:134:3,0.06
Sillago,robusta,-33.75,134.75,3313:134:4,0.02
Sillago,robusta,-34.25,133.75,3313:143:2,0.07
Sillago,robusta,-34.25,134.25,3313:144:1,0.11
Sillago,robusta,-34.25,134.75,3313:144:2,0.03
Sillago,robusta,-34.75,134.25,3313:144:3,0.02
Sillago,robusta,-34.75,134.75,3313:144:4,0.18
Sillago,robusta,-34.75,135.25,3313:245:3,0.07
