Mapping parameters for Sotalia fluviatilis (tucuxi)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  31 |  41 ,
Bounding Box (NSWE): ,17,-90,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1,50,250
Temperature (°C),1,21.94,23.77,28.23,32.43
Salinity (psu),1,23.53,32.06,36.9,39.99
Primary Production (mgC·m-3·day-1) ,1,0.04,1.04,34.58,50.52
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,171.39,195.33,237.93,264.4
Distance to Land (km),0,1,3,201,364
 

Map data (HSPEC) for predicted occurrences (n = 423): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sotalia,fluviatilis,-6.75,-34.75,5003:364:4,0.06
Sotalia,fluviatilis,-0.25,-44.25,5004:104:1,0.08
Sotalia,fluviatilis,-2.25,-40.25,5004:120:1,0.12
Sotalia,fluviatilis,-0.75,-48.25,5004:208:3,0.02
Sotalia,fluviatilis,-12.25,-37.75,5103:227:2,0.03
Sotalia,fluviatilis,-12.75,-38.25,5103:228:3,0.06
Sotalia,fluviatilis,-22.25,-40.25,5204:120:1,0.01
Sotalia,fluviatilis,-24.25,-44.25,5204:144:1,0.16
Sotalia,fluviatilis,-26.75,-48.25,5204:468:3,0.10
Sotalia,fluviatilis,-26.75,-48.75,5204:468:4,0.05
Sotalia,fluviatilis,-28.75,-48.25,5204:488:3,0.02
Sotalia,fluviatilis,-29.25,-48.25,5204:498:1,0.10
Sotalia,fluviatilis,-29.75,-48.25,5204:498:3,0.05
Sotalia,fluviatilis,-30.25,-48.75,5304:208:2,0.03
Sotalia,fluviatilis,0.75,-47.75,7004:207:4,0.13
Sotalia,fluviatilis,2.25,-49.25,7004:229:1,0.01
Sotalia,fluviatilis,2.75,-49.75,7004:229:4,0.09
Sotalia,fluviatilis,4.25,-50.75,7005:140:2,0.03
Sotalia,fluviatilis,4.75,-52.25,7005:142:3,0.08
Sotalia,fluviatilis,7.75,-57.25,7005:477:3,0.16
Sotalia,fluviatilis,8.75,-77.25,7007:487:3,0.03
Sotalia,fluviatilis,9.25,-80.25,7008:390:1,0.14
Sotalia,fluviatilis,11.25,-71.75,7107:111:2,0.16
Sotalia,fluviatilis,13.25,-82.25,7108:132:1,0.10
Sotalia,fluviatilis,15.25,-81.25,7108:351:1,0.18
Sotalia,fluviatilis,-24.75,-44.75,5204:144:4,0.24
Sotalia,fluviatilis,-25.75,-46.25,5204:456:3,0.33
Sotalia,fluviatilis,-25.25,-48.75,5204:458:2,0.39
Sotalia,fluviatilis,-25.75,-48.75,5204:458:4,0.31
Sotalia,fluviatilis,-26.25,-46.75,5204:466:2,0.37
Sotalia,fluviatilis,-26.75,-46.75,5204:466:4,0.22
Sotalia,fluviatilis,-26.25,-47.75,5204:467:2,0.31
Sotalia,fluviatilis,-26.75,-47.25,5204:467:3,0.38
Sotalia,fluviatilis,-26.75,-47.75,5204:467:4,0.26
Sotalia,fluviatilis,-26.25,-48.25,5204:468:1,0.25
Sotalia,fluviatilis,-26.25,-48.75,5204:468:2,0.21
Sotalia,fluviatilis,-27.25,-47.25,5204:477:1,0.21
Sotalia,fluviatilis,-27.25,-47.75,5204:477:2,0.25
Sotalia,fluviatilis,-27.75,-47.75,5204:477:4,0.26
Sotalia,fluviatilis,-28.25,-47.75,5204:487:2,0.21
Sotalia,fluviatilis,0.75,-47.25,7004:207:3,0.23
Sotalia,fluviatilis,0.25,-48.25,7004:208:1,0.23
Sotalia,fluviatilis,2.75,-49.25,7004:229:3,0.33
Sotalia,fluviatilis,5.25,-51.75,7005:351:2,0.25
Sotalia,fluviatilis,5.25,-52.25,7005:352:1,0.22
Sotalia,fluviatilis,5.25,-52.75,7005:352:2,0.39
Sotalia,fluviatilis,6.25,-52.25,7005:362:1,0.27
Sotalia,fluviatilis,7.25,-56.25,7005:476:1,0.35
Sotalia,fluviatilis,9.25,-71.25,7007:391:1,0.21
Sotalia,fluviatilis,9.75,-71.25,7007:391:3,0.25
Sotalia,fluviatilis,10.75,-63.25,7106:103:3,0.32
Sotalia,fluviatilis,10.25,-64.75,7106:104:2,0.30
Sotalia,fluviatilis,11.25,-63.25,7106:113:1,0.38
Sotalia,fluviatilis,11.25,-64.25,7106:114:1,0.38
Sotalia,fluviatilis,10.75,-66.75,7106:206:4,0.20
Sotalia,fluviatilis,11.25,-71.25,7107:111:1,0.25
Sotalia,fluviatilis,10.75,-75.25,7107:205:3,0.30
Sotalia,fluviatilis,14.75,-81.75,7108:141:4,0.33
Sotalia,fluviatilis,16.25,-81.75,7108:361:2,0.35
Sotalia,fluviatilis,16.25,-82.25,7108:362:1,0.33
