Mapping parameters for Sparodon durbanensis (Musselcracker seabream)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 47 |  51,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,8,40,80
Temperature (°C),1,5.77,14.49,23.74,29.1
Salinity (psu),1,28.24,34.74,35.74,36.48
Primary Production (mgC·m-3·day-1) ,1,11.85,19.81,101.64,128.96
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,13.28,44.28,214.12,251.97
Distance to Land (km),0,0,4,89,285
 

Map data (HSPEC) for predicted occurrences (n = 487): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sparodon,durbanensis,-30.25,31.25,3303:101:1,0.17
Sparodon,durbanensis,-36.25,20.25,3302:360:1,0.16
Sparodon,durbanensis,-35.25,22.75,3302:352:2,0.10
Sparodon,durbanensis,-35.75,20.75,3302:350:4,0.01
Sparodon,durbanensis,-33.75,23.25,3302:133:3,0.12
Sparodon,durbanensis,-32.25,17.75,3301:227:2,0.15
Sparodon,durbanensis,-21.25,48.25,3204:218:1,0.16
Sparodon,durbanensis,-20.75,48.25,3204:208:3,0.12
Sparodon,durbanensis,-20.25,48.75,3204:208:2,0.03
Sparodon,durbanensis,-20.25,44.25,3204:104:1,0.03
Sparodon,durbanensis,-24.25,35.75,3203:245:2,0.02
Sparodon,durbanensis,-23.75,35.25,3203:235:3,0.09
Sparodon,durbanensis,-23.25,35.75,3203:235:2,0.01
Sparodon,durbanensis,-22.75,35.75,3203:225:4,0.18
Sparodon,durbanensis,-20.25,36.25,3203:206:1,0.16
Sparodon,durbanensis,-20.75,35.25,3203:205:3,0.07
Sparodon,durbanensis,-29.75,16.75,3201:496:4,0.18
Sparodon,durbanensis,-28.75,14.75,3201:384:4,0.05
Sparodon,durbanensis,-24.25,14.25,3201:144:1,0.16
Sparodon,durbanensis,-18.75,49.25,3104:489:3,0.06
Sparodon,durbanensis,-18.25,49.25,3104:489:1,0.11
Sparodon,durbanensis,-17.75,49.75,3104:479:4,0.05
Sparodon,durbanensis,-17.75,49.25,3104:479:3,0.15
Sparodon,durbanensis,-17.25,49.25,3104:479:1,0.19
Sparodon,durbanensis,-16.25,49.75,3104:469:2,0.02
Sparodon,durbanensis,-16.25,45.75,3104:465:2,0.03
Sparodon,durbanensis,-15.75,49.75,3104:459:4,0.11
Sparodon,durbanensis,-15.75,47.25,3104:457:3,0.04
Sparodon,durbanensis,-15.75,46.75,3104:456:4,0.03
Sparodon,durbanensis,-19.75,44.75,3104:394:4,0.02
Sparodon,durbanensis,-19.25,44.75,3104:394:2,0.03
Sparodon,durbanensis,-19.25,44.25,3104:394:1,0.17
Sparodon,durbanensis,-18.75,44.25,3104:384:3,0.15
Sparodon,durbanensis,-18.25,44.25,3104:384:1,0.16
Sparodon,durbanensis,-17.75,44.25,3104:374:3,0.17
Sparodon,durbanensis,-16.25,44.25,3104:364:1,0.08
Sparodon,durbanensis,-14.25,47.75,3104:247:2,0.05
Sparodon,durbanensis,-19.25,36.25,3103:496:1,0.10
Sparodon,durbanensis,-19.75,35.75,3103:495:4,0.14
Sparodon,durbanensis,-18.75,37.25,3103:487:3,0.14
Sparodon,durbanensis,-18.25,36.75,3103:486:2,0.11
Sparodon,durbanensis,-17.25,38.75,3103:478:2,0.01
Sparodon,durbanensis,-17.25,38.25,3103:478:1,0.13
Sparodon,durbanensis,-17.75,37.75,3103:477:4,0.17
Sparodon,durbanensis,-17.75,36.75,3103:476:4,0.01
Sparodon,durbanensis,-19.25,12.25,3101:392:1,0.10
Sparodon,durbanensis,-10.75,13.25,3101:103:3,0.17
Sparodon,durbanensis,-2.75,40.75,3004:120:4,0.19
Sparodon,durbanensis,-1.75,40.75,3004:110:4,0.09
Sparodon,durbanensis,-0.25,42.25,3004:102:1,0.10
Sparodon,durbanensis,-0.75,41.75,3004:101:4,0.09
Sparodon,durbanensis,-8.75,39.25,3003:489:3,0.07
Sparodon,durbanensis,-8.25,39.25,3003:489:1,0.09
Sparodon,durbanensis,-7.75,39.25,3003:479:3,0.15
Sparodon,durbanensis,-7.25,39.75,3003:479:2,0.06
Sparodon,durbanensis,-7.25,39.25,3003:479:1,0.09
Sparodon,durbanensis,-6.25,39.25,3003:469:1,0.03
Sparodon,durbanensis,-6.25,38.75,3003:468:2,0.16
Sparodon,durbanensis,-5.75,39.25,3003:459:3,0.09
Sparodon,durbanensis,-5.25,39.25,3003:459:1,0.16
Sparodon,durbanensis,-5.75,38.75,3003:458:4,0.18
Sparodon,durbanensis,-5.25,38.75,3003:458:2,0.08
Sparodon,durbanensis,-4.25,39.25,3003:249:1,0.16
Sparodon,durbanensis,-9.75,12.75,3001:392:4,0.15
Sparodon,durbanensis,30.25,49.25,1304:209:1,0.11
Sparodon,durbanensis,30.25,48.25,1304:208:1,0.04
Sparodon,durbanensis,23.25,70.25,1207:130:1,0.04
Sparodon,durbanensis,22.25,72.75,1207:122:2,0.09
Sparodon,durbanensis,22.25,72.25,1207:122:1,0.09
Sparodon,durbanensis,22.75,70.25,1207:120:3,0.01
Sparodon,durbanensis,21.75,72.75,1207:112:4,0.14
Sparodon,durbanensis,21.75,72.25,1207:112:3,0.08
Sparodon,durbanensis,21.25,72.75,1207:112:2,0.13
Sparodon,durbanensis,21.25,72.25,1207:112:1,0.14
Sparodon,durbanensis,21.25,71.75,1207:111:2,0.15
Sparodon,durbanensis,20.75,72.75,1207:102:4,0.04
Sparodon,durbanensis,20.75,72.25,1207:102:3,0.08
Sparodon,durbanensis,20.25,72.25,1207:102:1,0.01
Sparodon,durbanensis,20.75,71.75,1207:101:4,0.11
Sparodon,durbanensis,20.75,71.25,1207:101:3,0.15
Sparodon,durbanensis,20.75,70.75,1207:100:4,0.01
Sparodon,durbanensis,24.25,67.75,1206:247:2,0.06
Sparodon,durbanensis,24.75,66.75,1206:246:4,0.03
Sparodon,durbanensis,23.75,68.75,1206:238:4,0.06
Sparodon,durbanensis,22.75,69.75,1206:229:4,0.01
Sparodon,durbanensis,21.75,59.75,1205:219:4,0.10
Sparodon,durbanensis,21.75,59.25,1205:219:3,0.16
Sparodon,durbanensis,21.25,59.75,1205:219:2,0.04
Sparodon,durbanensis,20.25,59.25,1205:209:1,0.16
Sparodon,durbanensis,29.75,48.25,1204:498:3,0.12
Sparodon,durbanensis,29.75,47.75,1204:497:4,0.10
Sparodon,durbanensis,16.25,73.75,1107:363:2,0.05
Sparodon,durbanensis,16.25,73.25,1107:363:1,0.05
Sparodon,durbanensis,15.25,74.25,1107:354:1,0.13
Sparodon,durbanensis,15.75,73.75,1107:353:4,0.13
Sparodon,durbanensis,15.75,73.25,1107:353:3,0.05
Sparodon,durbanensis,15.25,73.75,1107:353:2,0.12
Sparodon,durbanensis,12.75,75.25,1107:225:3,0.07
Sparodon,durbanensis,12.25,75.25,1107:225:1,0.07
Sparodon,durbanensis,11.75,75.75,1107:215:4,0.11
Sparodon,durbanensis,11.75,75.25,1107:215:3,0.12
Sparodon,durbanensis,11.25,75.75,1107:215:2,0.12
Sparodon,durbanensis,11.25,75.25,1107:215:1,0.04
Sparodon,durbanensis,10.75,76.25,1107:206:3,0.12
Sparodon,durbanensis,10.25,76.25,1107:206:1,0.12
Sparodon,durbanensis,10.75,75.75,1107:205:4,0.13
Sparodon,durbanensis,10.25,75.75,1107:205:2,0.11
Sparodon,durbanensis,14.75,74.25,1107:144:3,0.12
Sparodon,durbanensis,14.25,74.75,1107:144:2,0.11
Sparodon,durbanensis,14.25,74.25,1107:144:1,0.09
Sparodon,durbanensis,14.75,73.75,1107:143:4,0.08
Sparodon,durbanensis,13.75,74.75,1107:134:4,0.10
Sparodon,durbanensis,13.75,74.25,1107:134:3,0.02
Sparodon,durbanensis,13.25,74.75,1107:134:2,0.05
Sparodon,durbanensis,12.75,74.75,1107:124:4,0.03
Sparodon,durbanensis,19.75,58.75,1105:498:4,0.18
Sparodon,durbanensis,15.25,50.75,1105:350:2,0.19
Sparodon,durbanensis,15.25,50.25,1105:350:1,0.16
Sparodon,durbanensis,14.75,50.25,1105:140:3,0.14
Sparodon,durbanensis,12.75,54.75,1105:124:4,0.15
Sparodon,durbanensis,12.25,54.75,1105:124:2,0.09
Sparodon,durbanensis,12.25,51.25,1105:121:1,0.09
Sparodon,durbanensis,12.25,50.75,1105:120:2,0.05
Sparodon,durbanensis,11.75,53.75,1105:113:4,0.12
Sparodon,durbanensis,11.75,51.75,1105:111:4,0.19
Sparodon,durbanensis,11.75,50.75,1105:110:4,0.12
Sparodon,durbanensis,11.75,50.25,1105:110:3,0.03
Sparodon,durbanensis,10.75,51.75,1105:101:4,0.08
Sparodon,durbanensis,10.25,51.75,1105:101:2,0.13
Sparodon,durbanensis,14.75,49.75,1104:249:4,0.14
Sparodon,durbanensis,14.75,49.25,1104:249:3,0.11
Sparodon,durbanensis,14.25,49.25,1104:249:1,0.12
Sparodon,durbanensis,14.25,48.75,1104:248:2,0.10
Sparodon,durbanensis,14.25,48.25,1104:248:1,0.08
Sparodon,durbanensis,14.25,47.75,1104:247:2,0.06
Sparodon,durbanensis,13.75,48.75,1104:238:4,0.07
Sparodon,durbanensis,13.75,48.25,1104:238:3,0.08
Sparodon,durbanensis,13.75,47.75,1104:237:4,0.08
Sparodon,durbanensis,13.75,47.25,1104:237:3,0.06
Sparodon,durbanensis,13.75,46.75,1104:236:4,0.05
Sparodon,durbanensis,13.25,46.75,1104:236:2,0.01
Sparodon,durbanensis,13.25,46.25,1104:236:1,0.02
