Mapping parameters for Spirula spirula (ram's horn squid)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  81,
Bounding Box (NSWE): ,69,-32,-89,-160

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,100,319,795,1750
Temperature (°C),1,2.66,20.34,28.55,32.75
Salinity (psu),1,28.24,33.62,36.61,38.28
Primary Production (mgC·m-3·day-1) ,1,-0.63,0.37,18.68,103.37
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.11
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,142.41,245.97,358.8
Distance to Land (km),0,1,11,246,1090
 

Map data (HSPEC) for predicted occurrences (n = 15302): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Spirula,spirula,0.25,8.25,1000:208:1,0.13,0.25549738219895,1,0.49325236777835,1,1,1,1
Spirula,spirula,1.25,8.75,1000:218:2,0.12,0.81780104712042,1,0.14928224981939,1,1,1,1
Spirula,spirula,1.75,8.75,1000:218:4,0.03,0.18010471204188,1,0.1405747424271,1,1,1,1
Spirula,spirula,2.75,6.25,1000:226:3,0.05,0.064921465968586,1,0.81952562296701,1,1,1,1
Spirula,spirula,2.75,6.75,1000:226:4,0.09,0.12146596858639,1,0.70581431902918,1,1,1,1
Spirula,spirula,2.75,7.25,1000:227:3,0.07,0.11623036649215,1,0.59458504999437,1,1,1,1
Spirula,spirula,2.25,8.25,1000:228:1,0.03,0.071204188481675,1,0.44219427569649,1,1,1,1
Spirula,spirula,2.25,8.75,1000:228:2,0.01,0.03979057591623,1,0.20192223587887,1,1,1,1
Spirula,spirula,2.75,8.75,1000:228:4,0.01,0.16649214659686,1,0.067406296286877,1,1,1,1
Spirula,spirula,3.25,5.25,1000:235:1,0.02,0.025130890052356,1,0.89820410859628,1,1,1,1
Spirula,spirula,3.75,6.75,1000:236:4,0.17,1,1,0.16760201436437,1,1,1,1
Spirula,spirula,3.75,7.25,1000:237:3,0.05,1,1,0.04715968419184,1,1,1,1
Spirula,spirula,4.25,5.75,1000:245:2,0.03,0.12785388127854,1,0.2181155548663,1,1,1,1
Spirula,spirula,4.25,6.25,1000:246:1,0.02,0.14611872146119,1,0.11415548218227,1,1,1,1
Spirula,spirula,5.25,1.25,1000:351:1,0.12,0.12041884816754,1,1,0.98839295690943,1,1,1
Spirula,spirula,5.75,2.25,1000:352:3,0.12,0.12356020942408,1,0.97201070111924,1,1,1,1
Spirula,spirula,6.25,4.75,1000:364:2,0.02,0.11415525114155,1,0.13411102862164,1,1,1,1
Spirula,spirula,5.25,5.25,1000:455:1,0.01,0.095890410958904,1,0.057859980927082,1,1,1,1
