Mapping parameters for Spratelloides lewisi (Lewis' round herring)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 71,
Bounding Box (NSWE): ,2,-12,130,164

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,28.12,28.62,29.62,33.82
Salinity (psu),1,33.31,33.81,34.59,35.09
Primary Production (mgC·m-3·day-1) ,1,4.53,8.98,16.42,20.8
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,120.81,135.34,186.59,198.85
Distance to Land (km),0,10.75,19.3,27.1,34.75
 

Map data (HSPEC) for predicted occurrences (n = 308): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Spratelloides,lewisi,-1.25,131.75,3013:111:2,0.10
Spratelloides,lewisi,-1.25,134.25,3013:114:1,0.14
Spratelloides,lewisi,-2.25,131.75,3013:121:2,0.08
Spratelloides,lewisi,-2.75,132.25,3013:122:3,0.09
Spratelloides,lewisi,-2.75,133.25,3013:123:3,0.10
Spratelloides,lewisi,-3.25,130.75,3013:130:2,0.04
Spratelloides,lewisi,-3.75,130.25,3013:130:3,0.17
Spratelloides,lewisi,-3.75,130.75,3013:130:4,0.13
Spratelloides,lewisi,-3.75,131.25,3013:131:3,0.11
Spratelloides,lewisi,-3.75,133.25,3013:133:3,0.12
Spratelloides,lewisi,-3.75,134.25,3013:134:3,0.16
Spratelloides,lewisi,-4.25,131.25,3013:141:1,0.08
Spratelloides,lewisi,-4.25,131.75,3013:141:2,0.13
Spratelloides,lewisi,-4.75,131.75,3013:141:4,0.06
Spratelloides,lewisi,-1.25,135.75,3013:215:2,0.10
Spratelloides,lewisi,-2.25,136.75,3013:226:2,0.06
Spratelloides,lewisi,-5.25,132.25,3013:352:1,0.03
Spratelloides,lewisi,-5.25,132.75,3013:352:2,0.06
Spratelloides,lewisi,-5.25,133.25,3013:353:1,0.03
Spratelloides,lewisi,-5.75,136.75,3013:456:4,0.03
Spratelloides,lewisi,-6.25,137.25,3013:467:1,0.03
Spratelloides,lewisi,-6.75,137.25,3013:467:3,0.03
Spratelloides,lewisi,-2.25,146.75,3014:226:2,0.17
Spratelloides,lewisi,-5.75,147.25,3014:457:3,0.13
Spratelloides,lewisi,-6.25,147.75,3014:467:2,0.17
Spratelloides,lewisi,-6.75,147.25,3014:467:3,0.03
Spratelloides,lewisi,-6.25,149.75,3014:469:2,0.17
Spratelloides,lewisi,-8.25,146.25,3014:486:1,0.12
Spratelloides,lewisi,-9.75,149.25,3014:499:3,0.06
Spratelloides,lewisi,-4.25,152.25,3015:142:1,0.06
Spratelloides,lewisi,-9.25,161.75,3016:391:2,0.04
Spratelloides,lewisi,-10.75,131.75,3113:101:4,0.02
Spratelloides,lewisi,-10.75,132.25,3113:102:3,0.03
Spratelloides,lewisi,-11.25,130.75,3113:110:2,0.17
Spratelloides,lewisi,-11.75,132.75,3113:112:4,0.11
Spratelloides,lewisi,-11.75,133.25,3113:113:3,0.02
Spratelloides,lewisi,-11.75,140.25,3114:110:3,0.01
Spratelloides,lewisi,-11.75,140.75,3114:110:4,0.02
Spratelloides,lewisi,-10.75,152.75,3115:102:4,0.18
Spratelloides,lewisi,-11.25,153.25,3115:113:1,0.10
Spratelloides,lewisi,-11.75,154.25,3115:114:3,0.06
Spratelloides,lewisi,-11.75,160.25,3116:110:3,0.12
Spratelloides,lewisi,-0.75,134.25,3013:104:3,0.21
Spratelloides,lewisi,-1.25,130.25,3013:110:1,0.37
Spratelloides,lewisi,-2.75,130.25,3013:120:3,0.24
Spratelloides,lewisi,-2.75,131.25,3013:121:3,0.39
Spratelloides,lewisi,-2.75,131.75,3013:121:4,0.28
Spratelloides,lewisi,-2.75,133.75,3013:123:4,0.26
Spratelloides,lewisi,-3.25,130.25,3013:130:1,0.25
Spratelloides,lewisi,-3.25,133.75,3013:133:2,0.20
Spratelloides,lewisi,-3.75,134.75,3013:134:4,0.39
Spratelloides,lewisi,-4.25,132.75,3013:142:2,0.20
Spratelloides,lewisi,-2.25,153.75,3015:123:2,0.30
